Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,27.9000,27.9000,26.0500,26.9000,1096.0000,0.3247
2023-06-06,26.5000,27.2000,26.5000,26.6000,261.0000,0.6704
2023-06-07,26.0500,27.0000,25.9000,26.7000,1880.0000,0.5392
2023-06-08,26.1500,26.1500,26.1500,26.1500,816.0000,0.4592
2023-06-11,26.2500,27.3500,25.3000,26.0500,4845.0000,0.1936
2023-06-12,26.0500,27.0000,24.7500,26.2500,1892.0000,0.1936
2023-06-13,27.2500,27.3500,26.4000,27.1000,2827.0000,0.1349
2023-06-14,27.2000,27.2000,26.0500,26.1000,1119.0000,0.6197
2023-06-15,26.5000,26.8000,26.1000,26.6500,1630.0000,0.4607
2023-06-18,26.8000,27.9500,26.6000,27.9500,9169.0000,0.5248
2023-06-19,27.1000,28.2000,27.0000,27.1500,2914.0000,0.1124
2023-06-20,27.1500,28.3500,26.8000,26.8000,1605.0000,0.6819
2023-06-21,26.8000,26.8000,26.3000,26.5500,260.0000,0.5995
2023-06-22,26.5500,26.5500,26.5500,26.5500,104.0000,0.2274
2023-06-25,27.4000,27.4000,25.3000,25.4000,1116.0000,0.2091
2023-06-26,25.4000,26.5000,25.4000,26.3000,857.0000,0.2100
2023-06-27,27.5000,27.5000,25.0000,26.0000,2656.0000,0.2825
2023-06-29,26.0000,26.0000,24.7000,25.1500,2355.0000,0.4149
2023-07-02,25.9000,25.9000,24.1500,24.6500,1265.0000,0.3592
2023-07-03,24.6500,25.5000,24.6500,25.4000,812.0000,0.2747
2023-07-04,25.4000,26.0000,24.2000,26.0000,52.0000,0.4671
2023-07-05,26.8500,26.8500,26.0000,26.2500,1534.0000,0.1837
2023-07-06,26.2500,26.2500,26.0000,26.0000,389.0000,0.2753
2023-07-09,25.1000,26.8000,25.1000,26.8000,301.0000,0.3198
2023-07-10,26.7500,26.7500,25.6000,26.6000,840.0000,0.3736
2023-07-11,26.0000,26.6000,26.0000,26.2000,263.0000,0.5711
2023-07-12,26.9000,27.5000,25.3500,25.3500,3879.0000,0.2198
2023-07-13,26.5500,26.6000,26.1000,26.6000,2049.0000,0.4085
2023-07-16,27.8500,27.8500,26.3000,27.0500,3168.0000,0.4554
2023-07-17,27.0500,27.6500,26.2000,26.2500,2811.0000,0.1279
2023-07-18,26.3000,26.3000,26.1000,26.1000,176.0000,0.4645
2023-07-19,26.1000,26.8000,25.7000,25.9000,323.0000,0.2023
2023-07-20,25.9000,25.9000,24.7000,25.6500,1311.0000,0.1390
2023-07-23,24.5000,26.7500,24.5000,26.4500,406.0000,0.6693
2023-07-24,25.2000,26.7500,25.2000,26.6500,182.0000,0.6794
2023-07-25,26.9000,26.9000,25.4000,25.5500,1138.0000,0.5850
2023-07-26,25.7000,25.7000,25.0000,25.1000,1940.0000,0.2828
2023-07-27,25.1000,25.5000,25.0000,25.0000,681.0000,0.1586
