Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,57.0292,59.5445,55.7716,58.4803,264534.0,0.6433
2023-06-06,58.6254,62.8337,58.5771,59.4961,551027.0,0.7223
2023-06-07,60.3668,60.657,57.4162,57.9966,166324.0,0.6937
2023-06-08,58.045,59.2543,57.2711,57.5129,57695.0,0.6830
2023-06-11,57.0776,59.2543,57.0776,57.9966,55825.0,0.6314
2023-06-12,58.432,58.6254,56.5939,56.9808,84618.0,0.5900
2023-06-13,56.9808,58.8189,56.0618,57.8515,102882.0,0.5902
2023-06-14,58.432,67.4289,58.2385,66.5583,1646537.0,0.4682
2023-06-15,66.7518,68.6866,65.0588,66.9936,653686.0,0.4925
2023-06-18,67.9126,71.2986,66.0262,70.6698,661295.0,0.6640
2023-06-19,71.2502,72.4111,69.654,70.4763,234645.0,0.6470
2023-06-20,70.5247,72.3628,67.8643,69.267,253083.0,0.5422
2023-06-21,69.9442,69.9442,65.8327,67.1871,129373.0,0.5910
2023-06-22,67.1871,71.5888,65.9778,68.6382,337249.0,0.5818
2023-06-25,68.1061,70.1861,65.4457,66.7034,183532.0,0.6379
2023-06-26,67.4773,68.6866,66.8485,67.2355,86230.0,0.6306
2023-06-27,67.6708,70.041,66.4132,67.8643,156109.0,0.5759
2023-06-29,68.6866,71.5888,66.5583,68.7833,270601.0,0.5833
2023-07-02,69.7991,73.9106,69.654,71.7339,493122.0,0.4330
2023-07-03,72.5563,74.5395,66.8001,68.4931,576692.0,0.7671
2023-07-04,69.267,71.9758,68.2996,68.6866,252591.0,0.5462
2023-07-05,69.3638,72.8948,69.0735,72.2177,255846.0,0.6201
2023-07-06,72.4595,72.4595,69.4605,70.1861,104503.0,0.4837
2023-07-09,70.1861,70.4279,68.3963,68.7349,64913.0,0.6141
2023-07-10,69.267,75.8938,69.0735,73.7655,943073.0,0.4239
2023-07-11,74.4427,77.8287,72.2176,73.6204,483139.0,0.4951
2023-07-12,74.4427,74.4427,69.1703,69.9926,252301.0,0.6189
2023-07-13,70.6698,76.0873,70.1377,73.959,461125.0,0.5245
2023-07-16,73.3786,74.7329,70.8633,72.0242,156313.0,0.5664
2023-07-17,72.5079,79.1347,71.4921,75.7003,1148875.0,0.4463
2023-07-18,76.1841,81.1663,76.1357,77.6836,968444.0,0.5098
2023-07-19,78.4575,79.2314,74.9748,76.4743,338196.0,0.5599
2023-07-20,76.8613,76.8613,74.5395,74.8781,122925.0,0.5527
2023-07-23,75.652,78.264,74.9264,76.4743,193648.0,0.5058
2023-07-24,77.1031,78.2156,72.653,73.3302,248717.0,0.5301
2023-07-25,73.6204,76.3292,73.6204,74.6846,235042.0,0.6034
2023-07-26,75.3618,76.3292,71.6856,72.0725,229703.0,0.6623
2023-07-27,72.5562,73.0399,69.9442,70.2828,264690.0,0.6171
2023-07-30,70.3312,75.652,70.3312,74.9264,285689.0,0.5400
2023-07-31,75.5069,75.5069,72.4111,72.6046,125225.0,0.5541
2023-08-01,73.3785,75.0715,70.4279,71.9274,216051.0,0.4709
2023-08-02,71.9758,74.2976,71.9758,73.7655,128757.0,0.5138
2023-08-03,74.0557,75.2166,72.266,72.9916,111380.0,0.4928
2023-08-06,74.1525,74.5878,72.0725,72.266,95536.0,0.6006
2023-08-07,72.5079,76.6678,71.5405,72.2177,348058.0,0.4945
2023-08-08,72.8465,78.1189,72.8465,77.1515,483647.0,0.6483
2023-08-09,78.0705,78.8445,74.346,74.7329,398546.0,0.6218
2023-08-10,75.4101,77.1999,74.9748,76.1357,145651.0,0.5844
2023-08-13,76.4259,76.571,74.6362,75.1199,158003.0,0.6996
2023-08-15,74.8297,74.8297,70.7182,71.5405,454162.0,0.6205
2023-08-16,73.2334,73.2334,68.7833,69.4121,339270.0,0.6397
2023-08-17,70.4279,71.347,67.2355,67.5257,209964.0,0.5950
2023-08-20,68.1545,71.7823,67.9126,71.1535,252007.0,0.5343
2023-08-21,72.2177,75.4585,71.4921,74.9748,554524.0,0.4472
2023-08-22,75.4585,75.9906,72.3628,72.9432,227516.0,0.5954
2023-08-23,73.6688,80.6342,73.5237,78.4091,1026129.0,0.5451
2023-08-24,78.4091,85.3261,75.6036,84.4555,1593217.0,0.4148
2023-08-27,85.7615,86.9708,82.569,84.1652,1149687.0,0.3803
2023-08-28,85.1327,86.1001,82.3755,82.956,328005.0,0.6884
2023-08-29,83.875,84.7457,80.7793,81.0695,282743.0,0.6972
2023-08-30,80.7793,84.0685,80.4407,82.3271,163993.0,0.6953
2023-08-31,82.2304,84.9392,80.2956,81.65,192777.0,0.5897
2023-09-03,82.2304,90.5502,82.2304,88.1317,944322.0,0.6263
2023-09-04,89.6795,90.8404,84.0685,85.5196,452621.0,0.6569
2023-09-05,86.1485,87.0675,83.6332,85.5196,230025.0,0.5001
2023-09-06,85.5196,88.8572,84.9876,86.2452,268114.0,0.4483
2023-09-07,86.5354,87.261,83.2462,83.4881,334457.0,0.6386
2023-09-10,84.6973,90.5986,84.649,88.8089,779640.0,0.5577
2023-09-11,89.4377,89.9214,81.6983,82.569,733368.0,0.4876
2023-09-12,83.1978,84.0201,80.0537,83.3429,320737.0,0.4474
2023-09-13,84.0201,84.9876,81.263,81.7951,243244.0,0.6261
2023-09-14,82.4239,83.6815,80.5858,80.8277,171508.0,0.5826
2023-09-17,81.4081,84.6006,80.5858,81.1663,449994.0,0.4478
2023-09-19,81.1663,83.4397,80.1988,81.6983,334889.0,0.4657
2023-09-20,81.7467,82.9076,80.2956,80.9728,172175.0,0.6135
2023-09-21,82.2962,84.2568,78.7671,79.6494,448789.0,0.6094
2023-09-24,82.1491,85.2371,78.9141,79.6003,680381.0,0.5574
2023-09-25,79.6984,81.3649,78.326,78.7671,363589.0,0.6170
2023-09-26,78.424,80.6297,78.326,78.9632,258978.0,0.5214
2023-09-27,79.6984,79.8944,78.0319,78.522,164008.0,0.5979
2023-09-28,78.522,80.5316,77.9338,79.9435,268309.0,0.6303
2023-10-02,79.9925,80.4826,78.326,78.9141,174905.0,0.6412
2023-10-03,78.424,79.5513,76.6104,78.1789,162291.0,0.4374
2023-10-04,78.9632,81.659,77.5417,80.3356,304896.0,0.5035
2023-10-05,80.9238,81.3159,79.5513,80.3356,104737.0,0.5706
2023-10-08,79.4043,79.4043,77.0516,78.0809,145098.0,0.4814
2023-10-09,78.1299,79.6494,76.5124,77.9338,251004.0,0.6882
2023-10-10,78.9141,78.9141,76.1203,77.1496,297605.0,0.5937
2023-10-11,78.424,86.7565,78.424,81.2669,3317713.0,0.4171
2023-10-12,81.4629,81.61,72.7873,74.2577,2139589.0,0.6577
2023-10-15,74.9929,75.9732,73.5225,74.4048,699215.0,0.5589
2023-10-16,75.238,78.62,74.7969,77.0516,907624.0,0.4906
2023-10-17,77.5907,78.2769,75.8752,76.5614,382630.0,0.5365
2023-10-18,76.4144,79.1592,75.7282,78.2769,635218.0,0.5225
2023-10-19,77.1496,81.0708,77.0516,77.9338,786312.0,0.4345
2023-10-22,78.7671,78.7671,74.1107,74.5518,454974.0,0.4930
2023-10-24,76.3654,76.3654,70.9737,72.6402,302635.0,0.4510
2023-10-25,71.5619,72.5422,70.3855,71.954,343053.0,0.4679
2023-10-26,73.0323,75.238,72.5422,74.6008,205083.0,0.5371
2023-10-29,76.4144,78.8161,74.5028,77.0026,380054.0,0.6238
2023-10-30,76.7085,78.424,75.4831,76.7085,153992.0,0.4263
2023-10-31,76.7085,77.7868,76.4634,76.7085,70199.0,0.6129
2023-11-01,77.6888,78.326,75.5811,76.4144,152052.0,0.6526
2023-11-02,77.1496,77.1496,72.1501,73.4245,497220.0,0.6250
2023-11-05,73.6205,75.4341,73.6205,74.8949,153431.0,0.5141
2023-11-06,75.336,76.2183,74.4048,75.6791,151609.0,0.5406
2023-11-07,76.3654,76.7575,75.287,76.1693,122847.0,0.5519
2023-11-08,76.6595,78.2279,74.9439,75.5811,280004.0,0.3589
2023-11-09,75.6301,78.1789,75.4831,77.1496,327959.0,0.5459
2023-11-12,78.1789,78.1789,75.9732,76.3163,161363.0,0.6501
2023-11-14,85.3351,91.56,82.5903,91.56,5494011.0,0.4364
2023-11-15,95.0891,96.5595,88.325,89.4033,4072183.0,0.4049
2023-11-16,89.9915,95.8733,88.9132,91.3639,1852395.0,0.4181
2023-11-19,92.1482,92.5893,89.2073,90.4327,511929.0,0.5154
2023-11-20,91.1679,93.7167,89.7955,91.8051,533490.0,0.5210
2023-11-21,92.6383,100.3827,91.7561,97.1477,2583125.0,0.4686
2023-11-22,97.8339,99.6965,95.4322,96.6086,1032642.0,0.5424
2023-11-23,97.2457,98.03,92.4423,94.0108,598224.0,0.5146
2023-11-27,94.746,96.7066,92.9324,93.2755,472559.0,0.4667
2023-11-28,94.1088,99.4024,93.2755,97.5398,1296604.0,0.4185
2023-11-29,98.4221,100.6768,94.3539,95.4812,753488.0,0.4737
2023-11-30,96.3635,101.6571,95.0891,96.9517,1088060.0,0.5423
2023-12-03,98.3241,102.4904,95.0891,95.7753,1914835.0,0.4410
2023-12-04,95.8243,96.5595,88.5211,89.4033,1788738.0,0.5195
2023-12-05,90.4327,92.1482,89.6974,90.5307,825049.0,0.4949
2023-12-06,90.4817,90.5307,88.9132,89.3053,259892.0,0.5636
2023-12-07,89.9915,90.1876,81.9531,85.2861,1134712.0,0.5716
2023-12-10,86.1684,89.0602,85.3841,87.5408,555808.0,0.4655
2023-12-11,88.129,91.413,88.0799,88.9132,520423.0,0.5081
2023-12-12,88.9132,89.9915,87.2467,88.0309,296929.0,0.5681
2023-12-13,88.5701,89.6974,84.6979,85.5802,463192.0,0.6334
2023-12-14,87.0506,89.0602,85.2861,86.1684,384730.0,0.5438
2023-12-17,87.9819,90.5797,86.7565,88.9622,648471.0,0.5618
2023-12-18,89.2073,90.6777,87.4918,88.0309,234214.0,0.5561
2023-12-19,89.0112,96.8536,88.4721,89.8445,4096644.0,0.2844
2023-12-20,89.8445,93.8637,88.8152,93.2755,719076.0,0.4630
2023-12-21,94.1088,95.6773,92.4423,93.0305,619947.0,0.5098
2023-12-25,94.1088,94.5499,92.1972,92.5893,307446.0,0.5279
2023-12-26,92.6383,93.5206,89.8935,91.2659,420000.0,0.5309
2023-12-27,91.8051,92.0011,89.5014,90.0405,244163.0,0.5360
2023-12-28,89.7465,90.7758,88.4721,89.2563,297776.0,0.5593
2023-12-31,89.7465,91.3639,88.0309,89.7955,371465.0,0.4994
2024-01-01,90.3836,91.1679,87.6388,88.5701,596835.0,0.5040
2024-01-02,88.9132,90.9718,88.9132,89.4524,292363.0,0.4624
2024-01-03,89.7955,90.6287,89.3053,89.7955,222121.0,0.5860
2024-01-04,89.7955,90.6287,89.3053,89.9425,213296.0,0.5611
2024-01-07,89.9425,91.0699,86.8546,87.1977,585013.0,0.6663
