Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,17.3000,17.8500,16.7000,16.8000,296673.0000,0.3247
2023-06-06,16.8000,19.1000,16.8000,18.3500,1690068.0000,0.6704
2023-06-07,19.0000,19.8000,17.6000,17.8500,1309011.0000,0.5392
2023-06-08,17.9000,18.1500,17.6500,17.9500,138432.0000,0.4592
2023-06-11,17.9000,18.3000,17.5500,17.6000,169930.0000,0.1936
2023-06-12,17.8500,19.2000,17.6000,18.4500,967369.0000,0.1936
2023-06-13,18.9000,18.9000,17.9500,18.2000,313481.0000,0.1349
2023-06-14,18.2500,18.4000,17.9500,18.1000,209390.0000,0.6197
2023-06-15,18.0000,19.8000,17.9000,19.5000,1562998.0000,0.4607
2023-06-18,20.2000,21.9000,20.2000,21.6000,2711336.0000,0.5248
2023-06-19,21.7000,23.8000,21.5000,23.2000,1397044.0000,0.1124
2023-06-20,23.6000,24.5500,23.0000,23.3000,1146661.0000,0.6819
2023-06-21,23.4500,23.7500,22.0000,22.3500,550777.0000,0.5995
2023-06-22,22.0000,24.8500,21.2000,23.0500,1126098.0000,0.2274
2023-06-25,22.9500,23.8500,22.7500,23.2500,339042.0000,0.2091
2023-06-26,23.1000,24.1500,22.6000,23.4500,514823.0000,0.2100
2023-06-27,23.9000,24.2000,22.9500,23.1000,332816.0000,0.2825
2023-06-29,23.1000,23.9500,21.9500,23.4000,277733.0000,0.4149
2023-07-02,23.8500,23.8500,22.3500,22.9000,216553.0000,0.3592
2023-07-03,22.9500,24.0000,22.9000,23.9500,265669.0000,0.2747
2023-07-04,23.0500,24.6500,23.0500,23.6000,159093.0000,0.4671
2023-07-05,23.9000,24.4500,23.2000,23.7000,61088.0000,0.1837
2023-07-06,24.0000,24.0000,23.2000,23.8500,95762.0000,0.2753
2023-07-09,23.8500,23.8500,23.1000,23.2500,49836.0000,0.3198
2023-07-10,23.0000,23.7000,23.0000,23.0500,38007.0000,0.3736
2023-07-11,23.0500,23.8000,22.6000,22.9000,38460.0000,0.5711
2023-07-12,22.9500,23.5000,22.0500,22.4000,86486.0000,0.2198
2023-07-13,22.8500,22.8500,22.0000,22.5000,70857.0000,0.4085
2023-07-16,22.4000,22.8000,21.5000,22.0000,98731.0000,0.4554
2023-07-17,21.5000,22.3000,21.4500,21.7500,57466.0000,0.1279
2023-07-18,21.5000,22.2500,21.1500,21.7500,49803.0000,0.4645
2023-07-19,21.7000,22.2500,21.5500,22.0000,46009.0000,0.2023
2023-07-20,22.0000,22.7000,21.5500,22.2000,94507.0000,0.1390
2023-07-23,22.7500,22.8000,21.7500,22.0000,57164.0000,0.6693
2023-07-24,22.3000,22.3000,21.5500,21.6500,33268.0000,0.6794
2023-07-25,21.6500,21.6500,21.2000,21.3500,72766.0000,0.5850
2023-07-26,21.3000,22.0000,20.6000,20.8000,114946.0000,0.2828
2023-07-27,21.4000,21.4000,20.4500,20.8500,28817.0000,0.1586
2023-07-30,21.3000,21.3000,20.3000,20.8000,59194.0000,0.5105
2023-07-31,21.3500,21.3500,20.2500,20.6500,33676.0000,0.3641
2023-08-01,20.8500,21.0000,20.1000,20.6000,52461.0000,0.1732
2023-08-02,20.7000,21.6000,20.4000,21.6000,63120.0000,0.3971
2023-08-03,22.6500,22.6500,22.6500,22.6500,38867.0000,0.1206
2023-08-06,23.7500,23.7500,23.7500,23.7500,88099.0000,0.6456
2023-08-07,23.9000,23.9000,22.7000,23.2000,320755.0000,0.2553
2023-08-08,23.2000,23.2000,22.5000,23.1000,76157.0000,0.4975
2023-08-09,23.4500,23.5000,22.7500,23.1500,54021.0000,0.2870
2023-08-10,22.8000,23.3000,22.0000,22.6000,43703.0000,0.4120
2023-08-13,22.6000,23.5500,21.6500,22.0000,50690.0000,0.4280
2023-08-15,23.1000,23.1000,23.1000,23.1000,38760.0000,0.2109
2023-08-16,24.2500,24.2500,24.2500,24.2500,80266.0000,0.6818
2023-08-17,25.4500,25.4500,25.4500,25.4500,99892.0000,0.5651
2023-08-20,26.7000,26.7000,26.7000,26.7000,107446.0000,0.6637
2023-08-21,28.0000,28.0000,26.0000,27.8500,731930.0000,0.6369
2023-08-22,27.3000,27.3000,27.3000,27.3000,48893.0000,0.4587
2023-08-23,26.7500,26.7500,26.7500,26.7500,21319.0000,0.6531
2023-08-24,26.2500,26.2500,26.2500,26.2500,34798.0000,0.1531
2023-08-27,25.7500,25.7500,25.7500,25.7500,5322.0000,0.2176
2023-08-28,25.2500,25.2500,25.2500,25.2500,1666.0000,0.1271
2023-08-29,24.7500,24.7500,24.7500,24.7500,24504.0000,0.2952
2023-08-30,24.2500,24.2500,24.2500,24.2500,5944.0000,0.3332
2023-08-31,23.8000,23.8000,23.8000,23.8000,43381.0000,0.2628
2023-09-03,24.2500,24.2500,23.3500,24.2500,235243.0000,0.5972
2023-09-04,24.7000,24.7000,24.7000,24.7000,24225.0000,0.3141
2023-09-05,25.1500,25.1500,25.1500,25.1500,38774.0000,0.2686
2023-09-06,25.6500,25.6500,25.6500,25.6500,42137.0000,0.4256
2023-09-07,26.1500,26.1500,26.1500,26.1500,49540.0000,0.1846
2023-09-10,24.7500,25.9500,23.7000,24.7000,288759.0000,0.5813
2023-09-11,24.2000,24.2000,24.2000,24.2000,72656.0000,0.1447
2023-09-12,23.7500,23.7500,23.7500,23.7500,43184.0000,0.6921
2023-09-13,23.3000,23.3000,23.3000,23.3000,31057.0000,0.5633
2023-09-14,22.8500,22.8500,22.8500,22.8500,40290.0000,0.2192
2023-09-17,22.4000,22.4000,22.4000,22.4000,17311.0000,0.1033
2023-09-19,21.9500,21.9500,21.9500,21.9500,27298.0000,0.5893
2023-09-20,21.5500,21.9000,21.5500,21.5500,13063.0000,0.5241
2023-09-21,21.2000,21.3000,21.1500,21.2000,33049.0000,0.5374
2023-09-24,21.5500,21.6000,21.5000,21.5500,47654.0000,0.5628
