Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-04,7.2000,7.3000,7.2000,7.2500,4185257.0000,0.3247
2023-06-05,7.2500,7.4500,7.2500,7.3000,5279244.0000,0.6704
2023-06-06,7.3500,8.4000,7.3500,8.3000,45113524.0000,0.5392
2023-06-07,8.3000,8.3000,7.7000,7.8000,14449700.0000,0.4592
2023-06-08,7.8500,8.1000,7.8500,8.0500,8170648.0000,0.1936
2023-06-11,8.1500,9.0500,8.1000,8.6500,41395226.0000,0.1936
2023-06-12,8.6500,8.8500,8.5000,8.5500,12657824.0000,0.1349
2023-06-13,8.6000,8.9000,8.2500,8.3500,12370350.0000,0.6197
2023-06-14,8.4000,8.5000,8.0500,8.1000,11865544.0000,0.4607
2023-06-15,8.2000,8.3000,8.1000,8.1500,7727741.0000,0.5248
2023-06-18,8.2000,8.2500,8.0500,8.1000,6722602.0000,0.1124
2023-06-19,8.1000,8.1500,7.9000,8.0500,6174232.0000,0.6819
2023-06-20,8.0500,8.2000,7.9500,7.9500,5709137.0000,0.5995
2023-06-21,7.9500,8.1000,7.8000,7.9000,5256049.0000,0.2274
2023-06-22,7.9000,7.9500,7.6500,7.8000,5497746.0000,0.2091
2023-06-25,7.8000,7.8500,7.6500,7.7000,2935905.0000,0.2100
2023-06-26,7.7000,8.1000,7.7000,7.8500,6464798.0000,0.2825
2023-06-27,7.8500,8.1000,7.8500,7.8500,5619158.0000,0.4149
2023-06-29,7.9000,8.1000,7.8500,7.9500,3724600.0000,0.3592
2023-07-02,8.0000,8.2500,7.9500,8.0500,8615891.0000,0.2747
2023-07-03,8.0500,8.1500,7.9500,8.1000,6930138.0000,0.4671
2023-07-04,8.1500,8.8000,8.1500,8.4000,22251852.0000,0.1837
2023-07-05,8.4000,8.9000,8.4000,8.7500,22929862.0000,0.2753
2023-07-06,8.8000,8.9500,8.4000,8.6500,13015062.0000,0.3198
2023-07-09,8.5500,8.6000,8.1500,8.2000,9274023.0000,0.3736
2023-07-10,8.3500,8.4000,8.2000,8.2500,4683853.0000,0.5711
2023-07-11,8.3000,8.3500,8.1500,8.2500,7330867.0000,0.2198
