Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,33.6,33.9,33.5,33.55,3266.0,0.9758
2023-06-06,34.0,35.0,33.6,34.95,7094.0,0.8731
2023-06-07,35.95,36.0,34.7,35.5,6459.0,0.8983
2023-06-08,36.25,38.95,36.25,36.75,28144.0,0.4279
2023-06-11,38.5,40.4,38.25,40.4,21334.0,0.8138
2023-06-12,42.2,44.4,42.0,44.4,68461.0,0.6051
2023-06-13,46.6,46.6,45.75,46.6,45263.0,0.8274
2023-06-14,47.0,47.0,44.3,44.3,34282.0,0.7372
2023-06-15,42.1,42.1,42.1,42.1,8633.0,0.9884
2023-06-18,40.25,43.95,40.0,42.65,46339.0,0.6054
2023-06-19,42.8,43.0,40.6,41.4,17204.0,0.4662
2023-06-20,40.4,41.0,40.0,40.35,7346.0,0.7479
2023-06-21,41.3,41.3,38.55,39.15,15465.0,0.7124
2023-06-22,40.75,41.0,39.5,40.45,11166.0,0.7689
2023-06-25,41.0,42.0,40.0,40.3,9318.0,0.7338
2023-06-26,39.3,41.85,39.3,40.45,6227.0,0.6870
2023-06-27,40.2,42.05,40.1,42.05,9695.0,0.6627
2023-06-29,42.35,44.15,41.9,44.15,1207009.0,0.9934
2023-07-02,46.0,46.15,41.95,44.6,51044.0,0.5089
2023-07-03,45.15,45.5,42.75,43.5,29129.0,0.6168
2023-07-04,44.6,44.7,42.9,43.1,8847.0,0.5793
2023-07-05,45.05,45.05,43.0,43.4,16459.0,0.7090
2023-07-06,43.4,44.0,41.6,42.05,12978.0,0.6057
2023-07-09,42.05,43.55,41.2,42.0,6101.0,0.5099
2023-07-10,43.65,44.0,41.0,41.65,7200.0,0.5674
2023-07-11,41.7,42.9,41.1,41.3,4369.0,0.5928
2023-07-12,42.95,42.95,40.7,41.0,6255.0,0.6384
2023-07-13,41.4,42.85,41.4,42.6,6076.0,0.7349
2023-07-16,42.65,43.75,42.25,42.35,9019.0,0.7848
2023-07-17,42.35,42.85,40.6,42.1,9706.0,0.5382
2023-07-18,42.3,42.75,40.95,41.6,15318.0,0.5857
2023-07-19,41.6,41.95,40.5,41.0,6620.0,0.7287
2023-07-20,41.5,43.05,41.1,41.4,10658.0,0.4258
2023-07-23,42.25,43.45,41.3,43.3,18505.0,0.8179
2023-07-24,44.7,45.45,44.5,45.45,35484.0,0.7901
2023-07-25,46.9,47.7,46.5,47.7,38664.0,0.8248
2023-07-26,48.7,49.45,45.35,45.55,52575.0,0.6788
2023-07-27,45.0,46.0,43.4,44.5,37892.0,0.5133
2023-07-30,46.6,46.7,44.1,46.65,11254.0,0.7712
2023-07-31,47.0,48.0,44.55,44.9,18900.0,0.6330
2023-08-01,46.85,46.85,43.05,43.75,6785.0,0.6843
2023-08-02,45.5,45.5,43.1,44.7,862.0,0.6843
2023-08-03,45.5,45.5,43.55,44.0,3719.0,0.6843
2023-08-06,46.0,46.0,44.2,45.7,7478.0,0.6843
2023-08-07,45.7,46.0,43.55,44.85,4578.0,0.6843
2023-08-08,42.6,45.95,42.6,44.0,4663.0,0.6843
2023-08-09,44.0,45.0,41.8,43.7,8350.0,0.6843
2023-08-10,44.85,45.0,42.3,43.5,2559.0,0.6843
2023-08-13,42.25,44.35,41.35,41.35,13377.0,0.6843
2023-08-15,41.35,42.75,41.0,42.5,2819.0,0.6843
2023-08-16,44.6,44.6,42.5,42.5,2623.0,0.6843
2023-08-17,40.75,42.35,40.75,41.55,2486.0,0.6843
2023-08-20,42.4,43.0,40.6,41.9,6807.0,0.6843
