Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,63.0,63.0,61.15,61.75,1247.0,0.8468
2023-06-06,62.95,62.95,59.2,60.35,14551.0,0.6534
2023-06-07,61.95,61.95,59.0,59.1,10498.0,0.8357
2023-06-08,61.0,61.0,58.35,59.0,5602.0,0.7287
2023-06-11,59.1,61.2,58.5,60.35,29488.0,0.9143
2023-06-12,60.05,60.05,56.35,57.55,47845.0,0.6112
2023-06-13,60.4,60.4,56.95,57.9,8991.0,0.5078
2023-06-14,57.2,59.4,55.0,57.05,2935.0,0.5819
2023-06-15,57.05,58.9,56.55,57.7,3006.0,0.6018
2023-06-18,58.4,58.4,54.15,55.55,18802.0,0.8435
2023-06-19,55.55,56.8,53.25,54.0,18113.0,0.5591
2023-06-20,54.95,54.95,53.5,54.0,7440.0,0.7285
2023-06-21,55.0,55.0,51.85,52.9,10542.0,0.5613
2023-06-22,52.55,54.15,49.2,51.1,9218.0,0.6399
2023-06-25,51.95,61.3,51.05,52.75,96663.0,0.5333
2023-06-26,54.45,55.7,51.65,52.65,13258.0,0.4975
2023-06-27,55.0,55.0,53.5,53.8,5854.0,0.7513
2023-06-29,52.25,55.05,52.25,53.05,8321.0,0.8503
2023-07-02,53.35,53.9,51.6,51.8,8534.0,0.8303
2023-07-03,53.1,59.4,52.0,53.95,21160.0,0.4629
2023-07-04,55.0,59.0,53.15,57.25,13419.0,0.8164
2023-07-05,58.5,58.5,51.55,53.4,59747.0,0.6196
2023-07-06,53.4,55.75,52.1,53.6,19804.0,0.3173
2023-07-09,55.5,55.5,52.05,53.35,7308.0,0.4822
2023-07-10,53.3,54.35,52.45,52.7,1037.0,0.5661
2023-07-11,53.95,54.0,51.6,51.7,4788.0,0.8225
2023-07-12,52.05,53.75,43.35,49.0,49338.0,0.5408
2023-07-13,48.1,49.2,43.35,45.1,75684.0,0.6048
2023-07-16,45.9,46.5,42.65,43.2,50784.0,0.7753
2023-07-17,43.2,44.0,41.05,42.05,28242.0,0.7753
2023-07-18,42.0,42.95,39.95,40.35,42494.0,0.7753
2023-07-19,41.5,42.25,40.0,40.75,9208.0,0.7753
2023-07-20,42.3,42.3,40.0,42.0,9996.0,0.7753
2023-07-23,42.75,42.75,39.9,41.6,22091.0,0.7753
2023-07-24,40.05,42.5,39.55,39.65,30390.0,0.7753
2023-07-25,40.0,40.0,39.5,39.6,33325.0,0.7753
2023-07-26,41.4,41.4,39.05,39.95,4910.0,0.7753
2023-07-27,41.7,41.7,39.0,39.95,15044.0,0.7753
2023-07-30,41.8,41.8,39.5,40.75,5983.0,0.7753
2023-07-31,40.0,40.95,38.95,39.25,7496.0,0.7753
2023-08-01,40.45,40.45,37.3,38.7,22309.0,0.7753
2023-08-02,38.0,40.45,36.8,39.1,53322.0,0.7753
2023-08-03,40.3,40.45,38.3,39.8,13166.0,0.7753
2023-08-06,40.6,40.6,37.85,38.7,9692.0,0.7753
2023-08-07,38.7,39.5,38.0,39.3,4923.0,0.7753
2023-08-08,39.2,39.95,38.0,39.5,8437.0,0.7753
2023-08-09,39.5,39.9,38.0,39.65,3473.0,0.7753
2023-08-10,39.65,39.65,37.7,37.8,12265.0,0.7753
2023-08-13,39.0,39.0,36.85,38.35,14501.0,0.7753
2023-08-15,38.35,38.35,36.55,37.65,16109.0,0.7753
2023-08-16,37.65,38.25,36.55,37.15,3088.0,0.7753
2023-08-17,37.65,38.0,35.95,36.15,6325.0,0.7753
2023-08-20,37.25,37.5,36.15,36.8,6867.0,0.7753
2023-08-21,37.45,38.5,36.4,36.6,7610.0,0.7753
2023-08-22,37.25,37.4,35.0,35.6,43710.0,0.7753
2023-08-23,35.6,36.95,35.05,35.2,17946.0,0.7753
2023-08-24,34.3,36.4,34.3,35.35,7091.0,0.7753
2023-08-27,34.05,37.0,34.05,36.8,10134.0,0.7753
2023-08-28,38.45,38.45,36.2,37.65,5052.0,0.7753
