Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,5.85,5.85,5.75,5.85,20223.0,0.7231
2023-06-06,5.9,5.9,5.65,5.8,45688.0,0.7081
2023-06-07,5.9,5.9,5.75,5.8,28820.0,0.8421
2023-06-08,5.9,6.0,5.75,5.75,91963.0,0.5789
2023-06-11,5.75,6.05,5.75,5.8,29506.0,0.8182
2023-06-12,5.85,6.0,5.75,5.85,49645.0,0.7079
2023-06-13,5.9,6.0,5.8,5.85,33157.0,0.9190
2023-06-14,5.85,5.95,5.75,5.8,18057.0,0.5504
2023-06-15,5.8,5.85,5.75,5.8,12201.0,0.9154
2023-06-18,5.8,6.95,5.8,6.95,1576753.0,0.4373
2023-06-19,7.75,7.9,6.8,7.1,1814026.0,0.4291
2023-06-20,7.15,7.35,6.8,6.95,274117.0,0.6032
2023-06-21,6.75,6.95,6.5,6.75,151814.0,0.5664
2023-06-22,6.8,6.85,6.15,6.45,160983.0,0.4724
2023-06-25,6.45,6.75,6.05,6.25,184145.0,0.6523
2023-06-26,6.6,6.6,6.2,6.3,59194.0,0.6617
2023-06-27,6.4,6.45,5.7,6.25,65379.0,0.6188
2023-06-29,6.35,6.4,6.2,6.25,64807.0,0.7820
2023-07-02,6.25,6.4,6.1,6.25,60486.0,0.4791
2023-07-03,6.25,6.6,6.2,6.55,79675.0,0.6858
2023-07-04,6.9,6.9,6.3,6.35,131118.0,0.5695
2023-07-05,6.6,6.6,6.35,6.4,47806.0,0.7446
2023-07-06,6.45,6.45,6.2,6.3,82364.0,0.3829
2023-07-09,6.3,6.45,6.15,6.3,49661.0,0.6730
2023-07-10,6.15,6.5,6.15,6.35,65726.0,0.5082
2023-07-11,6.2,6.55,6.2,6.4,21007.0,0.6124
2023-07-12,6.4,6.55,6.05,6.1,52346.0,0.8354
2023-07-13,6.25,6.25,6.0,6.1,144699.0,0.8102
2023-07-16,6.1,6.15,6.0,6.05,37730.0,0.8979
2023-07-17,6.05,6.15,5.9,6.0,46100.0,0.7890
2023-07-18,6.1,6.25,5.8,5.85,161974.0,0.7258
2023-07-19,6.15,6.15,5.8,5.85,97688.0,0.9728
2023-07-20,5.95,5.95,5.8,5.9,83457.0,0.9232
2023-07-23,6.15,6.15,5.85,6.0,92451.0,0.7331
2023-07-24,6.05,6.25,5.9,6.05,220086.0,0.5002
2023-07-25,6.2,6.25,5.95,6.15,112722.0,0.8527
2023-07-26,6.25,6.25,6.05,6.05,53227.0,0.5729
2023-07-27,5.75,6.1,5.75,6.0,51001.0,0.8442
2023-07-30,6.0,6.05,5.85,5.95,91471.0,0.6396
2023-07-31,6.0,6.0,5.85,5.85,99709.0,0.8526
2023-08-01,5.85,6.1,5.85,6.0,63922.0,0.5984
2023-08-02,6.05,6.05,5.9,5.95,61341.0,0.8136
2023-08-03,6.1,6.1,5.85,5.95,32280.0,0.6450
2023-08-06,6.1,6.35,5.85,6.1,244815.0,0.4043
2023-08-07,6.25,6.25,6.0,6.1,53123.0,0.6122
2023-08-08,6.0,6.2,6.0,6.0,38270.0,0.8426
2023-08-09,6.1,6.1,5.95,6.0,62965.0,0.7365
2023-08-10,6.0,6.1,5.9,6.0,67580.0,0.6157
2023-08-13,6.05,6.05,5.1,5.85,104388.0,0.6632
2023-08-15,6.0,6.3,5.85,6.0,200398.0,0.4033
