Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,4.2500,4.3000,4.1500,4.2500,6686.0000,0.3247
2023-06-06,4.4000,4.4500,4.0000,4.3000,31211.0000,0.6704
2023-06-07,4.3000,4.4500,4.2500,4.3500,26295.0000,0.5392
2023-06-08,4.4500,4.6000,4.2000,4.3500,26163.0000,0.4592
2023-06-11,4.3500,4.6500,3.9500,4.2500,54954.0000,0.1936
2023-06-12,4.4000,4.4000,4.2500,4.3000,11056.0000,0.1936
2023-06-13,4.4000,4.4500,4.2000,4.4000,19042.0000,0.1349
2023-06-14,4.4500,4.7000,4.3500,4.6000,38483.0000,0.6197
2023-06-15,4.6000,4.9500,4.5000,4.7000,103733.0000,0.4607
2023-06-18,4.8500,4.8500,4.5500,4.5500,32575.0000,0.5248
2023-06-19,4.4500,4.7500,4.4000,4.6500,30853.0000,0.1124
2023-06-20,4.7500,4.7500,4.5000,4.5500,62825.0000,0.6819
2023-06-21,4.5000,4.6000,4.5000,4.6000,14071.0000,0.5995
2023-06-22,4.7000,4.7500,4.5500,4.5500,11966.0000,0.2274
2023-06-25,4.5000,4.5500,4.4000,4.4000,6327.0000,0.2091
2023-06-26,4.6000,4.6000,4.4500,4.5000,24539.0000,0.2100
2023-06-27,4.6000,4.6000,4.4500,4.6000,5849.0000,0.2825
2023-06-29,4.4500,4.6000,4.4500,4.5000,11409.0000,0.4149
2023-07-02,4.5000,4.6000,4.4500,4.5000,28018.0000,0.3592
2023-07-03,4.5500,4.5500,4.3500,4.4000,14216.0000,0.2747
2023-07-04,4.5000,4.5500,4.4000,4.4500,11892.0000,0.4671
2023-07-05,4.5000,4.5500,4.3500,4.4500,10240.0000,0.1837
2023-07-06,4.4500,4.5000,4.3500,4.4000,21345.0000,0.2753
2023-07-09,4.6500,4.7500,4.2000,4.6000,25202.0000,0.3198
2023-07-10,4.5500,4.6500,4.4500,4.4500,43060.0000,0.3736
2023-07-11,4.5500,4.5500,4.4500,4.4500,8854.0000,0.5711
2023-07-12,4.4500,4.6000,4.3500,4.4500,8189.0000,0.2198
2023-07-13,4.5500,4.5500,4.4000,4.4500,16073.0000,0.4085
2023-07-16,4.5000,4.5500,4.4500,4.4500,26600.0000,0.4554
2023-07-17,4.5500,4.7000,4.3500,4.5500,44000.0000,0.1279
2023-07-18,4.8000,4.8000,4.4000,4.4000,48896.0000,0.4645
2023-07-19,4.4000,4.5000,4.4000,4.5000,28122.0000,0.2023
2023-07-20,4.4500,4.5500,4.4500,4.4500,29731.0000,0.1390
2023-07-23,4.5500,4.8000,4.4500,4.5000,87782.0000,0.6693
2023-07-24,4.6500,4.6500,4.5500,4.5500,19831.0000,0.6794
2023-07-25,4.5500,4.6500,4.5000,4.5500,14499.0000,0.5850
2023-07-26,4.7000,4.7000,4.5000,4.5500,4961.0000,0.2828
2023-07-27,4.6500,4.6500,4.5000,4.6000,18740.0000,0.1586
2023-07-30,4.6500,4.7000,4.4500,4.4500,50411.0000,0.5105
2023-07-31,4.5000,4.7000,4.5000,4.6000,36696.0000,0.3641
2023-08-01,4.8500,4.8500,4.5000,4.5000,28970.0000,0.1732
2023-08-02,4.5500,4.7000,4.5000,4.5500,20780.0000,0.3971
2023-08-03,4.7500,4.7500,4.5500,4.6000,17781.0000,0.1206
2023-08-06,4.8000,5.3000,4.4000,4.9500,266298.0000,0.6456
2023-08-07,5.4000,5.4000,4.9500,5.0000,54178.0000,0.2553
2023-08-08,5.2000,5.2000,4.7000,4.9000,32704.0000,0.4975
2023-08-09,5.1500,5.8500,4.6500,5.6500,764424.0000,0.2870
2023-08-10,5.9000,6.7500,5.7500,6.1500,1144494.0000,0.4120
2023-08-13,5.9500,6.1500,5.6500,5.7500,244596.0000,0.4280
2023-08-15,5.9000,6.7000,5.9000,6.4500,320516.0000,0.2109
2023-08-16,6.8500,6.8500,6.0500,6.1000,142817.0000,0.6818
2023-08-17,6.3000,6.3500,5.6500,5.9500,117467.0000,0.5651
2023-08-20,6.1000,6.1500,5.7500,5.9000,101083.0000,0.6637
2023-08-21,5.9000,6.1000,5.5500,5.8000,134381.0000,0.6369
2023-08-22,5.8500,6.3000,5.6500,5.8500,175820.0000,0.4587
2023-08-23,5.8500,6.0000,5.5500,5.7500,50057.0000,0.6531
2023-08-24,5.8000,5.9000,5.6000,5.7000,20695.0000,0.1531
2023-08-27,5.8000,5.9000,5.6000,5.7000,15964.0000,0.2176
2023-08-28,5.7000,5.8500,5.5000,5.5500,65667.0000,0.1271
2023-08-29,5.5500,5.7000,5.4500,5.5500,45418.0000,0.2952
2023-08-30,5.4000,5.6500,5.4000,5.4500,31563.0000,0.3332
2023-08-31,5.6000,5.6500,5.3500,5.6500,41829.0000,0.2628
2023-09-03,5.7500,5.7500,5.5500,5.6500,25574.0000,0.5972
2023-09-04,5.6500,5.6500,5.4500,5.5000,34851.0000,0.3141
2023-09-05,5.3500,5.7000,5.3500,5.5500,20149.0000,0.2686
2023-09-06,5.7000,5.7000,5.4500,5.5000,35079.0000,0.4256
2023-09-07,5.7000,5.7000,5.5000,5.6500,52026.0000,0.1846
2023-09-10,5.8000,5.9000,5.5000,5.6000,46177.0000,0.5813
2023-09-11,5.7500,5.7500,5.3500,5.5000,17702.0000,0.1447
2023-09-12,5.5000,5.6000,5.3500,5.5000,10629.0000,0.6921
2023-09-13,5.7000,5.7000,5.4500,5.5000,10357.0000,0.5633
2023-09-14,5.6500,5.6500,5.3500,5.6500,23168.0000,0.2192
2023-09-17,5.6500,5.7000,5.4000,5.6500,32013.0000,0.1033
2023-09-19,5.7000,5.7000,5.4000,5.5000,29952.0000,0.5893
2023-09-20,5.6000,5.6000,5.3000,5.3500,5656.0000,0.5241
2023-09-21,5.4000,5.6000,5.2500,5.5000,36215.0000,0.5374
2023-09-24,5.5000,5.7500,5.3000,5.5500,7102.0000,0.5628
2023-09-25,5.5000,5.6000,5.3000,5.4000,11920.0000,0.1444
2023-09-26,5.4000,5.5000,5.2000,5.3500,12985.0000,0.3151
2023-09-27,5.3500,5.5000,5.2000,5.4000,8251.0000,0.1695
2023-09-28,5.5500,5.5500,5.2500,5.3000,8552.0000,0.6179
2023-10-02,5.4500,5.4500,5.2000,5.2500,11121.0000,0.4740
2023-10-03,5.2500,5.5000,5.2500,5.4000,12695.0000,0.2985
2023-10-04,5.4000,5.4000,5.2500,5.3500,10199.0000,0.1381
2023-10-05,5.2000,5.5000,5.2000,5.3000,9948.0000,0.2866
2023-10-08,5.3000,5.5500,5.3000,5.3500,16759.0000,0.2951
2023-10-09,5.2500,5.6000,5.1500,5.3500,48138.0000,0.5378
