Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,43.0000,43.0000,41.6500,41.9500,3087.0000,0.3247
2023-06-06,42.6000,43.9500,41.9500,42.3000,14848.0000,0.6704
2023-06-07,43.0500,43.0500,42.0500,42.7000,5693.0000,0.5392
2023-06-08,43.6000,43.7000,42.2500,42.9000,17397.0000,0.4592
2023-06-11,43.7000,43.7500,42.4500,42.9500,4783.0000,0.1936
2023-06-12,43.7500,43.7500,42.3500,43.2000,6890.0000,0.1936
2023-06-13,43.1000,45.8500,42.6500,45.1000,71150.0000,0.1349
2023-06-14,45.1000,46.5000,44.0000,44.2000,40315.0000,0.6197
2023-06-15,44.9500,45.0000,43.5500,44.4000,26645.0000,0.4607
2023-06-18,44.4000,44.9500,43.5500,43.9500,5522.0000,0.5248
2023-06-19,43.2000,44.2000,42.5000,43.2000,10826.0000,0.1124
2023-06-20,44.0500,44.0500,43.1000,43.4000,6194.0000,0.6819
2023-06-21,43.7000,43.9000,42.8000,42.9500,15219.0000,0.5995
2023-06-22,43.7000,43.7500,42.4000,43.3000,8559.0000,0.2274
2023-06-25,44.1000,44.1000,42.3000,42.5000,5250.0000,0.2091
2023-06-26,43.3500,43.3500,42.2500,42.5500,5997.0000,0.2100
2023-06-27,42.9000,42.9000,42.2000,42.4500,3189.0000,0.2825
2023-06-29,43.0000,44.0000,41.6000,43.7000,30508.0000,0.4149
2023-07-02,44.0000,44.4500,42.6000,43.1000,11992.0000,0.3592
2023-07-03,44.3000,44.3000,42.5500,42.5500,10525.0000,0.2747
2023-07-04,43.3000,43.3000,42.3500,42.7500,7333.0000,0.4671
2023-07-05,43.4500,44.0500,43.2000,43.6500,16558.0000,0.1837
2023-07-06,44.0000,44.0000,42.1500,42.6500,10856.0000,0.2753
2023-07-09,43.5000,43.7000,42.1000,42.7500,6815.0000,0.3198
2023-07-10,42.8000,46.8000,42.3000,44.2500,95576.0000,0.3736
2023-07-11,44.1500,44.9000,44.0000,44.1500,9438.0000,0.5711
2023-07-12,44.9500,45.7500,43.5500,43.7000,23980.0000,0.2198
2023-07-13,43.8000,43.8000,40.5500,42.7000,17717.0000,0.4085
2023-07-16,42.7500,43.6500,42.3500,42.7000,7084.0000,0.4554
2023-07-17,42.9000,42.9500,41.3000,42.1000,13987.0000,0.1279
