Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,75.7,79.4,74.25,78.2,3702512.0,0.2357
2023-06-20,78.5,78.85,75.8,76.35,1155314.0,0.3482
2023-06-21,76.0,79.2,76.0,77.2,1420110.0,0.2800
2023-06-22,77.2,77.95,73.4,74.05,750255.0,0.3917
2023-06-25,74.0,74.65,71.45,72.0,894075.0,0.3749
2023-06-26,72.4,75.25,72.15,73.45,1376842.0,0.2117
2023-06-27,73.8,74.4,72.2,72.95,609871.0,0.2885
2023-06-29,73.0,73.75,71.75,71.85,465945.0,0.4605
2023-07-02,72.25,74.95,71.6,72.8,1189999.0,0.2201
2023-07-03,73.0,73.55,71.85,72.45,502505.0,0.2862
2023-07-04,72.45,76.6,72.25,75.55,2203284.0,0.2827
2023-07-05,75.85,77.6,75.6,76.05,1512546.0,0.3079
2023-07-06,76.2,78.0,74.5,77.1,1199207.0,0.3672
2023-07-09,77.7,85.5,77.55,82.0,7210609.0,0.2778
2023-07-10,82.4,83.4,79.5,80.5,1860573.0,0.3482
2023-07-11,81.05,81.1,78.45,79.35,1028743.0,0.4033
2023-07-12,79.95,82.7,76.95,78.15,1739605.0,0.3253
2023-07-13,78.7,81.7,78.25,81.25,1318607.0,0.4178
2023-07-16,81.25,82.5,80.05,80.9,686096.0,0.4483
2023-07-17,81.5,83.6,78.25,81.45,1684518.0,0.2925
2023-07-18,82.0,91.9,81.75,83.45,9737677.0,0.1946
2023-07-19,84.0,84.15,80.5,81.95,2461047.0,0.2655
2023-07-20,81.8,82.95,80.55,81.7,1185550.0,0.3006
2023-07-23,81.95,82.8,80.5,82.1,983266.0,0.2958
2023-07-24,82.1,82.65,80.8,81.05,548809.0,0.3993
2023-07-25,81.6,83.95,80.8,81.8,1411738.0,0.2662
2023-07-26,82.3,84.75,81.8,82.7,791817.0,0.3230
2023-07-27,82.95,83.0,79.1,79.55,844421.0,0.5091
2023-07-30,80.0,80.65,77.55,78.05,1211902.0,0.4648
2023-07-31,78.95,81.9,78.55,80.0,1253319.0,0.2160
2023-08-01,80.0,80.5,77.4,78.75,742532.0,0.3218
2023-08-02,78.25,78.75,77.0,77.8,470811.0,0.2244
2023-08-03,78.6,78.95,77.65,78.25,395385.0,0.2800
2023-08-06,78.35,79.4,77.15,77.75,690946.0,0.2422
2023-08-07,78.35,79.25,76.75,76.9,528734.0,0.3548
2023-08-08,75.0,75.0,73.3,73.75,862112.0,0.5104
2023-08-09,74.25,74.85,73.15,73.95,414658.0,0.3288
2023-08-10,74.2,74.45,72.7,73.0,269021.0,0.4218
2023-08-13,73.0,73.0,70.65,71.45,303611.0,0.4006
2023-08-15,71.7,73.75,71.45,73.4,376773.0,0.2548
2023-08-16,73.9,75.0,73.0,73.75,563659.0,0.2838
2023-08-17,73.75,74.1,72.45,72.65,265698.0,0.4112
2023-08-20,72.95,73.2,71.9,72.35,148139.0,0.4294
2023-08-21,72.8,74.35,72.55,73.85,305014.0,0.3083
2023-08-22,74.35,77.5,74.0,74.55,1622578.0,0.2919
2023-08-23,75.15,77.7,74.6,76.5,1476555.0,0.2806
