Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,19.0433,19.6317,18.0917,18.285,169830.0,0.4679
2023-06-20,18.0333,19.1983,18.0333,18.9317,45960.0,0.6632
2023-06-21,19.3667,19.8767,19.3667,19.8767,109980.0,0.6983
2023-06-22,19.8783,20.87,19.8783,20.87,38550.0,0.7510
2023-06-25,20.87,21.9133,20.87,21.8933,168660.0,0.4785
2023-06-26,21.7,22.9867,20.9,22.6083,214260.0,0.4023
2023-06-27,23.7333,23.7333,22.1667,22.825,79530.0,0.7201
2023-06-29,21.75,23.6467,21.75,23.2417,108060.0,0.7843
2023-07-02,23.4,23.9633,22.67,22.9917,997620.0,0.5047
2023-07-03,23.8,23.8,21.8433,23.3217,143370.0,0.5394
2023-07-04,23.1967,23.5667,22.3467,23.0517,253500.0,0.8969
2023-07-05,22.7317,23.3333,22.365,22.93,346500.0,0.0737
2023-07-06,23.5,23.8317,21.935,22.1817,190380.0,0.0709
2023-07-09,23.1333,23.1333,21.3,21.9117,94050.0,0.5152
2023-07-10,21.9117,22.8233,21.2,21.9467,745560.0,0.6598
2023-07-11,22.8333,22.8333,21.535,21.7817,106680.0,0.8602
2023-07-12,22.0517,22.0517,21.14,21.615,1756530.0,0.5162
2023-07-13,21.755,22.0,21.7033,21.9783,348420.0,0.9539
2023-07-16,21.8,23.0767,21.6067,22.9967,208530.0,0.6822
2023-07-17,23.0667,23.9333,21.9,23.7117,2193540.0,0.5915
2023-07-18,24.8267,24.8267,24.0,24.6433,1812300.0,0.4083
2023-07-19,24.9267,25.495,24.6,24.8783,593250.0,0.6379
2023-07-20,24.8633,25.3,24.335,25.05,2633130.0,0.5786
2023-07-23,25.2567,25.3267,24.8667,24.99,1796760.0,0.5496
2023-07-24,25.9667,25.9667,23.8,24.3883,912150.0,0.7499
2023-07-25,24.2033,24.9683,24.2033,24.8133,1047990.0,0.6760
2023-07-26,25.5,25.5,24.5333,24.7883,1240710.0,0.1738
2023-07-27,25.1117,25.1117,24.4933,24.7167,838140.0,0.3065
2023-07-30,24.4667,25.9517,24.335,25.6617,3556890.0,0.5515
2023-07-31,26.5633,26.5633,25.1183,25.76,2848800.0,0.4426
2023-08-01,26.4667,26.4667,25.0,25.5783,1180860.0,0.6029
2023-08-02,25.6683,26.1667,25.3667,25.92,2452320.0,0.5688
2023-08-03,26.6667,26.6667,24.8367,25.415,391920.0,0.5596
2023-08-06,25.765,26.1667,24.6017,25.76,2012040.0,0.4441
2023-08-07,26.205,26.2583,25.535,25.8867,2014560.0,0.6621
2023-08-08,26.5817,26.7983,25.6667,26.5883,4426380.0,0.6840
2023-08-09,26.6667,26.6667,25.5583,26.235,4081260.0,0.6418
2023-08-10,26.8333,26.8333,25.3867,25.915,1630200.0,0.7062
2023-08-13,26.0967,26.6,25.5883,25.9883,3716040.0,0.7120
2023-08-15,25.9883,27.0,25.0333,26.6817,1857690.0,0.6066
2023-08-16,27.165,27.165,26.0333,26.545,2301630.0,0.9077
2023-08-17,27.1,27.1,25.905,26.4117,1894020.0,0.5368
2023-08-20,26.6,26.9333,26.1,26.5017,2920650.0,0.5451
2023-08-21,26.6633,26.9333,25.5,25.74,490680.0,0.4005
2023-08-22,25.7667,26.3,25.685,26.2817,1559910.0,0.7163
