Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,15.5500,15.8500,15.0500,15.4500,5688.0000,0.3247
2023-06-06,15.7500,15.7500,15.1000,15.1500,17730.0000,0.6704
2023-06-07,15.5000,15.6500,15.1000,15.3000,6909.0000,0.5392
2023-06-08,15.2500,15.6000,15.2000,15.4000,4148.0000,0.4592
2023-06-11,15.8500,15.8500,15.1000,15.3500,4727.0000,0.1936
2023-06-12,15.6500,15.6500,15.1000,15.1500,16252.0000,0.1936
2023-06-13,15.2000,15.2500,14.8500,14.9500,16433.0000,0.1349
2023-06-14,15.4500,15.4500,15.0000,15.1500,11685.0000,0.6197
2023-06-15,15.1500,15.4500,15.0500,15.1500,5203.0000,0.4607
2023-06-18,15.5500,15.5500,15.0000,15.0500,3726.0000,0.5248
2023-06-19,15.4500,15.4500,15.0000,15.2000,10347.0000,0.1124
2023-06-20,15.1500,15.2000,15.0500,15.1000,8406.0000,0.6819
2023-06-21,15.5000,15.5000,14.3500,14.6500,13981.0000,0.5995
2023-06-22,15.1000,15.1000,14.5000,14.6500,6299.0000,0.2274
2023-06-25,15.0500,15.0500,14.5000,14.9000,3704.0000,0.2091
2023-06-26,15.3000,15.3000,14.6000,14.9500,4864.0000,0.2100
2023-06-27,15.2500,15.2500,14.6000,15.0000,13186.0000,0.2825
2023-06-29,14.7500,15.0000,14.4500,14.8000,15441.0000,0.4149
2023-07-02,14.6000,15.2000,14.5000,14.8500,4609.0000,0.3592
2023-07-03,14.8500,14.8500,14.4500,14.6000,6296.0000,0.2747
2023-07-04,14.7500,14.9500,14.5000,14.6000,14189.0000,0.4671
2023-07-05,14.8000,15.0500,14.5000,14.6000,6970.0000,0.1837
2023-07-06,14.6000,14.8000,14.5000,14.6500,8557.0000,0.2753
2023-07-09,15.1000,15.1000,14.4500,14.5000,5197.0000,0.3198
2023-07-10,14.6000,14.6500,14.4000,14.4000,2099.0000,0.3736
2023-07-11,14.4500,14.5500,14.2000,14.2500,3034.0000,0.5711
2023-07-12,14.1000,14.4000,13.8500,14.0500,7454.0000,0.2198
2023-07-13,14.2500,14.4500,14.0000,14.1500,5678.0000,0.4085
2023-07-16,14.3500,14.8000,13.8500,14.0000,8682.0000,0.4554
2023-07-17,14.0000,14.4500,13.8000,14.1000,19585.0000,0.1279
2023-07-18,14.2000,14.5000,14.0000,14.1000,24474.0000,0.4645
2023-07-19,13.9000,14.2500,13.9000,14.0000,11723.0000,0.2023
