Date,Open,High,Low,Close,Volume,Delivery_Percentage
2025-10-14,82.455,85.06,77.75,79.32,48914.0,0.6347
2025-10-15,83.99,87.5,79.375,85.885,69138.0,0.7407
2025-10-16,85.63,87.39,83.745,84.75,31656.0,0.8831
2025-10-19,91.5,91.5,80.005,80.42,40776.0,0.6225
2025-10-20,80.42,85.1,80.42,83.72,10324.0,0.8018
2025-10-22,83.72,83.72,79.02,80.265,17168.0,0.5556
2025-10-23,87.395,87.395,76.67,78.82,51500.0,0.6578
2025-10-26,77.245,88.195,76.775,84.215,98130.0,0.3463
2025-10-27,85.0,88.14,84.5,85.3,70736.0,0.4960
2025-10-28,87.0,87.7,83.47,85.41,50578.0,0.6458
2025-10-29,86.49,86.49,84.15,84.46,26886.0,0.6243
2025-10-30,83.935,83.935,80.0,80.5,33958.0,0.6447
2025-11-02,74.0,82.5,74.0,80.895,103406.0,0.3390
2025-11-03,82.5,84.995,78.02,81.72,114916.0,0.6384
2025-11-05,78.45,80.955,76.0,77.625,107348.0,0.6008
2025-11-06,77.8,80.0,75.885,77.27,19166.0,0.4711
2025-11-09,78.8,78.8,70.555,74.535,14652.0,0.7596
2025-11-10,74.225,76.135,71.665,73.02,18398.0,0.6449
2025-11-11,74.615,74.615,72.55,73.285,5070.0,0.5471
2025-11-12,73.285,75.5,71.05,73.965,12708.0,0.6868
2025-11-13,72.505,72.98,70.675,72.055,20288.0,0.6753
2025-11-16,72.055,72.915,69.25,71.13,39660.0,0.6056
2025-11-17,71.81,71.81,68.575,69.59,34262.0,0.5401
2025-11-18,69.94,70.345,66.105,68.97,158156.0,0.2000
2025-11-19,68.99,71.255,68.625,69.03,88610.0,0.7072
2025-11-20,70.81,70.81,68.75,68.815,34004.0,0.6222
2025-11-23,67.0,70.0,67.0,67.6,348516.0,0.9525
2025-11-24,67.065,69.32,66.385,67.045,130990.0,0.7859
2025-11-25,67.505,67.89,66.75,67.505,46312.0,0.8231
2025-11-26,67.01,69.33,67.01,68.58,12376.0,0.5512
2025-11-27,68.505,69.95,68.505,69.03,20212.0,0.8042
2025-11-30,68.04,71.62,68.04,69.01,30414.0,0.4761
2025-12-01,69.005,69.995,68.25,69.0,62730.0,0.9130
2025-12-02,70.62,71.125,68.005,68.43,23210.0,0.6707
2025-12-03,69.315,69.325,67.75,67.88,36340.0,0.8549
2025-12-04,68.275,69.325,66.225,67.36,81068.0,0.2508
2025-12-07,68.07,68.075,66.06,66.885,73892.0,0.9050
2025-12-08,68.0,68.0,66.305,66.925,62730.0,0.9339
2025-12-09,68.0,68.445,66.51,66.875,100820.0,0.9119
2025-12-10,67.975,69.44,63.115,66.59,108968.0,0.5566
2025-12-11,66.55,70.0,66.455,68.005,88234.0,0.6245
2025-12-14,69.79,72.2,67.16,68.27,78355.0,0.6225
2025-12-15,69.5,69.5,66.0,66.97,18826.0,0.6368
2025-12-16,65.0,66.82,60.05,66.45,39836.0,0.2562
2025-12-17,64.01,64.98,61.85,62.95,42360.0,0.4382
2025-12-18,64.99,65.81,60.05,60.54,124280.0,0.3512
2025-12-21,60.0,63.99,59.11,61.09,115958.0,0.6408
2025-12-22,61.75,64.5,59.83,63.69,97440.0,0.3196
2025-12-23,67.49,67.49,61.71,62.97,217674.0,0.2887
2025-12-25,65.0,65.0,62.2,63.4,43936.0,0.6854
2025-12-28,62.2,66.55,61.96,63.02,106405.0,0.8658
2025-12-29,62.4,65.8,60.18,62.5,66481.0,0.4734
2025-12-30,63.0,63.0,60.92,61.95,19007.0,0.5858
2025-12-31,62.48,62.75,61.3,62.0,25848.0,0.8086
2026-01-01,62.31,62.31,61.0,61.81,13604.0,0.6286
2026-01-04,62.12,62.14,60.71,60.81,9640.0,0.6899
2026-01-05,61.5,62.99,59.0,59.21,49618.0,0.7035
2026-01-06,61.99,61.99,53.9,57.29,37218.0,0.5994
2026-01-07,57.5,60.36,57.5,58.65,30840.0,0.5181
2026-01-08,59.9,60.71,58.0,58.47,50715.0,0.7870
2026-01-11,59.79,60.58,58.52,59.68,65967.0,0.7833
2026-01-12,60.0,60.96,58.41,59.1,75787.0,0.7991
2026-01-13,59.01,68.39,59.01,63.49,281644.0,0.3798
2026-01-15,63.49,65.0,60.32,61.47,103440.0,0.6842
2026-01-18,64.0,64.0,58.12,59.18,45227.0,0.5679
2026-01-19,59.2,59.76,55.41,57.49,54044.0,0.5586
2026-01-20,55.25,58.09,54.37,54.71,67083.0,0.4074
2026-01-21,56.5,58.7,54.91,55.01,32877.0,0.3517
2026-01-22,44.02,55.0,44.02,53.97,98687.0,0.5527
2026-01-26,55.1,55.6,50.62,51.23,51520.0,0.4579
2026-01-27,50.26,53.77,50.26,51.06,126023.0,0.3014
2026-01-28,51.95,51.95,50.3,51.08,57397.0,0.7436
2026-01-29,49.0,54.47,49.0,50.04,117168.0,0.8089
2026-02-01,51.2,55.99,49.3,53.32,87947.0,0.6242
2026-02-02,52.0,55.65,52.0,54.41,88657.0,0.6038
2026-02-03,57.0,62.98,53.03,59.61,123747.0,0.2694
2026-02-04,63.3,64.0,58.52,61.67,38061.0,0.6705
2026-02-05,65.9,65.9,58.0,59.28,46911.0,0.3699
2026-02-08,63.0,63.01,57.31,61.67,71237.0,0.2985
2026-02-09,62.8,62.8,59.51,59.85,84873.0,0.2783
2026-02-10,61.5,62.0,59.5,61.05,33751.0,0.7016
2026-02-11,61.51,63.0,60.0,61.43,20863.0,0.6326
2026-02-12,61.0,62.49,58.3,60.35,38308.0,0.6697
2026-02-15,62.75,62.75,59.89,61.31,40365.0,0.5864
2026-02-16,60.99,62.0,60.3,61.07,28324.0,0.6827
2026-02-17,61.9,63.4,60.21,62.56,25997.0,0.6198
2026-02-18,63.18,64.89,62.0,62.72,15527.0,0.5921
2026-02-19,64.9,64.9,61.07,61.47,51680.0,0.5482
2026-02-22,61.5,65.8,60.56,62.67,33265.0,0.4605
2026-02-23,64.9,67.0,61.15,65.41,45517.0,0.5873
2026-02-24,67.0,69.9,62.5,67.16,88828.0,0.7233
2026-02-25,67.16,69.0,64.32,65.47,29210.0,0.6366
2026-02-26,64.07,64.67,62.5,63.4,31840.0,0.6338
2026-03-01,66.99,66.99,61.83,62.13,39121.0,0.7125
2026-03-03,57.0,67.95,57.0,65.94,21638.0,0.5569
2026-03-04,65.5,68.5,64.86,66.8,39582.0,0.7827
2026-03-05,65.45,69.09,64.57,68.83,86944.0,0.6970
2026-03-08,67.5,74.95,66.22,67.31,47542.0,0.7663
2026-03-09,68.9,70.0,67.04,68.95,45573.0,0.4523
2026-03-10,71.0,71.0,66.05,67.14,50986.0,0.6131
2026-03-11,65.1,67.75,65.1,66.13,29292.0,0.5228
2026-03-12,63.99,65.59,63.21,64.49,37677.0,0.6747
2026-03-15,65.69,65.69,63.14,63.99,13839.0,0.6558
2026-03-16,64.1,70.0,62.1,62.93,52272.0,0.5895
2026-03-17,63.0,63.79,62.01,63.06,22644.0,0.5465
2026-03-18,63.03,63.25,61.01,61.55,17949.0,0.5974
2026-03-19,64.99,64.99,61.62,62.25,12128.0,0.7639
2026-03-22,57.6,62.03,55.61,58.44,62720.0,0.7675
2026-03-23,63.43,65.5,58.4,64.32,71223.0,0.6912
2026-03-24,62.8,69.89,62.65,67.92,125124.0,0.6825
2026-03-26,69.99,69.99,62.1,62.65,34683.0,0.5183
2026-03-29,62.5,62.5,58.6,59.13,230992.0,0.8888
2026-03-31,59.4,65.24,59.4,62.31,31811.0,0.6314
2026-04-01,61.03,61.03,59.06,59.86,23730.0,0.6120
2026-04-05,64.48,67.99,59.14,64.86,41566.0,0.7295
