Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,17.9000,18.5000,17.6500,17.9500,40407.0000,0.3247
2023-06-06,17.5500,18.9000,17.5500,18.5000,44671.0000,0.6704
2023-06-07,18.8000,19.2500,18.3500,18.7500,14444.0000,0.5392
2023-06-08,18.7500,19.2000,18.5500,18.6000,13937.0000,0.4592
2023-06-11,19.4500,19.4500,18.3500,18.7500,17793.0000,0.1936
2023-06-12,19.4500,19.4500,18.1000,18.6000,19762.0000,0.1936
2023-06-13,19.3000,19.3000,18.5500,18.5500,10991.0000,0.1349
2023-06-14,18.8000,20.4000,18.6500,20.4000,158381.0000,0.6197
2023-06-15,21.6000,22.4000,21.4000,22.4000,290628.0000,0.4607
2023-06-18,23.6500,24.6000,23.4500,24.6000,81086.0000,0.5248
2023-06-19,25.8000,25.8000,24.4500,25.7500,241161.0000,0.1124
2023-06-20,26.5500,27.0000,24.5000,24.5000,278443.0000,0.6819
2023-06-21,23.3000,24.9000,23.3000,23.6500,26994.0000,0.5995
2023-06-22,22.5000,24.5000,22.5000,23.8000,43137.0000,0.2274
2023-06-25,23.8000,24.0000,22.7000,23.0000,15729.0000,0.2091
2023-06-26,23.5000,24.1500,23.3000,24.0500,20418.0000,0.2100
2023-06-27,24.4500,24.4500,23.1000,24.1500,13198.0000,0.2825
2023-06-29,24.1500,25.0000,23.6000,23.6500,19892.0000,0.4149
2023-07-02,23.4500,24.3500,23.4000,23.5000,9731.0000,0.3592
2023-07-03,23.5000,23.5000,22.7000,22.7500,9173.0000,0.2747
2023-07-04,22.7000,23.5000,22.1500,23.1000,19034.0000,0.4671
2023-07-05,23.2500,23.5000,22.5000,23.1000,17762.0000,0.1837
2023-07-06,22.9000,23.3500,22.4000,23.3000,34083.0000,0.2753
2023-07-09,23.9500,24.0000,22.7000,23.5500,11968.0000,0.3198
2023-07-10,22.6000,23.8500,22.6000,23.0500,4301.0000,0.3736
2023-07-11,23.5000,23.5000,22.2500,22.6000,10947.0000,0.5711
2023-07-12,22.5500,23.4000,22.0500,23.1000,19637.0000,0.2198
2023-07-13,22.9500,22.9500,22.1000,22.7000,3746.0000,0.4085
2023-07-16,23.0000,23.0000,21.7000,21.7500,5628.0000,0.4554
2023-07-17,21.8000,22.3000,20.7000,21.2000,15132.0000,0.1279
2023-07-18,21.2000,21.5000,20.2000,20.8000,6762.0000,0.4645
2023-07-19,20.8000,21.3000,20.7000,20.9000,7104.0000,0.2023
2023-07-20,21.5000,21.8000,20.3000,21.2000,17643.0000,0.1390
2023-07-23,21.0000,21.2500,20.5500,21.0000,12842.0000,0.6693
2023-07-24,20.3500,22.0500,20.3500,22.0000,10426.0000,0.6794
2023-07-25,22.9000,23.1000,21.2500,22.0000,30739.0000,0.5850
2023-07-26,21.8500,22.5500,21.1500,22.0500,8436.0000,0.2828
2023-07-27,22.6000,23.0500,22.1000,22.5500,16925.0000,0.1586
2023-07-30,23.4500,23.6000,22.5000,23.1000,23894.0000,0.5105
2023-07-31,23.1000,23.5000,22.1500,23.2500,7264.0000,0.3641
2023-08-01,22.8000,22.8000,22.8000,22.8000,1747.0000,0.1732
2023-08-02,22.3500,22.3500,22.3500,22.3500,120.0000,0.3971
2023-08-03,22.3500,22.3500,22.0000,22.3500,2971.0000,0.1206
2023-08-06,22.5000,22.7500,22.4000,22.5000,22323.0000,0.6456
2023-08-07,22.9500,22.9500,22.9500,22.9500,40800.0000,0.2553
2023-08-08,23.4000,23.4000,22.6500,23.4000,20035.0000,0.4975
2023-08-09,23.0000,23.8500,22.9500,23.0000,14805.0000,0.2870
2023-08-10,22.5500,22.5500,22.5500,22.5500,925.0000,0.4120
2023-08-13,22.1500,22.9500,22.1000,22.1500,5072.0000,0.4280
2023-08-15,22.0000,22.1500,22.0000,22.0000,2075.0000,0.2109
2023-08-16,21.6000,21.6000,21.6000,21.6000,4101.0000,0.6818
2023-08-17,22.0000,22.0000,22.0000,22.0000,7610.0000,0.5651
2023-08-20,22.4000,22.4000,22.4000,22.4000,21370.0000,0.6637
