Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,3.0,3.5,2.95,3.5,5393276.0,0.3304
2023-06-20,3.6,3.7,3.05,3.15,2086911.0,0.5679
2023-06-21,3.25,3.45,3.1,3.15,687497.0,0.6026
2023-06-22,3.2,3.25,3.0,3.05,430240.0,0.4174
2023-06-25,3.05,3.15,2.95,3.0,324734.0,0.6169
2023-06-26,2.95,3.45,2.95,3.3,1104718.0,0.6212
2023-06-27,3.4,3.95,3.2,3.85,3362830.0,0.4708
2023-06-29,3.85,4.1,3.6,3.75,1407082.0,0.5508
2023-07-02,3.75,3.8,3.4,3.45,914300.0,0.7722
2023-07-03,3.5,3.75,3.4,3.55,758577.0,0.6538
2023-07-04,3.6,4.25,3.55,4.25,10199770.0,0.3964
2023-07-05,4.2,4.9,3.85,4.45,8771755.0,0.3596
2023-07-06,4.5,4.75,4.0,4.0,5447969.0,0.4349
2023-07-09,4.1,4.15,3.9,3.95,647082.0,0.6421
2023-07-10,3.95,4.0,3.75,3.75,394062.0,0.6421
2023-07-11,3.8,3.9,3.6,3.75,319086.0,0.6421
2023-07-12,3.85,3.9,3.6,3.65,252930.0,0.6421
2023-07-13,3.75,3.8,3.5,3.5,441287.0,0.6421
2023-07-16,3.45,3.5,3.35,3.35,335368.0,0.6421
2023-07-17,3.3,3.4,3.2,3.35,322407.0,0.6421
2023-07-18,3.4,3.4,3.25,3.35,196055.0,0.6421
2023-07-19,3.35,3.5,3.3,3.5,334046.0,0.6421
2023-07-20,3.6,3.6,3.4,3.45,200586.0,0.6421
2023-07-23,3.45,3.55,3.35,3.4,127295.0,0.6421
2023-07-24,3.45,3.55,3.25,3.45,400957.0,0.6421
2023-07-25,3.5,3.55,3.35,3.45,74281.0,0.6421
2023-07-26,3.5,3.5,3.4,3.5,137398.0,0.6421
2023-07-27,3.5,3.5,3.35,3.4,207014.0,0.6421
2023-07-30,3.45,3.45,3.25,3.35,500327.0,0.6421
2023-07-31,3.35,3.35,3.2,3.2,240894.0,0.6421
2023-08-01,3.25,3.35,3.2,3.3,249380.0,0.6421
2023-08-02,3.35,3.35,3.2,3.35,112843.0,0.6421
2023-08-03,3.35,3.35,3.25,3.35,101232.0,0.6421
2023-08-06,3.35,3.5,3.2,3.2,753497.0,0.6421
2023-08-07,3.3,3.35,3.15,3.35,234255.0,0.6421
2023-08-08,3.4,3.45,3.25,3.35,141376.0,0.6421
2023-08-09,3.35,3.4,3.2,3.2,243283.0,0.6421
2023-08-10,3.15,3.3,3.15,3.2,126494.0,0.6421
2023-08-13,3.25,3.25,3.1,3.1,141384.0,0.6421
2023-08-15,3.2,3.2,3.05,3.15,116104.0,0.6421
2023-08-16,3.15,3.15,3.05,3.15,125281.0,0.6421
2023-08-17,3.05,3.2,3.05,3.1,129771.0,0.6421
2023-08-20,3.2,3.2,3.0,3.05,192533.0,0.6421
2023-08-21,3.15,3.15,3.0,3.0,242625.0,0.6421
2023-08-22,3.1,3.1,3.0,3.05,166515.0,0.6421
2023-08-23,3.1,3.15,3.05,3.1,94727.0,0.6421
2023-08-24,3.1,3.2,3.0,3.2,186162.0,0.6421
2023-08-27,3.25,3.25,3.1,3.1,124685.0,0.6421
2023-08-28,3.2,3.2,3.1,3.15,259971.0,0.6421
2023-08-29,3.2,3.2,3.1,3.2,202822.0,0.6421
2023-08-30,3.25,3.3,3.2,3.25,304756.0,0.6421
2023-08-31,3.3,3.3,3.15,3.15,237862.0,0.6421
2023-09-03,3.15,3.25,3.15,3.15,318438.0,0.6421
2023-09-04,3.3,3.3,3.15,3.25,255640.0,0.6421
2023-09-05,3.3,3.4,3.2,3.4,562280.0,0.6421
2023-09-06,3.5,3.5,3.35,3.45,363561.0,0.6421
2023-09-07,3.5,3.6,3.4,3.6,397520.0,0.6421
2023-09-10,3.75,3.75,3.6,3.75,650023.0,0.6421
2023-09-11,3.9,3.9,3.6,3.65,556979.0,0.6421
2023-09-12,3.6,3.6,3.6,3.6,20372.0,0.6421
2023-09-13,3.55,3.55,3.55,3.55,65507.0,0.6421
2023-09-14,3.5,3.5,3.5,3.5,27364.0,0.6421
2023-09-17,3.45,3.45,3.45,3.45,69389.0,0.6421
2023-09-19,3.4,3.4,3.4,3.4,14775.0,0.6421
2023-09-20,3.35,3.35,3.35,3.35,17943.0,0.6421
2023-09-21,3.3,3.3,3.3,3.3,48750.0,0.6421
2023-09-24,3.25,3.25,3.25,3.25,55933.0,0.6421
2023-09-25,3.25,3.25,3.2,3.25,135399.0,0.6421
2023-09-26,3.2,3.25,3.2,3.2,36564.0,0.6421
2023-09-27,3.15,3.2,3.15,3.15,56150.0,0.6421
2023-09-28,3.1,3.15,3.1,3.1,62674.0,0.6421
2023-10-02,3.1,3.1,3.05,3.1,52846.0,0.6421
2023-10-03,3.05,3.1,3.05,3.05,87848.0,0.6421
2023-10-04,3.0,3.05,3.0,3.0,44466.0,0.6421
2023-10-05,3.0,3.0,3.0,3.0,37441.0,0.6421
2023-10-08,3.0,3.0,3.0,3.0,32992.0,0.6421
2023-10-09,3.0,3.0,3.0,3.0,47645.0,0.6421
2023-10-10,3.0,3.05,3.0,3.0,38241.0,0.6421
2023-10-11,3.0,3.0,3.0,3.0,47899.0,0.6421
2023-10-12,3.05,3.05,3.0,3.05,14160.0,0.6421
2023-10-15,3.1,3.2,3.1,3.2,239803.0,0.6421
2023-10-16,3.35,3.35,3.2,3.35,273851.0,0.6421
2023-10-17,3.45,3.5,3.2,3.3,164742.0,0.6421
2023-10-18,3.35,3.35,3.2,3.25,95394.0,0.6421
2023-10-19,3.3,3.3,3.1,3.2,213259.0,0.6421
2023-10-22,3.25,3.25,3.05,3.1,120951.0,0.6421
2023-10-24,3.1,3.15,2.95,2.95,160436.0,0.6421
2023-10-25,3.0,3.0,2.8,2.95,277182.0,0.6421
2023-10-26,2.95,3.05,2.95,2.95,134912.0,0.6421
2023-10-29,3.05,3.15,2.9,3.0,220565.0,0.6606
2023-10-30,3.0,3.3,3.0,3.2,361240.0,0.6002
2023-10-31,3.3,3.3,3.0,3.1,419837.0,0.5347
2023-11-01,3.15,3.25,3.05,3.15,343002.0,0.6231
2023-11-02,3.25,3.25,3.1,3.1,172773.0,0.8489
2023-11-05,3.25,3.35,3.15,3.15,585806.0,0.6543
2023-11-06,3.2,3.25,3.15,3.2,204876.0,0.7700
2023-11-07,3.2,3.45,3.2,3.25,527010.0,0.6236
2023-11-08,3.25,3.4,3.1,3.3,462758.0,0.6400
2023-11-09,3.3,3.35,3.2,3.25,201102.0,0.5561
2023-11-12,3.3,3.4,3.2,3.3,296850.0,0.7606
2023-11-14,3.4,3.4,3.3,3.35,298964.0,0.7188
2023-11-15,3.4,3.5,3.25,3.35,315361.0,0.4410
2023-11-16,3.4,3.4,3.1,3.3,459689.0,0.6237
2023-11-19,3.4,3.4,3.3,3.35,281770.0,0.8077
2023-11-20,3.4,3.4,3.3,3.3,207780.0,0.7316
2023-11-21,3.35,3.4,3.25,3.4,394936.0,0.5944
2023-11-22,3.4,3.5,3.35,3.4,326221.0,0.5377
2023-11-23,3.45,3.45,3.3,3.35,370454.0,0.5401
2023-11-27,3.45,3.65,3.4,3.5,914752.0,0.4504
2023-11-28,3.6,3.65,3.4,3.55,504265.0,0.5921
2023-11-29,3.6,3.6,3.45,3.5,389595.0,0.6546
2023-11-30,3.5,3.55,3.4,3.45,566728.0,0.7829
2023-12-03,3.55,3.55,3.45,3.5,459389.0,0.8459
2023-12-04,3.55,3.6,3.4,3.45,466229.0,0.7450
2023-12-05,3.5,3.5,3.35,3.45,405927.0,0.9098
2023-12-06,3.5,3.55,3.45,3.55,494381.0,0.6879
2023-12-07,3.6,4.25,3.6,4.25,7930783.0,0.4887
2023-12-10,4.5,5.1,4.5,5.1,10349896.0,0.5126
2023-12-11,5.35,5.6,5.15,5.6,9301538.0,0.5235
2023-12-12,5.75,5.75,5.05,5.05,5691083.0,0.5461
2023-12-13,5.2,5.2,4.7,4.9,2590404.0,0.6969
2023-12-14,4.9,5.0,4.65,4.7,849715.0,0.6969
2023-12-17,4.75,4.75,4.5,4.5,821108.0,0.6969
2023-12-18,4.5,4.7,4.4,4.7,386925.0,0.6969
