Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,8.7500,8.3000,8.2500,8.2500,2099.0000,0.3247
2023-06-06,8.9500,8.9500,7.7500,8.9500,11.0000,0.6704
2023-06-07,8.5000,8.5000,8.5000,8.5000,1108.0000,0.5392
2023-06-08,8.1000,8.1000,8.1000,8.1000,692.0000,0.4592
2023-06-11,7.8000,7.8000,7.8000,7.8000,890.0000,0.1936
2023-06-12,7.8000,8.1000,7.8000,7.8000,1400.0000,0.1936
2023-06-13,7.4500,7.4500,7.4500,7.4500,200.0000,0.1349
2023-06-14,7.5000,7.5000,7.5000,7.5000,160.0000,0.6197
2023-06-15,7.5000,7.5000,7.5000,7.5000,0.0000,0.4607
2023-06-18,7.8500,7.8500,7.5000,7.8500,1211.0000,0.5248
2023-06-19,7.5500,7.5500,7.5500,7.5500,33.0000,0.1124
2023-06-20,7.5500,7.5500,7.5500,7.5500,0.0000,0.6819
2023-06-21,7.5500,7.5500,7.5500,7.5500,0.0000,0.5995
2023-06-22,7.5500,7.5500,7.5500,7.5500,5.0000,0.2274
2023-06-25,7.3500,7.3500,7.3500,7.3500,200.0000,0.2091
2023-06-26,7.3500,7.3500,7.3500,7.3500,150.0000,0.2100
2023-06-27,7.1500,7.1500,7.1500,7.1500,467.0000,0.2825
2023-06-29,7.1500,7.1500,7.1500,7.1500,0.0000,0.4149
2023-07-02,7.2500,7.2500,7.0000,7.2500,1863.0000,0.3592
2023-07-03,7.2500,7.2500,7.2500,7.2500,0.0000,0.2747
2023-07-04,7.6000,7.6000,7.2500,7.6000,712.0000,0.4671
2023-07-05,7.3000,7.6000,7.6000,7.6000,5.0000,0.1837
2023-07-06,7.4000,7.4000,7.2500,7.4000,300.0000,0.2753
2023-07-09,7.3000,7.7500,7.1000,7.7500,4740.0000,0.3198
2023-07-10,8.1000,8.1000,7.9000,8.1000,4814.0000,0.3736
2023-07-11,8.0000,8.5000,7.9500,8.1500,6785.0000,0.5711
2023-07-12,8.1500,8.5500,7.8000,8.3000,5438.0000,0.2198
2023-07-13,8.7000,8.7000,8.0000,8.2000,656.0000,0.4085
2023-07-16,8.2000,8.4000,8.0000,8.1000,1725.0000,0.4554
2023-07-17,8.1500,8.3500,7.7000,7.8000,2450.0000,0.1279
2023-07-18,8.1500,8.1500,8.0000,8.1500,4793.0000,0.4645
2023-07-19,8.4500,8.5500,7.7500,8.1500,2892.0000,0.2023
2023-07-20,8.3500,8.3500,7.9000,8.2500,1214.0000,0.1390
2023-07-23,8.6000,8.6500,7.9500,8.4000,8980.0000,0.6693
2023-07-24,8.7000,8.7000,8.0000,8.0000,7266.0000,0.6794
2023-07-25,8.3500,8.3500,7.7500,8.1500,614.0000,0.5850
2023-07-26,8.4500,8.4500,7.7500,7.9500,6073.0000,0.2828
2023-07-27,7.9500,8.2500,7.5500,7.9000,6574.0000,0.1586
2023-07-30,8.0000,8.2500,7.5000,7.9000,15739.0000,0.5105
2023-07-31,8.0500,8.0500,7.5000,7.7500,5507.0000,0.3641
2023-08-01,7.7500,7.7500,7.7000,7.7500,225.0000,0.1732
2023-08-02,7.8500,8.1000,7.5000,8.0500,6425.0000,0.3971
2023-08-03,8.4500,8.4500,7.8000,8.0000,3545.0000,0.1206
2023-08-06,8.0000,8.0000,7.7500,7.9500,2636.0000,0.6456
2023-08-07,8.1000,8.1000,7.5500,7.6500,3219.0000,0.2553
2023-08-08,8.0000,8.0000,7.4000,7.9000,4338.0000,0.4975
2023-08-09,7.9000,8.2500,7.9000,7.9000,2053.0000,0.2870
2023-08-10,8.2000,8.2000,7.5000,8.0000,6161.0000,0.4120
2023-08-13,8.2000,8.2000,7.6500,7.8000,2449.0000,0.4280
2023-08-15,7.7000,8.0500,7.4500,7.6000,8285.0000,0.2109
2023-08-16,7.9500,7.9500,7.4000,7.5500,5286.0000,0.6818
2023-08-17,7.5500,7.9000,7.5000,7.6000,4118.0000,0.5651
2023-08-20,7.9500,7.9500,7.3000,7.8500,6462.0000,0.6637
2023-08-21,7.8000,7.8000,7.5500,7.8000,2413.0000,0.6369
2023-08-22,7.6000,7.7500,7.5000,7.7500,2460.0000,0.4587
2023-08-23,7.8500,7.8500,7.5500,7.7000,1799.0000,0.6531
2023-08-24,7.7000,7.7000,7.5000,7.5500,1529.0000,0.1531
2023-08-27,7.5500,7.7000,7.5000,7.5000,2048.0000,0.2176
2023-08-28,7.7500,7.7500,7.5000,7.7000,3959.0000,0.1271
2023-08-29,7.9000,7.9000,7.7000,7.7500,2533.0000,0.2952
2023-08-30,7.5500,7.8500,7.5500,7.8500,488.0000,0.3332
2023-08-31,7.8500,7.8500,7.5500,7.7500,6236.0000,0.2628
2023-09-03,7.9500,7.9500,7.5500,7.7000,3388.0000,0.5972
2023-09-04,7.7000,7.8500,7.6000,7.6500,3323.0000,0.3141
2023-09-05,7.8000,7.8000,7.5500,7.8000,1436.0000,0.2686
2023-09-06,7.8000,7.8000,7.7000,7.7000,3344.0000,0.4256
2023-09-07,7.6000,7.8000,7.6000,7.8000,1972.0000,0.1846
2023-09-10,8.1000,8.5500,7.8000,8.5000,39146.0000,0.5813
2023-09-11,9.3000,9.3500,8.5000,9.3500,33620.0000,0.1447
2023-09-12,10.2500,10.2500,10.2500,10.2500,8937.0000,0.6921
2023-09-13,10.7500,10.7500,10.7500,10.7500,6397.0000,0.5633
2023-09-14,11.2500,11.2500,11.0500,11.2500,39608.0000,0.2192
2023-09-17,11.4500,11.8000,11.0000,11.8000,21710.0000,0.1033
2023-09-19,12.3500,12.3500,12.3500,12.3500,5872.0000,0.5893
2023-09-20,12.9500,12.9500,12.9500,12.9500,2388.0000,0.5241
2023-09-21,13.5500,13.5500,13.5500,13.5500,5774.0000,0.5374
2023-09-24,14.2000,14.2000,14.2000,14.2000,18291.0000,0.5628
2023-09-25,14.9000,14.9000,13.5000,13.5000,44045.0000,0.1444
2023-09-26,12.8500,12.8500,12.8500,12.8500,5742.0000,0.3151
2023-09-27,12.2000,12.2000,12.2000,12.2000,9312.0000,0.1695
2023-09-28,11.6000,11.6000,11.6000,11.6000,12155.0000,0.6179
2023-10-02,11.1000,12.1500,11.1000,12.1500,9248.0000,0.4740
2023-10-03,12.5000,12.7500,12.5000,12.7500,6973.0000,0.2985
2023-10-04,13.3500,13.3500,12.7500,13.3500,10209.0000,0.1381
2023-10-05,13.9500,14.0000,12.7000,13.6500,31581.0000,0.2866
2023-10-08,13.0000,14.2000,13.0000,13.8000,13072.0000,0.2951
2023-10-09,14.1000,14.2500,13.1500,13.3500,9075.0000,0.5378
2023-10-10,13.1000,13.2000,13.1000,13.1000,3952.0000,0.4825
2023-10-11,12.8500,13.1000,13.1000,13.1000,2072.0000,0.6323
2023-10-12,13.0000,13.1000,13.0000,13.0000,1270.0000,0.3833
2023-10-15,12.7500,12.8500,12.7500,12.7500,1643.0000,0.1718
2023-10-16,12.5000,12.5000,12.5000,12.5000,3722.0000,0.5279
2023-10-17,12.2500,12.5000,12.2500,12.2500,3045.0000,0.5565
2023-10-18,12.0000,12.2500,12.0000,12.0000,1082.0000,0.4368
2023-10-19,11.8000,11.8500,11.8000,11.8000,2494.0000,0.5626
2023-10-22,11.6000,11.8000,11.6000,11.6000,699.0000,0.3963
2023-10-24,11.4000,11.4000,11.4000,11.4000,1634.0000,0.4136
2023-10-25,11.2000,11.2000,11.2000,11.2000,153.0000,0.3565
2023-10-26,11.2000,11.2000,11.0000,11.2000,995.0000,0.1153
2023-10-29,11.0000,11.0000,11.0000,11.0000,1049.0000,0.1647
2023-10-30,10.8500,11.0000,10.8500,10.8500,1376.0000,0.1189
2023-10-31,10.6500,10.8500,10.6500,10.6500,961.0000,0.4818
2023-11-01,10.6000,10.6000,10.6000,10.6000,2098.0000,0.2886
2023-11-02,10.6000,10.6000,10.4000,10.6000,2551.0000,0.4051
2023-11-05,10.4000,10.6000,10.4000,10.4000,1285.0000,0.6445
2023-11-06,10.2000,10.4000,10.2000,10.2000,1604.0000,0.2496
2023-11-07,10.0000,10.0000,10.0000,10.0000,4639.0000,0.3462
