Date,Open,High,Low,Close,Volume,Delivery_Percentage
2025-02-06,3.79,3.79,3.45,3.58,630507.0,0.7648
2025-02-09,3.89,3.89,3.13,3.46,616838.0,0.7196
2025-02-10,3.45,3.5,3.1,3.18,313966.0,0.7223
2025-02-11,3.57,3.57,2.66,3.16,604083.0,0.6083
2025-02-12,3.29,3.35,3.01,3.27,1944601.0,0.8885
2025-02-13,3.4,3.4,3.09,3.12,219904.0,0.6806
2025-02-16,3.12,3.29,3.05,3.14,1120285.0,0.9584
2025-02-17,3.28,3.28,3.09,3.1,351769.0,0.7166
2025-02-18,3.15,3.19,3.1,3.15,171247.0,0.9278
2025-02-19,3.15,3.25,3.11,3.2,4768979.0,0.9829
2025-02-20,3.16,3.26,3.07,3.17,2997241.0,0.9784
2025-02-23,3.17,3.33,3.12,3.15,368716.0,0.7694
2025-02-24,3.15,3.26,3.06,3.1,190977.0,0.7519
2025-02-26,3.08,3.16,3.05,3.12,111376.0,0.8229
2025-02-27,3.15,3.15,2.99,3.04,242647.0,0.8179
2025-03-02,3.04,3.06,2.8,2.87,235202.0,0.7163
2025-03-03,2.85,2.95,2.81,2.86,146186.0,0.5688
2025-03-04,2.83,2.98,2.78,2.87,358902.0,0.6716
2025-03-05,3.05,3.05,2.9,2.94,172920.0,0.7063
2025-03-06,2.95,3.03,2.89,2.98,140611.0,0.7643
2025-03-09,3.44,3.44,2.55,2.77,314414.0,0.6300
2025-03-10,2.84,3.0,2.79,2.85,118357.0,0.8026
2025-03-11,2.98,2.99,2.85,2.9,96671.0,0.8911
2025-03-12,2.94,2.95,2.85,2.88,207624.0,0.8946
2025-03-16,2.85,2.95,2.76,2.84,172283.0,0.6784
2025-03-17,2.84,2.84,2.84,2.84,0.0,0.8128
2025-03-18,2.9,2.91,2.73,2.78,275399.0,0.6588
2025-03-19,2.76,2.88,2.73,2.77,254773.0,0.7810
2025-03-20,2.78,2.83,2.6,2.65,346291.0,0.6659
2025-03-23,2.65,2.77,2.27,2.54,592875.0,0.8085
2025-03-24,2.54,2.64,2.51,2.53,313641.0,0.8184
2025-03-25,2.5,2.55,2.25,2.3,574421.0,0.8089
2025-03-26,2.45,2.45,2.2,2.28,610381.0,0.8238
2025-03-27,2.3,2.36,2.11,2.18,493639.0,0.7956
2025-03-31,2.18,2.61,2.15,2.61,348596.0,0.7731
2025-04-01,2.97,3.13,2.76,3.13,2293288.0,0.5578
2025-04-02,3.25,3.75,3.22,3.75,3739569.0,0.5044
2025-04-03,3.92,3.94,3.39,3.54,2698674.0,0.5157
2025-04-06,3.26,3.41,3.18,3.27,702651.0,0.5647
2025-04-07,3.45,3.59,3.44,3.59,758239.0,0.7294
2025-04-08,3.65,3.93,3.65,3.76,2428599.0,0.5723
2025-04-10,3.89,3.9,3.49,3.52,1199952.0,0.6433
2025-04-14,3.55,3.8,3.42,3.56,1262286.0,0.5446
2025-04-15,3.6,3.67,3.5,3.51,270496.0,0.5743
2025-04-16,3.48,3.55,3.38,3.41,413526.0,0.6860
2025-04-20,3.4,3.5,3.3,3.37,283866.0,0.6860
2025-04-21,3.31,3.41,3.28,3.3,163132.0,0.6860
2025-04-22,3.2,3.39,3.16,3.29,206481.0,0.6860
2025-04-23,3.21,3.33,3.2,3.28,92834.0,0.6860
2025-04-24,3.28,3.37,3.11,3.19,325242.0,0.6860
2025-04-27,3.07,3.2,3.07,3.12,92572.0,0.6860
2025-04-28,3.12,3.19,3.05,3.09,162751.0,0.6860
2025-04-29,3.01,3.15,3.01,3.06,113759.0,0.6860
2025-05-01,3.1,3.1,2.95,2.97,191149.0,0.6860
2025-05-04,2.91,3.08,2.91,3.0,195078.0,0.6860
2025-05-05,3.09,3.15,2.92,2.97,145060.0,0.6860
2025-05-06,2.91,3.0,2.85,2.96,114909.0,0.6860
2025-05-07,2.94,3.0,2.81,2.84,149448.0,0.6860
2025-05-08,2.84,2.92,2.73,2.8,135260.0,0.6860
2025-05-11,2.9,2.94,2.8,2.94,245480.0,0.6860
2025-05-12,2.99,2.99,2.84,2.88,120726.0,0.6860
2025-05-13,2.98,3.02,2.81,2.98,286583.0,0.6860
2025-05-14,2.99,3.12,2.9,3.08,269959.0,0.6860
2025-05-15,3.15,3.17,3.01,3.08,125226.0,0.6860
2025-05-18,3.12,3.12,3.0,3.03,156606.0,0.6860
2025-05-19,3.0,3.11,2.92,2.95,87326.0,0.6860
2025-05-20,2.95,3.01,2.9,2.99,202349.0,0.6860
2025-05-21,2.99,3.13,2.99,3.11,495052.0,0.6860
2025-05-22,3.2,3.26,3.11,3.24,559820.0,0.6860
2025-05-25,3.39,3.4,3.24,3.24,628536.0,0.6860
2025-05-26,3.34,3.34,3.2,3.29,201857.0,0.6860
2025-05-27,3.32,3.45,3.3,3.4,338346.0,0.6860
2025-05-28,3.52,3.52,3.23,3.23,496378.0,0.6860
2025-05-29,3.16,3.16,3.16,3.16,127523.0,0.6860
2025-06-01,3.15,3.15,3.15,3.15,178822.0,0.6860
2025-06-02,3.08,3.14,3.08,3.08,53455.0,0.6860
2025-06-03,3.03,3.07,3.03,3.03,64372.0,0.6860
2025-06-04,2.97,3.03,2.97,2.97,56201.0,0.6860
2025-06-05,2.93,2.93,2.91,2.93,82486.0,0.6860
2025-06-08,2.98,2.98,2.95,2.98,18697.0,0.6860
2025-06-09,3.0,3.03,3.0,3.0,215025.0,0.6860
2025-06-10,2.99,3.0,2.99,2.99,233223.0,0.6860
2025-06-11,2.94,2.99,2.94,2.94,81932.0,0.6860
2025-06-12,2.93,2.93,2.93,2.93,37595.0,0.6860
2025-06-15,2.9,2.92,2.9,2.9,50597.0,0.6860
2025-06-16,2.87,2.94,2.87,2.87,60891.0,0.6860
2025-06-17,2.81,2.82,2.81,2.81,120546.0,0.6860
2025-06-18,2.75,2.76,2.75,2.75,63500.0,0.6860
2025-06-19,2.74,2.75,2.69,2.74,58988.0,0.6860
2025-06-22,2.74,2.74,2.68,2.74,51275.0,0.6860
2025-06-23,2.74,2.75,2.74,2.74,70263.0,0.6860
2025-06-24,2.79,2.79,2.68,2.79,62730.0,0.6860
2025-06-25,2.84,2.84,2.84,2.84,167611.0,0.6860
2025-06-26,2.89,2.89,2.89,2.89,52927.0,0.6860
2025-06-29,2.94,2.94,2.94,2.94,61393.0,0.6860
2025-06-30,2.99,2.99,2.99,2.99,74421.0,0.6860
2025-07-01,3.04,3.04,3.04,3.04,93187.0,0.6860
2025-07-02,3.1,3.1,3.1,3.1,54817.0,0.6860
2025-07-03,3.16,3.16,3.16,3.16,132567.0,0.6860
2025-07-06,3.22,3.31,3.0,3.09,381021.0,0.6860
2025-07-07,3.0,3.23,3.0,3.21,274615.0,0.6860
2025-07-08,3.2,3.2,3.1,3.13,142571.0,0.6860
2025-07-09,3.1,3.11,2.98,3.02,122537.0,0.6860
2025-07-10,3.03,3.11,3.0,3.06,251290.0,0.6860
2025-07-13,3.16,3.16,2.98,2.99,119148.0,0.6860
2025-07-14,2.99,3.09,2.93,3.01,119106.0,0.6860
2025-07-15,2.96,3.08,2.96,3.03,76951.0,0.6860
2025-07-16,3.07,3.07,2.9,2.92,266251.0,0.6860
2025-07-17,3.01,3.01,2.81,2.96,140283.0,0.6860
2025-07-20,3.0,3.0,2.92,2.96,112247.0,0.6860
2025-07-21,2.96,3.09,2.89,3.05,721901.0,0.6860
2025-07-22,3.06,3.18,3.05,3.06,251788.0,0.6860
2025-07-23,3.05,3.1,2.9,2.95,204723.0,0.6860
2025-07-24,2.95,2.95,2.8,2.82,475482.0,0.6860
2025-07-27,2.82,2.82,2.7,2.72,232234.0,0.6860
2025-07-28,2.72,2.85,2.72,2.85,148792.0,0.6860
2025-07-29,2.99,2.99,2.82,2.86,46609.0,0.6860
2025-07-30,2.85,2.93,2.85,2.9,53920.0,0.6860
2025-07-31,2.9,2.94,2.84,2.88,35545.0,0.6860
2025-08-03,3.0,3.0,2.78,2.82,75133.0,0.6860
2025-08-04,2.88,2.89,2.75,2.79,78470.0,0.6860
2025-08-05,2.79,2.84,2.65,2.74,80644.0,0.6860
2025-08-06,2.75,2.75,2.65,2.7,75755.0,0.6860
2025-08-07,2.74,2.82,2.62,2.7,47056.0,0.6860
2025-08-10,2.77,2.83,2.7,2.81,106828.0,0.6860
2025-08-11,2.9,2.95,2.69,2.9,164309.0,0.6860
2025-08-12,2.9,2.98,2.8,2.88,136434.0,0.6860
2025-08-13,2.89,3.01,2.85,2.93,180707.0,0.6860
2025-08-17,3.0,3.01,2.91,2.93,183149.0,0.8797
2025-08-18,2.88,3.0,2.88,2.9,135628.0,0.8344
2025-08-19,2.86,2.94,2.85,2.9,99710.0,0.8938
2025-08-20,2.96,2.99,2.85,2.85,61187.0,0.9043
2025-08-21,2.8,2.92,2.78,2.8,109911.0,0.7466
2025-08-24,2.75,2.94,2.75,2.88,1149223.0,0.9582
2025-08-25,2.91,3.0,2.8,2.96,1032338.0,0.8777
2025-08-27,3.05,3.05,2.81,2.81,790154.0,0.9275
2025-08-28,2.89,2.89,2.66,2.71,460587.0,0.7203
2025-08-31,2.83,2.84,2.63,2.83,186685.0,0.9069
2025-09-01,2.79,2.97,2.79,2.89,1451370.0,0.8879
2025-09-02,2.97,2.97,2.83,2.83,266595.0,0.8766
2025-09-03,2.72,2.8,2.68,2.68,1103613.0,0.7039
2025-09-04,2.79,2.79,2.69,2.71,155826.0,0.7240
2025-09-07,2.79,2.79,2.62,2.72,194815.0,0.7588
2025-09-08,2.7,2.78,2.65,2.69,61652.0,0.7597
2025-09-09,2.74,2.78,2.65,2.74,120613.0,0.5966
2025-09-10,2.77,2.77,2.6,2.65,375664.0,0.7766
2025-09-11,2.7,2.73,2.6,2.65,140793.0,0.8555
2025-09-14,2.7,2.7,2.53,2.62,253296.0,0.5917
2025-09-15,2.66,2.68,2.56,2.58,119058.0,0.5665
2025-09-16,2.63,2.68,2.6,2.62,131644.0,0.7749
