Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-07-10,134.8252,137.9905,120.6304,123.6969,1005875.0,0.4972
2023-07-11,124.6366,135.8143,121.8175,123.0045,947658.0,0.5324
2023-07-12,123.8453,127.6041,116.1297,117.3661,524821.0,0.4942
2023-07-13,118.7015,122.5593,117.9596,122.0647,322765.0,0.5215
2023-07-16,122.6583,128.2966,121.2734,126.5161,339220.0,0.6082
2023-07-17,127.1096,129.3847,121.0261,124.5377,240936.0,0.5583
2023-07-18,125.1312,125.2301,122.7572,123.3507,108903.0,0.5791
2023-07-19,123.6474,124.4388,121.1745,122.5099,103733.0,0.7228
2023-07-20,122.5099,126.6644,121.2734,123.6969,360659.0,0.5811
2023-07-23,125.5763,127.6041,123.0539,123.7463,334858.0,0.6387
2023-07-24,123.7463,125.5269,121.8669,122.9055,157305.0,0.6917
2023-07-25,122.7077,126.1698,121.1745,121.5702,268094.0,0.5762
2023-07-26,122.411,123.9936,120.1853,122.411,148284.0,0.5865
2023-07-27,123.0539,124.6366,122.0647,124.0926,175045.0,0.6251
2023-07-30,124.8839,128.2471,124.2409,125.8731,349606.0,0.5249
2023-07-31,125.6752,134.6768,124.6366,126.2193,831779.0,0.5012
2023-08-01,126.615,128.5439,123.4001,124.9828,344238.0,0.4496
2023-08-02,125.5763,127.3074,123.7463,124.785,211591.0,0.4928
2023-08-03,126.1204,131.8082,125.428,130.4728,453017.0,0.6362
2023-08-06,132.2038,136.853,130.6706,133.1436,393202.0,0.5598
2023-08-07,133.5392,136.1605,127.6536,130.819,274078.0,0.5430
2023-08-08,133.2919,134.6273,130.2749,131.7092,222272.0,0.5466
2023-08-09,131.9565,133.6876,126.7139,130.5222,292265.0,0.4764
2023-08-10,131.0663,135.1714,129.1868,130.2749,168052.0,0.5999
2023-08-13,133.6381,147.2888,130.1266,142.244,1490773.0,0.4283
2023-08-15,144.8653,148.3769,142.8375,145.261,363868.0,0.5114
2023-08-16,150.4542,157.873,145.7556,153.125,849777.0,0.4517
2023-08-17,154.1142,158.2192,148.0307,150.7015,430409.0,0.4306
2023-08-20,152.7293,180.822,152.6799,178.7942,3064238.0,0.2908
2023-08-21,183.196,194.8189,181.3166,188.9827,3343652.0,0.1968
2023-08-22,188.9827,190.3181,178.0523,180.0307,683675.0,0.3765
2023-08-23,181.0198,195.5113,180.0307,185.026,1119078.0,0.2604
2023-08-24,184.7787,190.417,178.992,180.4758,318362.0,0.5239
2023-08-27,182.4047,184.482,178.2501,182.1079,246240.0,0.5278
2023-08-28,182.1079,188.9333,178.5469,180.179,225021.0,0.5509
2023-08-29,181.6628,186.4109,179.0415,181.1188,180563.0,0.5733
2023-08-30,181.1188,182.9982,173.1064,174.3429,247824.0,0.6359
2023-08-31,175.5299,184.8776,174.9364,183.0477,289030.0,0.5502
2023-09-03,185.7679,212.6736,185.7679,204.315,1004172.0,0.5002
2023-09-04,206.1944,209.6071,197.737,203.7215,365380.0,0.5421
2023-09-05,203.2764,206.8374,198.8251,203.9688,338445.0,0.4941
2023-09-06,203.2764,220.1419,200.0121,217.0754,655512.0,0.4508
2023-09-07,219.4,223.9502,215.8389,218.213,375685.0,0.4815
2023-09-10,219.9935,220.1913,204.2655,210.1017,404984.0,0.5329
2023-09-11,210.6952,213.8606,179.9317,190.1203,512501.0,0.5313
2023-09-12,188.043,209.6566,187.9441,206.5407,369946.0,0.5022
2023-09-13,212.179,212.6736,203.128,206.5407,134010.0,0.4572
2023-09-14,208.3706,217.6195,205.1064,214.1079,224258.0,0.6059
2023-09-17,219.5978,227.0167,213.9101,219.4989,506574.0,0.4641
2023-09-19,220.587,224.9889,213.8111,218.4603,215853.0,0.4099
2023-09-20,218.4108,232.4572,216.1357,219.4,485827.0,0.3976
2023-09-21,227.3,230.2,219.25,228.4,289828.0,0.4222
2023-09-24,232.95,243.0,231.5,232.85,354047.0,0.4689
2023-09-25,234.75,236.35,223.6,227.6,154826.0,0.5042
2023-09-26,227.6,237.35,224.35,229.65,227497.0,0.4988
2023-09-27,231.8,244.0,226.0,238.35,477690.0,0.5290
2023-09-28,241.0,246.0,235.65,236.8,264479.0,0.4809
2023-10-02,238.45,239.8,231.55,237.25,157759.0,0.4047
2023-10-03,232.0,235.65,226.55,228.85,242483.0,0.4844
2023-10-04,230.85,236.7,228.0,230.15,165437.0,0.4243
2023-10-05,232.45,234.0,223.1,224.1,240368.0,0.5746
2023-10-08,223.9,226.95,215.0,216.45,437645.0,0.5325
2023-10-09,219.9,224.2,216.25,217.1,309488.0,0.5439
2023-10-10,219.35,260.5,219.35,260.5,1295926.0,0.4079
2023-10-11,266.6,288.0,265.0,273.35,2873751.0,0.2189
2023-10-12,267.0,279.0,260.0,261.8,455434.0,0.4825
2023-10-15,261.8,264.7,250.5,253.7,399834.0,0.5088
2023-10-16,253.0,291.0,248.55,282.75,1754033.0,0.3436
2023-10-17,283.0,289.65,270.7,280.1,592503.0,0.4858
2023-10-18,273.4,316.4,273.4,306.55,1677593.0,0.3248
2023-10-19,309.0,314.85,294.25,303.2,601636.0,0.4555
2023-10-22,281.0,285.0,242.6,248.8,1740966.0,0.3783
2023-10-24,255.0,270.65,248.55,261.1,853734.0,0.3276
2023-10-25,263.9,267.15,247.4,254.05,497954.0,0.3746
2023-10-26,256.0,280.95,256.0,268.45,667667.0,0.3271
2023-10-29,270.9,273.45,260.0,263.05,195814.0,0.5073
2023-10-30,264.0,269.65,253.7,256.5,229821.0,0.4926
2023-10-31,256.95,264.5,251.0,252.1,300492.0,0.5174
2023-11-01,254.5,257.7,246.9,248.75,220481.0,0.4896
2023-11-02,250.9,254.6,245.3,247.5,213990.0,0.5265
2023-11-05,250.2,252.2,238.5,243.0,323905.0,0.4855
2023-11-06,243.0,245.6,240.1,243.65,172128.0,0.4428
2023-11-07,245.5,257.6,244.95,250.5,276984.0,0.4080
2023-11-08,250.9,252.7,245.1,247.4,135498.0,0.4489
2023-11-09,246.7,250.0,245.35,248.2,103622.0,0.5488
2023-11-12,248.35,248.55,244.0,246.2,89630.0,0.5526
2023-11-14,246.95,249.7,241.75,243.45,101733.0,0.6621
2023-11-15,243.45,245.7,236.0,239.8,153663.0,0.6701
2023-11-16,237.95,238.85,230.05,232.15,249236.0,0.6058
2023-11-19,232.15,243.3,231.05,233.7,190974.0,0.4275
2023-11-20,235.0,240.75,232.5,234.2,168280.0,0.5251
2023-11-21,234.2,235.75,230.0,230.85,92291.0,0.5373
2023-11-22,232.8,245.85,232.8,242.65,262633.0,0.4502
2023-11-23,244.75,259.85,238.5,254.85,515767.0,0.5086
2023-11-27,258.8,260.0,250.15,253.9,173665.0,0.5228
2023-11-28,254.7,257.1,239.15,245.4,249643.0,0.5385
2023-11-29,245.4,245.55,239.3,241.2,155091.0,0.5625
2023-11-30,250.0,250.0,242.0,242.8,94361.0,0.5444
2023-12-03,249.0,261.0,242.0,253.15,401101.0,0.5024
2023-12-04,254.5,258.05,246.25,249.45,248765.0,0.4955
2023-12-05,249.0,254.5,247.0,247.9,152643.0,0.5271
2023-12-06,248.0,249.4,245.0,246.4,148411.0,0.4251
2023-12-07,247.55,247.55,240.9,241.85,92644.0,0.5586
2023-12-10,242.8,246.7,242.0,243.9,89556.0,0.4989
2023-12-11,243.0,245.45,236.25,239.1,118391.0,0.6190
2023-12-12,240.85,242.4,237.0,237.9,83153.0,0.5416
2023-12-13,238.5,246.9,238.5,244.2,119715.0,0.5928
2023-12-14,246.4,250.7,240.05,243.0,102018.0,0.5927
2023-12-17,242.75,248.2,240.55,241.35,100180.0,0.6047
2023-12-18,241.75,245.25,240.0,241.0,79070.0,0.5641
2023-12-19,241.35,243.0,226.0,228.9,298938.0,0.5120
2023-12-20,228.0,237.05,227.05,231.05,112691.0,0.5906
2023-12-21,232.7,235.95,231.25,232.6,60731.0,0.5243
2023-12-25,238.7,238.9,227.0,228.95,130119.0,0.6325
2023-12-26,228.95,233.75,219.95,224.0,220205.0,0.5523
2023-12-27,225.75,229.9,219.7,220.9,203936.0,0.6803
2023-12-28,222.7,226.8,217.75,218.85,222887.0,0.5764
2023-12-31,219.8,244.4,217.95,238.7,351287.0,0.5439
2024-01-01,241.9,246.85,235.0,242.8,289569.0,0.5211
2024-01-02,242.55,244.05,239.1,240.65,90349.0,0.5646
2024-01-03,240.65,242.8,237.1,238.55,92861.0,0.5811
2024-01-04,238.5,242.0,235.15,235.95,88903.0,0.5950
2024-01-07,235.95,239.45,228.75,229.7,121557.0,0.6431
2024-01-08,232.5,245.9,231.35,237.95,253924.0,0.5721
2024-01-09,239.6,242.0,232.1,235.5,142629.0,0.4807
2024-01-10,235.5,244.85,235.5,238.85,139193.0,0.5696
2024-01-11,241.2,246.4,233.55,235.85,140970.0,0.5916
2024-01-14,235.85,235.85,235.85,235.85,0.0,0.4899
2024-01-15,262.0,265.9,247.0,253.15,307490.0,0.5557
2024-01-16,250.0,303.75,246.2,287.0,1654702.0,0.4675
2024-01-17,291.0,335.2,281.6,323.35,2146497.0,0.3086
2024-01-18,330.0,378.9,328.05,371.25,2192409.0,0.3086
2024-01-22,389.5,399.0,347.05,347.05,829369.0,0.5951
2024-01-23,326.4,347.0,314.55,337.45,828815.0,0.4414
2024-01-24,337.45,369.0,336.1,357.1,518936.0,0.4981
2024-01-28,365.0,374.9,355.05,358.65,343622.0,0.5339
2024-01-29,361.0,363.0,340.0,346.95,319046.0,0.4656
2024-01-30,347.8,367.0,347.0,357.35,367065.0,0.3509
2024-01-31,360.0,369.9,356.1,359.2,242230.0,0.3728
2024-02-01,361.5,365.15,333.55,344.1,321963.0,0.4478
2024-02-04,315.5,318.0,286.55,293.2,1091176.0,0.4965
2024-02-05,288.7,299.9,281.1,290.15,503929.0,0.3994
2024-02-06,293.0,348.15,292.3,348.15,1901328.0,0.3142
2024-02-07,365.0,382.9,339.3,346.0,1062789.0,0.4071
2024-02-08,346.0,370.0,324.3,354.5,845049.0,0.2878
2024-02-11,357.5,361.0,320.0,326.95,381945.0,0.4469
2024-02-12,328.0,355.0,326.9,339.45,412122.0,0.2779
2024-02-13,334.5,343.95,331.9,334.7,239294.0,0.3488
2024-02-14,336.5,349.3,331.2,336.45,226307.0,0.3264
2024-02-15,338.7,363.1,338.0,350.2,530870.0,0.4230
2024-02-18,364.0,367.0,351.3,352.9,273712.0,0.3937
2024-02-19,355.0,372.65,354.7,357.7,541614.0,0.3881
2024-02-20,362.0,364.0,332.2,337.75,422599.0,0.5431
2024-02-21,340.0,351.0,333.8,348.25,260785.0,0.4672
2024-02-22,350.45,353.4,335.0,337.35,234811.0,0.4301
2024-02-25,340.0,344.15,327.35,328.85,171276.0,0.5513
2024-02-26,329.8,340.0,322.25,324.1,247497.0,0.4315
2024-02-27,325.25,329.0,308.0,316.0,329144.0,0.3454
2024-02-28,310.0,321.0,307.6,316.8,168206.0,0.4059
2024-02-29,318.7,327.0,317.5,324.45,239683.0,0.4145
2024-03-03,321.6,327.0,316.0,318.35,157825.0,0.5507
2024-03-04,318.9,322.45,311.4,313.75,115511.0,0.4927
2024-03-05,313.25,313.25,288.55,299.6,373467.0,0.4716
2024-03-06,301.0,307.8,299.6,300.5,109434.0,0.5341
2024-03-10,301.4,309.75,288.0,290.25,161426.0,0.5325
2024-03-11,291.95,294.0,267.75,271.85,327939.0,0.5289
2024-03-12,275.0,283.95,243.55,254.9,418299.0,0.5563
2024-03-13,252.0,278.05,250.0,271.6,365592.0,0.3521
2024-03-14,274.0,286.8,264.2,283.45,351592.0,0.4653
2024-03-17,282.9,290.0,275.45,281.7,132851.0,0.4161
2024-03-18,277.7,288.35,270.05,272.35,191825.0,0.3982
2024-03-19,273.8,311.95,265.0,301.8,940459.0,0.2167
2024-03-20,303.5,318.0,297.6,307.25,372060.0,0.2712
2024-03-21,304.0,315.15,298.8,301.3,194660.0,0.3306
2024-03-25,299.0,300.8,285.0,286.95,273124.0,0.4465
2024-03-26,289.0,306.45,289.0,297.35,432090.0,0.3183
2024-03-27,301.4,304.4,286.5,290.1,182663.0,0.4414
2024-03-31,296.0,304.0,294.95,301.1,195802.0,0.3820
2024-04-01,301.1,310.35,300.4,308.0,157601.0,0.4007
2024-04-02,306.9,310.8,303.55,308.35,89497.0,0.5364
2024-04-03,311.4,314.0,305.0,307.65,94181.0,0.4496
