Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,12.8572,13.0512,12.7116,12.9542,233831.0000,0.3247
2023-06-06,13.0027,13.3909,13.0027,13.2938,233545.0000,0.6704
2023-06-07,13.3423,15.0405,13.0512,14.1186,1200328.0000,0.5392
2023-06-08,14.4582,14.7008,13.5849,13.9245,455187.0000,0.4592
2023-06-11,14.1186,14.6523,12.4690,12.8086,1447419.0000,0.1936
2023-06-12,13.0512,13.3423,12.8086,13.0997,460150.0000,0.1936
2023-06-13,13.1483,13.3423,12.9057,13.0027,166896.0000,0.1349
2023-06-14,13.1483,13.3423,12.9542,13.0512,235469.0000,0.6197
2023-06-15,13.2453,13.6820,13.0027,13.3423,491532.0000,0.4607
2023-06-18,13.7305,13.8275,13.2453,13.2938,341942.0000,0.5248
2023-06-19,13.3909,13.3909,13.0027,13.1483,358105.0000,0.1124
2023-06-20,13.2938,13.2938,13.0512,13.1483,194276.0000,0.6819
2023-06-21,13.1968,13.3423,12.8086,12.9542,243704.0000,0.5995
2023-06-22,13.0027,13.0997,12.5175,12.6631,313352.0000,0.2274
2023-06-25,12.7116,12.9542,12.6146,12.7116,129676.0000,0.2091
2023-06-26,12.8572,13.6820,12.7601,13.3423,593191.0000,0.2100
2023-06-27,13.3423,13.7305,13.2453,13.3423,326992.0000,0.2825
2023-06-29,13.3909,13.4879,13.1483,13.2938,246037.0000,0.4149
2023-07-02,13.5849,13.5849,13.1483,13.3909,208502.0000,0.3592
2023-07-03,13.4394,13.9245,13.2453,13.4879,431311.0000,0.2747
2023-07-04,13.6334,14.0701,13.3423,13.7305,426605.0000,0.4671
2023-07-05,13.7790,14.5553,13.7790,14.3612,1115408.0000,0.1837
2023-07-06,14.4582,14.5068,13.9245,14.1671,229379.0000,0.2753
2023-07-09,14.4582,14.4582,13.8275,13.8760,208838.0000,0.3198
2023-07-10,13.8275,14.3127,13.7790,13.9245,225728.0000,0.3736
2023-07-11,14.1186,14.1671,13.7305,13.9245,272064.0000,0.5711
2023-07-12,14.0701,14.1671,13.4394,13.6334,405618.0000,0.2198
2023-07-13,13.8275,14.1671,13.6820,13.8275,156208.0000,0.4085
2023-07-16,14.0701,14.2642,13.8760,14.0216,322511.0000,0.4554
2023-07-17,14.1671,14.2157,13.6820,13.8275,248999.0000,0.1279
2023-07-18,13.9245,13.9245,13.6820,13.7305,142171.0000,0.4645
2023-07-19,13.8760,14.2157,13.6334,13.8760,266399.0000,0.2023
2023-07-20,13.9245,14.2157,13.7790,14.0701,217434.0000,0.1390
2023-07-23,14.2642,14.2642,13.9731,14.0216,141930.0000,0.6693
2023-07-24,14.1186,14.2642,13.8275,13.9731,336496.0000,0.6794
2023-07-25,13.9245,14.0216,13.6334,13.7790,199049.0000,0.5850
2023-07-26,13.9731,13.9731,13.5849,13.5849,149803.0000,0.2828
2023-07-27,13.7790,13.7790,13.2938,13.4394,160203.0000,0.1586
2023-07-30,13.6820,13.6820,13.2938,13.3909,219877.0000,0.5105
2023-07-31,13.5364,14.1186,13.5364,13.8275,359789.0000,0.3641
2023-08-01,13.8275,14.4097,13.4394,13.6820,460151.0000,0.1732
2023-08-02,13.8275,14.1671,13.7305,13.8760,210803.0000,0.3971
2023-08-03,14.0701,14.4097,13.8760,14.2642,438500.0000,0.1206
2023-08-06,14.3612,17.0782,14.3612,17.0297,7369134.0000,0.6456
2023-08-07,17.3693,17.4178,15.8653,16.5930,1567211.0000,0.2553
2023-08-08,16.4960,19.5041,15.1375,19.0189,5760169.0000,0.4975
2023-08-09,18.8248,20.6685,18.4852,19.4556,3234796.0000,0.2870
2023-08-10,19.4070,19.4070,16.5930,17.1267,1915516.0000,0.4120
2023-08-13,17.2723,18.5822,16.5930,18.3396,1711975.0000,0.4280
2023-08-15,18.0971,18.7278,17.5634,18.0485,256204.0000,0.2109
2023-08-16,18.2911,18.3396,17.3208,17.5634,345053.0000,0.6818
2023-08-17,17.6119,17.7089,16.6901,16.7386,361687.0000,0.5651
2023-08-20,16.5930,16.9812,15.9623,16.4960,162254.0000,0.6637
2023-08-21,16.5445,16.9812,16.5445,16.7871,155578.0000,0.6369
2023-08-22,16.9326,17.1752,16.5445,16.8356,110723.0000,0.4587
2023-08-23,17.2237,17.3208,16.6415,16.6901,160104.0000,0.6531
2023-08-24,16.9812,17.1752,16.4960,16.7871,99660.0000,0.1531
2023-08-27,16.7871,16.8356,16.5445,16.6415,84933.0000,0.2176
2023-08-28,16.8356,16.8356,16.4960,16.5930,93295.0000,0.1271
2023-08-29,16.7386,16.9812,16.5930,16.7386,154786.0000,0.2952
2023-08-30,16.8356,17.3693,15.9138,16.1078,345281.0000,0.3332
2023-08-31,16.3501,16.8870,15.6180,16.8870,238749.0000,0.2628
2023-09-03,16.9846,17.1310,16.3501,16.4965,329719.0000,0.5972
2023-09-04,16.4965,16.8382,16.4965,16.7406,186913.0000,0.3141
2023-09-05,16.9846,16.9846,16.3013,16.3501,152798.0000,0.2686
2023-09-06,16.4965,16.7894,16.2037,16.6430,150399.0000,0.4256
2023-09-07,16.7894,16.9846,16.3989,16.4477,162262.0000,0.1846
2023-09-10,16.7406,16.7894,15.9109,16.3013,216842.0000,0.5813
2023-09-11,16.5942,16.5942,15.5204,15.5204,248340.0000,0.1447
2023-09-12,15.3740,15.7644,14.7395,15.2276,440486.0000,0.6921
2023-09-13,15.2276,15.9109,14.8371,15.5204,251596.0000,0.5633
