Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,165.1,166.45,160.3,162.95,18749.0,0.6633
2023-06-20,162.95,165.0,159.35,159.95,46210.0,0.6301
2023-06-21,159.65,161.65,158.0,160.6,33563.0,0.7153
2023-06-22,159.05,163.5,159.0,161.55,23962.0,0.7791
2023-06-25,164.8,165.0,160.5,162.3,26932.0,0.6511
2023-06-26,162.9,164.9,161.0,161.35,19699.0,0.7535
2023-06-27,164.5,177.0,162.3,169.2,229897.0,0.4630
2023-06-29,175.0,203.0,174.0,197.55,866454.0,0.3845
2023-07-02,206.0,231.0,200.05,224.75,854527.0,0.2955
2023-07-03,222.0,222.1,211.6,213.6,172017.0,0.5343
2023-07-04,217.4,217.9,192.35,204.1,178042.0,0.4615
2023-07-05,204.1,231.85,204.1,221.65,292645.0,0.3630
2023-07-06,224.0,227.95,216.15,222.05,121328.0,0.5083
2023-07-09,223.7,234.9,215.0,219.15,97237.0,0.4795
2023-07-10,224.0,229.0,215.05,219.5,66849.0,0.4547
2023-07-11,219.5,222.2,215.3,216.7,53963.0,0.5550
2023-07-12,216.0,216.0,205.9,205.9,17125.0,0.5550
2023-07-13,195.6,216.15,195.6,210.05,57389.0,0.5550
2023-07-16,214.5,217.95,210.0,213.85,31398.0,0.5550
2023-07-17,219.8,222.0,203.15,211.2,32103.0,0.5550
2023-07-18,211.0,211.0,201.0,203.8,22779.0,0.5550
2023-07-19,205.0,213.95,202.0,213.95,40652.0,0.5550
2023-07-20,214.8,218.0,204.0,210.0,26712.0,0.5550
2023-07-23,210.0,210.0,200.0,202.1,27526.0,0.5550
2023-07-24,207.65,209.0,198.0,204.75,25577.0,0.5550
2023-07-25,201.0,207.5,197.5,200.55,23257.0,0.5550
2023-07-26,200.55,205.5,200.0,200.55,23385.0,0.5550
2023-07-27,202.0,205.0,195.9,199.3,19907.0,0.5550
2023-07-30,197.0,205.0,196.1,200.75,14430.0,0.5550
2023-07-31,200.0,204.2,199.0,200.2,15877.0,0.5550
2023-08-01,203.2,204.5,196.6,197.55,26234.0,0.5550
2023-08-02,197.55,203.0,197.55,199.35,18946.0,0.5550
2023-08-03,202.9,203.05,195.0,196.85,35805.0,0.5550
2023-08-06,199.0,203.4,196.05,200.95,15770.0,0.5550
2023-08-07,204.95,204.95,195.0,195.85,18429.0,0.5550
2023-08-08,196.6,202.0,195.65,200.2,17343.0,0.5550
2023-08-09,201.85,201.85,194.0,196.9,22154.0,0.5550
2023-08-10,198.0,199.5,194.0,196.75,16432.0,0.5550
2023-08-13,200.0,200.0,186.95,190.95,28930.0,0.5550
2023-08-15,192.5,198.0,182.5,185.45,40156.0,0.7809
2023-08-16,185.45,185.45,180.85,181.3,25669.0,0.7460
2023-08-17,181.3,184.95,178.65,179.55,27661.0,0.8046
2023-08-20,180.1,185.15,173.6,174.85,52857.0,0.7049
2023-08-21,175.0,183.55,172.0,182.8,85544.0,0.6174
2023-08-22,186.5,191.9,179.25,183.3,82516.0,0.6806
2023-08-23,186.0,186.0,174.15,175.55,75488.0,0.7410
2023-08-24,175.05,183.0,172.0,181.4,27695.0,0.6575
2023-08-27,181.0,184.45,177.0,178.25,22208.0,0.6718
2023-08-28,176.55,185.0,174.3,177.45,37300.0,0.5560
2023-08-29,177.6,181.9,176.65,177.95,29983.0,0.7652
2023-08-30,179.0,181.5,172.0,173.05,69024.0,0.7050
2023-08-31,174.0,177.6,170.05,172.9,51583.0,0.6739
2023-09-03,176.2,179.0,172.1,176.55,31494.0,0.7471
2023-09-04,178.0,181.9,177.7,180.5,27935.0,0.6593
2023-09-05,178.05,185.0,178.05,179.45,26124.0,0.6527
2023-09-06,182.9,182.9,177.8,179.15,18168.0,0.7556
2023-09-07,181.7,182.0,174.0,176.35,32600.0,0.6223
2023-09-10,176.3,179.95,174.0,178.0,22857.0,0.7065
2023-09-11,180.0,180.0,171.0,173.45,40871.0,0.6449
2023-09-12,175.9,175.9,170.5,173.45,23938.0,0.7054
2023-09-13,176.2,176.2,164.8,168.5,147230.0,0.6104
2023-09-14,172.9,172.95,166.1,168.15,38851.0,0.6104
2023-09-17,168.0,172.4,166.0,169.5,38319.0,0.7007
2023-09-19,167.0,170.8,166.55,167.7,38199.0,0.5374
2023-09-20,170.0,170.0,166.25,168.1,16884.0,0.7467
2023-09-21,170.3,170.3,164.0,165.15,55013.0,0.6471
2023-09-24,167.9,169.75,166.0,167.2,20041.0,0.7027
2023-09-25,167.95,168.95,165.6,166.0,30718.0,0.7182
2023-09-26,165.4,167.7,163.15,165.5,28226.0,0.7481
2023-09-27,165.5,173.75,164.95,172.85,70828.0,0.5550
2023-09-28,181.45,181.45,175.45,181.45,83613.0,0.5294
2023-10-02,189.45,189.45,176.2,177.9,77067.0,0.5920
2023-10-03,176.0,179.2,174.3,175.8,35190.0,0.6911
2023-10-04,178.95,179.0,171.5,172.35,25989.0,0.7391
2023-10-05,175.8,175.8,170.0,170.3,41126.0,0.6861
2023-10-08,171.0,171.05,164.0,166.95,35886.0,0.6649
2023-10-09,169.9,173.5,168.3,170.35,20581.0,0.7034
2023-10-10,172.0,174.0,171.0,173.75,39736.0,0.6251
2023-10-11,175.95,176.4,172.2,173.2,21326.0,0.7020
2023-10-12,173.2,175.9,171.0,172.35,32830.0,0.5943
2023-10-15,172.05,175.5,171.55,172.1,36765.0,0.7185
2023-10-16,172.5,174.0,171.6,172.8,19960.0,0.6535
2023-10-17,174.0,183.45,173.95,175.95,67549.0,0.5913
2023-10-18,177.0,178.45,174.05,176.05,26894.0,0.6991
2023-10-19,176.05,178.9,172.0,172.75,19463.0,0.7253
2023-10-22,172.5,174.7,166.2,167.7,38322.0,0.7332
2023-10-24,169.0,171.95,160.2,164.4,40463.0,0.6019
2023-10-25,164.3,166.9,151.2,164.2,82169.0,0.6332
2023-10-26,160.3,169.4,160.1,165.25,19947.0,0.6177
2023-10-29,165.25,166.0,160.0,163.0,26106.0,0.6559
2023-10-30,166.0,167.75,161.0,161.65,21471.0,0.6348
2023-10-31,161.0,164.5,160.95,163.35,12629.0,0.6199
2023-11-01,165.0,169.0,161.6,164.95,24269.0,0.6709
2023-11-02,166.0,171.0,164.6,168.1,35030.0,0.7053
2023-11-05,172.9,184.9,170.0,184.9,97014.0,0.7203
2023-11-06,203.35,203.35,203.35,203.35,75304.0,0.9972
2023-11-07,209.9,219.0,205.0,206.6,270105.0,0.6186
2023-11-08,210.0,213.95,197.0,205.05,155488.0,0.4962
2023-11-09,208.95,209.9,202.8,204.7,65781.0,0.5442
2023-11-12,208.9,209.85,193.0,195.8,72378.0,0.6887
