Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,11.15,11.2,11.05,11.1,81379.0,1.0000
2023-06-19,11.15,11.2,11.05,11.1,81379.0,1.0000
2023-06-20,11.2,11.25,11.1,11.2,96611.0,0.9542
2023-06-20,11.2,11.25,11.1,11.2,96611.0,0.9542
2023-06-21,11.2,11.2,11.05,11.1,127300.0,0.9542
2023-06-21,11.2,11.2,11.05,11.1,127300.0,1.0000
2023-06-22,11.1,11.15,11.05,11.05,51572.0,1.0000
2023-06-22,11.1,11.15,11.05,11.05,51572.0,1.0000
2023-06-25,11.05,11.15,11.0,11.0,69928.0,1.0000
2023-06-25,11.05,11.15,11.0,11.0,69928.0,1.0000
2023-06-26,11.1,11.25,11.0,11.25,83494.0,1.0000
2023-06-26,11.1,11.25,11.0,11.25,83494.0,1.0000
2023-06-27,11.25,11.3,11.1,11.15,90382.0,1.0000
2023-06-27,11.25,11.3,11.1,11.15,90382.0,1.0000
2023-06-29,11.2,11.3,11.2,11.25,94387.0,1.0000
2023-06-29,11.2,11.3,11.2,11.25,94387.0,1.0000
2023-07-02,11.3,11.8,11.1,11.8,903299.0,1.0000
2023-07-02,11.3,11.8,11.1,11.8,903299.0,1.0000
2023-07-03,11.9,12.1,11.7,11.9,283130.0,1.0000
2023-07-03,11.9,12.1,11.7,11.9,283130.0,1.0000
2023-07-04,11.9,12.45,11.85,12.0,448753.0,1.0000
2023-07-04,11.9,12.45,11.85,12.0,448753.0,1.0000
2023-07-05,12.0,12.45,11.8,12.3,241331.0,0.9908
2023-07-05,12.0,12.45,11.8,12.3,241331.0,0.9908
2023-07-06,12.5,12.9,12.45,12.9,699663.0,0.9908
2023-07-06,12.5,12.9,12.45,12.9,699663.0,0.9945
2023-07-09,13.15,13.4,13.0,13.2,426258.0,0.9945
2023-07-09,13.15,13.4,13.0,13.2,426258.0,0.9995
2023-07-10,13.2,13.2,13.2,13.2,0.0,0.9587
2023-07-11,13.2,13.2,13.2,13.2,0.0,1.0000
2023-07-12,13.2,13.2,13.2,13.2,0.0,0.9836
2023-07-13,13.2,13.2,13.2,13.2,0.0,0.9904
2023-07-16,12.95,12.95,12.95,12.95,21073.0,0.9999
2023-07-16,12.95,12.95,12.95,12.95,21073.0,0.9999
2023-07-17,12.95,12.95,12.95,12.95,0.0,0.8782
2023-07-18,12.95,12.95,12.95,12.95,0.0,1.0000
2023-07-19,12.95,12.95,12.95,12.95,0.0,1.0000
2023-07-20,12.95,12.95,12.95,12.95,0.0,1.0000
2023-07-23,12.7,12.7,12.7,12.7,28649.0,1.0000
2023-07-23,12.7,12.7,12.7,12.7,28649.0,1.0000
2023-07-24,12.45,12.45,12.45,12.45,28653.0,1.0000
2023-07-24,12.45,12.45,12.45,12.45,28653.0,1.0000
2023-07-25,12.2,12.2,12.2,12.2,924596.0,1.0000
2023-07-25,12.2,12.2,12.2,12.2,924596.0,1.0000
2023-07-26,11.95,12.0,11.95,11.95,859419.0,1.0000
2023-07-26,11.95,12.0,11.95,11.95,859419.0,1.0000
2023-07-27,12.0,12.0,12.0,12.0,773893.0,1.0000
2023-07-27,12.0,12.0,12.0,12.0,773893.0,1.0000
2023-07-30,11.8,12.15,11.8,11.8,557749.0,0.9790
2023-07-30,11.8,12.15,11.8,11.8,557749.0,0.9790
2023-07-31,11.95,12.0,11.8,11.95,224183.0,1.0000
2023-07-31,11.95,12.0,11.8,11.95,224183.0,1.0000
2023-08-01,11.95,12.0,11.95,11.95,667423.0,1.0000
2023-08-01,11.95,12.0,11.95,11.95,667423.0,1.0000
2023-08-02,11.8,12.0,11.75,11.8,23741.0,0.9267
2023-08-02,11.8,12.0,11.75,11.8,23741.0,0.9267
2023-08-03,12.0,12.0,11.9,12.0,45308.0,0.9267
2023-08-03,12.0,12.0,11.9,12.0,45308.0,1.0000
2023-08-06,12.0,12.0,11.9,12.0,91597.0,1.0000
2023-08-06,12.0,12.0,11.9,12.0,91597.0,0.8017
2023-08-07,12.0,12.0,12.0,12.0,52055.0,0.9370
2023-08-07,12.0,12.0,12.0,12.0,52055.0,0.9370
2023-08-08,11.9,11.95,11.85,11.9,18173.0,0.9370
2023-08-08,11.9,11.95,11.85,11.9,18173.0,1.0000
2023-08-09,12.0,12.0,12.0,12.0,260070.0,1.0000
2023-08-09,12.0,12.0,12.0,12.0,260070.0,1.0000
2023-08-10,11.95,12.0,11.9,11.95,118355.0,1.0000
2023-08-10,11.95,12.0,11.9,11.95,118355.0,1.0000
2023-08-13,12.45,12.5,11.45,12.5,262252.0,1.0000
2023-08-13,12.45,12.5,11.45,12.5,262252.0,1.0000
2023-08-15,13.1,13.1,12.95,13.1,541797.0,1.0000
2023-08-15,13.1,13.1,12.95,13.1,541797.0,1.0000
2023-08-16,13.75,13.75,13.2,13.7,697998.0,1.0000
2023-08-16,13.75,13.75,13.2,13.7,697998.0,1.0000
2023-08-17,13.7,14.1,13.05,13.4,342217.0,1.0000
2023-08-17,13.7,14.1,13.05,13.4,342217.0,1.0000
2023-08-20,13.7,13.8,13.15,13.3,184847.0,1.0000
2023-08-20,13.7,13.8,13.15,13.3,184847.0,1.0000
2023-08-21,13.3,13.5,12.95,13.05,99725.0,1.0000
2023-08-21,13.3,13.5,12.95,13.05,99725.0,1.0000
2023-08-22,13.35,13.4,13.0,13.25,102500.0,1.0000
2023-08-22,13.35,13.4,13.0,13.25,102500.0,1.0000
2023-08-23,13.9,13.9,12.85,13.15,78563.0,1.0000
2023-08-23,13.9,13.9,12.85,13.15,78563.0,1.0000
2023-08-24,13.15,13.4,12.7,12.8,93473.0,1.0000
2023-08-24,13.15,13.4,12.7,12.8,93473.0,1.0000
2023-08-27,12.85,13.1,12.75,13.0,167747.0,0.9998
2023-08-27,12.85,13.1,12.75,13.0,167747.0,0.9998
2023-08-28,13.0,13.25,12.75,13.0,236102.0,0.9954
2023-08-28,13.0,13.25,12.75,13.0,236102.0,0.9954
2023-08-29,13.2,13.6,13.0,13.0,155189.0,0.9954
2023-08-29,13.2,13.6,13.0,13.0,155189.0,1.0000
2023-08-30,13.25,13.25,12.95,13.1,135694.0,1.0000
2023-08-30,13.25,13.25,12.95,13.1,135694.0,1.0000
2023-08-31,13.3,13.4,12.9,13.25,266367.0,1.0000
2023-08-31,13.3,13.4,12.9,13.25,266367.0,1.0000
2023-09-03,13.25,13.45,13.1,13.35,155174.0,1.0000
2023-09-03,13.25,13.45,13.1,13.35,155174.0,1.0000
2023-09-04,13.35,14.0,13.05,14.0,810412.0,1.0000
2023-09-04,13.35,14.0,13.05,14.0,810412.0,1.0000
2023-09-05,14.25,14.5,14.0,14.2,508456.0,1.0000
2023-09-05,14.25,14.5,14.0,14.2,508456.0,1.0000
2023-09-06,14.4,14.4,13.9,14.05,184009.0,1.0000
2023-09-06,14.4,14.4,13.9,14.05,184009.0,0.9977
2023-09-07,14.3,14.4,14.0,14.2,305769.0,0.9977
2023-09-07,14.3,14.4,14.0,14.2,305769.0,0.9999
2023-09-10,14.5,15.4,14.1,15.1,1711043.0,0.7866
2023-09-10,14.5,15.4,14.1,15.1,1711043.0,0.9959
2023-09-11,15.3,15.55,14.15,14.55,1572679.0,0.8069
2023-09-11,15.3,15.55,14.15,14.55,1572679.0,1.0000
2023-09-12,14.35,15.0,13.85,14.95,526242.0,0.7081
2023-09-12,14.35,15.0,13.85,14.95,526242.0,1.0000
2023-09-13,15.0,15.05,14.6,14.7,278778.0,1.0000
2023-09-13,15.0,15.05,14.6,14.7,278778.0,0.7268
2023-09-14,14.75,16.15,14.75,16.1,9062627.0,0.5727
2023-09-14,14.75,16.15,14.75,16.1,9062627.0,0.8940
2023-09-17,16.25,16.35,15.5,15.7,3819795.0,0.6088
2023-09-17,16.25,16.35,15.5,15.7,3819795.0,0.9773
2023-09-19,15.65,15.85,14.95,15.05,1085939.0,0.9411
2023-09-19,15.65,15.85,14.95,15.05,1085939.0,0.7114
2023-09-20,14.85,15.05,14.15,14.55,1438262.0,0.9906
2023-09-20,14.85,15.05,14.15,14.55,1438262.0,0.6198
2023-09-21,15.1,15.5,14.6,14.8,994752.0,0.5791
2023-09-21,15.1,15.5,14.6,14.8,994752.0,0.9892
2023-09-24,14.85,15.55,14.8,14.95,754334.0,0.6080
2023-09-24,14.85,15.55,14.8,14.95,754334.0,0.9800
2023-09-25,15.15,15.15,14.45,14.55,725278.0,0.6617
2023-09-25,15.15,15.15,14.45,14.55,725278.0,1.0000
2023-09-26,14.6,14.65,14.1,14.35,598335.0,1.0000
2023-09-26,14.6,14.65,14.1,14.35,598335.0,0.6846
2023-09-27,14.6,15.05,14.45,14.6,679549.0,0.9988
2023-09-27,14.6,15.05,14.45,14.6,679549.0,0.6530
2023-09-28,14.85,15.0,14.35,14.9,540056.0,0.9999
2023-09-28,14.85,15.0,14.35,14.9,540056.0,0.5799
2023-10-02,14.9,15.0,14.45,14.55,623964.0,1.0000
2023-10-02,14.9,15.0,14.45,14.55,623964.0,0.5341
2023-10-03,14.3,14.9,14.3,14.8,588056.0,1.0000
2023-10-03,14.3,14.9,14.3,14.8,588056.0,0.6149
2023-10-04,15.2,15.8,14.6,15.35,2090331.0,0.9958
2023-10-04,15.2,15.8,14.6,15.35,2090331.0,0.6149
2023-10-05,15.45,16.1,15.35,15.95,1529647.0,0.6518
2023-10-05,15.45,16.1,15.35,15.95,1529647.0,0.9958
2023-10-08,16.25,16.25,14.65,14.9,2192477.0,1.0000
2023-10-08,16.25,16.25,14.65,14.9,2192477.0,0.4984
2023-10-09,15.5,17.15,15.3,16.05,10226508.0,1.0000
2023-10-09,15.5,17.15,15.3,16.05,10226508.0,0.4459
2023-10-10,16.4,16.7,15.65,15.85,2486429.0,1.0000
2023-10-10,16.4,16.7,15.65,15.85,2486429.0,0.5711
2023-10-11,16.0,16.0,14.85,15.25,4939171.0,1.0000
2023-10-11,16.0,16.0,14.85,15.25,4939171.0,0.4842
2023-10-12,15.3,15.3,14.7,15.0,2751750.0,0.9988
2023-10-12,15.3,15.3,14.7,15.0,2751750.0,0.5734
2023-10-15,15.15,15.2,14.7,14.85,2183494.0,0.5071
2023-10-15,15.15,15.2,14.7,14.85,2183494.0,1.0000
2023-10-16,15.05,15.4,14.8,14.9,2072237.0,1.0000
2023-10-16,15.05,15.4,14.8,14.9,2072237.0,0.4796
2023-10-17,15.0,15.2,14.8,14.9,1186634.0,1.0000
2023-10-17,15.0,15.2,14.8,14.9,1186634.0,0.5960
2023-10-18,14.75,15.4,14.75,15.15,1855060.0,0.6644
2023-10-18,14.75,15.4,14.75,15.15,1855060.0,1.0000
2023-10-19,15.25,15.35,14.75,14.85,1545745.0,0.5531
