Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,172.45,172.5,168.65,169.55,10045.0,0.7590
2023-06-20,171.55,175.45,169.0,173.25,28331.0,0.6285
2023-06-21,174.5,175.05,171.1,171.9,10477.0,0.7221
2023-06-22,171.1,173.45,168.6,169.95,8926.0,0.6091
2023-06-25,172.35,172.35,167.1,168.05,6704.0,0.8228
2023-06-26,167.0,172.85,167.0,169.15,11206.0,0.6544
2023-06-27,170.75,174.05,169.2,173.55,15188.0,0.8141
2023-06-29,173.0,176.85,171.4,175.05,24656.0,0.7030
2023-07-02,175.05,176.05,171.1,172.3,11921.0,0.6703
2023-07-03,172.3,173.0,160.0,170.8,31085.0,0.5636
2023-07-04,172.0,173.85,169.8,171.2,11620.0,0.6904
2023-07-05,170.55,172.8,165.55,172.0,44201.0,0.7849
2023-07-06,172.0,172.95,167.05,171.05,16535.0,0.5847
2023-07-09,170.0,173.9,169.35,172.05,28688.0,0.8287
2023-07-10,172.0,182.9,171.3,181.2,63980.0,0.6254
2023-07-11,184.5,184.75,178.75,180.1,43550.0,0.7522
2023-07-12,182.75,182.75,178.15,179.85,19923.0,0.7772
2023-07-13,181.9,182.75,179.4,182.05,31815.0,0.6930
2023-07-16,184.0,184.7,179.3,183.95,31334.0,0.7110
2023-07-17,184.0,194.3,180.8,186.75,78013.0,0.5505
2023-07-18,188.5,205.0,186.1,202.7,186069.0,0.4155
2023-07-19,209.0,211.4,202.8,204.3,114260.0,0.5585
2023-07-20,200.75,208.95,200.05,201.6,31910.0,0.4913
2023-07-23,206.0,206.8,196.25,197.4,28031.0,0.6774
2023-07-24,199.0,199.0,189.0,190.0,36568.0,0.6233
2023-07-25,190.05,192.35,187.0,187.95,15542.0,0.6953
2023-07-26,189.0,192.95,186.05,189.2,17713.0,0.6634
2023-07-27,190.0,192.6,185.3,187.25,17176.0,0.5480
2023-07-30,190.05,204.8,186.05,193.4,98571.0,0.3780
2023-07-31,192.95,201.3,192.55,197.1,38675.0,0.5491
2023-08-01,199.45,199.45,190.1,192.75,20752.0,0.6307
