Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,25.9000,26.9500,25.2500,26.3000,31241.0000,0.3247
2023-06-06,26.9000,26.9500,26.0000,26.2500,23920.0000,0.6704
2023-06-07,26.2500,26.8500,25.4000,25.9000,22965.0000,0.5392
2023-06-08,26.2000,26.2000,25.2000,25.4000,6722.0000,0.4592
2023-06-11,25.1000,27.6500,25.1000,26.5000,162740.0000,0.1936
2023-06-12,26.1500,27.7000,26.0500,26.7500,170202.0000,0.1936
2023-06-13,26.7500,27.2500,26.5500,26.6000,56356.0000,0.1349
2023-06-14,27.0000,27.0000,24.3000,25.5000,32969.0000,0.6197
2023-06-15,26.1500,26.1500,24.9500,25.3500,22099.0000,0.4607
2023-06-18,25.1000,26.3500,25.0000,25.9000,23804.0000,0.5248
2023-06-19,25.5500,25.9000,25.5500,25.7500,5660.0000,0.1124
2023-06-20,25.7500,27.3500,25.7500,26.6500,37618.0000,0.6819
2023-06-21,27.3500,27.3500,26.0500,26.3000,7815.0000,0.5995
2023-06-22,27.0000,27.0000,25.1500,25.4000,24915.0000,0.2274
2023-06-25,26.1000,26.1000,25.1000,25.9000,10746.0000,0.2091
2023-06-26,26.4500,26.9500,26.0000,26.5500,22322.0000,0.2100
2023-06-27,26.5500,26.7500,25.7500,25.9000,10747.0000,0.2825
2023-06-29,25.8500,26.3500,25.6500,25.7500,19487.0000,0.4149
2023-07-02,25.9000,26.9000,25.5000,26.2500,43818.0000,0.3592
2023-07-03,26.2500,26.2500,25.3000,25.5500,25262.0000,0.2747
2023-07-04,25.3500,25.6000,24.9000,25.1500,64684.0000,0.4671
2023-07-05,25.6500,25.8500,25.2500,25.3500,12095.0000,0.1837
2023-07-06,25.8500,25.8500,24.9000,25.2000,6851.0000,0.2753
2023-07-09,26.5000,27.4000,25.6000,25.7000,26546.0000,0.3198
2023-07-10,25.1000,26.1000,25.1000,25.3000,9319.0000,0.3736
2023-07-11,25.1000,25.8500,25.0500,25.6000,24257.0000,0.5711
2023-07-12,26.0500,26.0500,25.0000,25.0500,23189.0000,0.2198
2023-07-13,25.5500,25.5500,24.1500,24.8000,27594.0000,0.4085
2023-07-16,24.7000,26.7500,24.3000,25.9000,136780.0000,0.4554
2023-07-17,26.3500,26.6500,25.2500,25.5000,48207.0000,0.1279
2023-07-18,25.9000,25.9000,25.2000,25.5000,44406.0000,0.4645
2023-07-19,25.2000,25.8500,25.0000,25.3000,9075.0000,0.2023
2023-07-20,25.9000,25.9000,24.6000,24.8500,13819.0000,0.1390
2023-07-23,24.8500,25.2500,24.7500,24.8000,9796.0000,0.6693
2023-07-24,25.0000,25.0000,23.8000,24.0500,50273.0000,0.6794
2023-07-25,24.2000,24.4500,23.5000,23.6500,43489.0000,0.5850
2023-07-26,23.7500,24.2500,22.9000,23.0000,48980.0000,0.2828
2023-07-27,23.5000,23.7000,23.0000,23.0500,26438.0000,0.1586
2023-07-30,23.0000,23.6500,22.6500,22.8500,38285.0000,0.5105
2023-07-31,22.7000,24.7500,22.7000,24.1000,46729.0000,0.3641
2023-08-01,24.2000,24.3500,23.5000,23.6000,14447.0000,0.1732
2023-08-02,23.9500,24.0000,23.3000,23.4000,16656.0000,0.3971
2023-08-03,23.9000,24.3000,23.0000,23.6000,41259.0000,0.1206
2023-08-06,24.1000,24.1000,23.6000,23.7000,22242.0000,0.6456
2023-08-07,24.6500,26.3000,23.5000,25.9000,231979.0000,0.2553
2023-08-08,26.4000,26.9500,25.6000,25.9000,73850.0000,0.4975
2023-08-09,26.7500,26.7500,25.7000,25.9000,56624.0000,0.2870
2023-08-10,26.5000,26.5000,24.3500,25.0500,57796.0000,0.4120
2023-08-13,24.3000,24.6000,23.7000,23.8500,65108.0000,0.4280
2023-08-15,24.3500,24.4000,23.0000,23.4000,39554.0000,0.2109
2023-08-16,23.2000,26.7000,23.1000,26.2500,347209.0000,0.6818
2023-08-17,26.7500,27.4000,26.3000,26.7000,283422.0000,0.5651
2023-08-20,26.9000,30.8000,26.6000,29.3000,782746.0000,0.6637
2023-08-21,29.6500,29.6500,28.6000,29.1500,146373.0000,0.6369
2023-08-22,29.1500,31.9500,27.2500,31.4500,356016.0000,0.4587
2023-08-23,31.8000,32.4500,29.9000,31.8000,212388.0000,0.6531
2023-08-24,31.4000,33.7000,30.7000,33.1000,185723.0000,0.1531
2023-08-27,34.1500,39.7000,34.1500,39.7000,501599.0000,0.2176
2023-08-28,42.5000,43.6500,37.3500,43.6500,1299245.0000,0.1271
2023-08-29,45.8500,47.9500,40.3500,41.9000,990192.0000,0.2952
2023-08-30,41.9000,41.9000,39.8000,39.8000,36706.0000,0.3332
2023-08-31,38.0000,41.5000,37.8500,37.9000,172406.0000,0.2628
2023-09-03,37.0000,39.7500,36.0000,36.7500,114317.0000,0.5972
2023-09-04,36.7500,37.8000,34.9500,34.9500,135709.0000,0.3141
2023-09-05,35.0000,35.0000,33.7500,34.4000,41621.0000,0.2686
2023-09-06,35.3500,36.1000,34.8500,35.1000,148157.0000,0.4256
2023-09-07,35.7000,35.8000,34.5000,34.7500,38068.0000,0.1846
2023-09-10,33.6000,35.7000,33.3500,34.3000,112672.0000,0.5813
2023-09-11,34.3500,34.4000,32.6000,33.4500,77590.0000,0.1447
2023-09-12,32.9500,34.4500,31.8000,33.7500,50696.0000,0.6921
2023-09-13,33.7500,33.7500,32.5000,33.5000,25521.0000,0.5633
2023-09-14,33.7500,34.9500,33.2500,34.7500,42938.0000,0.2192
2023-09-17,35.0500,36.4500,34.5000,35.9000,57680.0000,0.1033
2023-09-19,35.9000,36.5000,34.6000,35.6000,21635.0000,0.5893
2023-09-20,35.6000,36.0000,34.6000,35.8000,19853.0000,0.5241
2023-09-21,35.8000,35.8000,34.0500,34.8000,68390.0000,0.5374
2023-09-24,35.4500,36.0000,33.6500,34.7500,19745.0000,0.5628
2023-09-25,35.4500,35.9500,33.7000,34.4000,14361.0000,0.1444
2023-09-26,34.4000,35.4500,33.6000,34.6000,15325.0000,0.3151
2023-09-27,34.6000,35.9000,34.0000,35.1500,13810.0000,0.1695
2023-09-28,35.2000,36.9000,33.8000,35.8000,106087.0000,0.6179
2023-10-02,35.7000,35.7000,34.2500,34.4000,24087.0000,0.4740
2023-10-03,34.3500,34.3500,33.3000,33.6500,18272.0000,0.2985
2023-10-04,34.2000,34.9500,33.0000,33.7000,49027.0000,0.1381
2023-10-05,34.0000,34.6500,33.5000,33.7500,9217.0000,0.2866
2023-10-08,33.5500,33.5500,32.5000,33.2500,22617.0000,0.2951
2023-10-09,33.1000,34.5000,32.6000,33.2500,6731.0000,0.5378
2023-10-10,33.2500,33.8500,32.0500,32.5000,38652.0000,0.4825
2023-10-11,32.7000,32.8500,32.0500,32.7500,9535.0000,0.6323
2023-10-12,32.9000,32.9000,32.1500,32.5500,8322.0000,0.3833
2023-10-15,32.1000,33.2500,32.1000,33.1500,12851.0000,0.1718
2023-10-16,33.0000,33.1000,32.1000,32.7000,20035.0000,0.5279
2023-10-17,32.7000,32.9000,32.3000,32.8500,8755.0000,0.5565
2023-10-18,33.0000,34.2000,32.4000,33.6000,35927.0000,0.4368
2023-10-19,33.6000,35.0000,33.6000,33.7500,16275.0000,0.5626
