Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,2.75,2.75,2.65,2.65,28663.0,0.9210
2023-06-06,2.75,2.9,2.65,2.9,50832.0,0.8801
2023-06-07,3.0,3.15,2.75,3.1,396257.0,0.5181
2023-06-08,3.25,3.25,3.0,3.05,76404.0,0.7262
2023-06-11,3.15,3.35,2.9,3.1,433856.0,0.3205
2023-06-12,3.2,3.3,3.05,3.1,92226.0,0.6220
2023-06-13,3.25,3.25,3.0,3.15,110125.0,0.6831
2023-06-14,3.2,3.2,3.0,3.05,80934.0,0.6466
2023-06-15,3.1,3.1,3.0,3.0,49297.0,0.6510
2023-06-18,3.1,3.1,3.0,3.05,30923.0,0.8384
2023-06-19,3.0,3.1,3.0,3.05,6092.0,0.7536
2023-06-20,3.1,3.15,3.0,3.05,39374.0,0.5242
2023-06-21,3.1,3.1,2.9,3.0,19766.0,0.8001
2023-06-22,3.0,3.1,2.9,2.9,41824.0,0.8133
2023-06-25,2.9,3.0,2.85,2.85,46533.0,0.9118
2023-06-26,2.95,3.1,2.8,2.9,203464.0,0.5178
2023-06-27,2.95,2.95,2.85,2.85,99048.0,0.6356
2023-06-29,2.85,3.1,2.85,3.05,210671.0,0.6669
2023-07-02,3.15,3.35,2.9,3.25,239836.0,0.5149
2023-07-03,3.3,3.3,3.05,3.15,79628.0,0.7053
2023-07-04,3.2,3.2,2.9,3.05,256615.0,0.6614
2023-07-05,3.2,3.2,3.0,3.1,130597.0,0.3933
2023-07-06,3.15,3.15,3.0,3.0,39340.0,0.6922
2023-07-09,3.15,3.15,2.9,2.9,236593.0,0.5936
2023-07-10,2.95,3.0,2.9,2.9,92213.0,0.7880
2023-07-11,2.9,3.05,2.65,2.95,269793.0,0.6598
2023-07-12,3.0,3.05,2.9,2.9,62543.0,0.5218
2023-07-13,2.95,3.0,2.9,2.95,37445.0,0.8075
2023-07-16,2.9,3.0,2.9,2.9,31400.0,0.6840
2023-07-17,2.95,3.0,2.9,2.95,24620.0,0.7550
2023-07-18,3.0,3.05,2.95,3.0,77191.0,0.5717
2023-07-19,3.0,3.05,2.95,3.05,56962.0,0.6285
2023-07-20,3.0,3.05,2.95,3.0,64017.0,0.6480
2023-07-23,3.0,3.25,2.95,3.05,121693.0,0.4985
2023-07-24,3.05,3.1,2.95,3.0,106500.0,0.9048
2023-07-25,3.0,3.1,3.0,3.05,74440.0,0.8131
2023-07-26,3.05,3.1,2.95,3.05,74954.0,0.7346
2023-07-27,3.05,3.25,2.95,3.2,271959.0,0.6287
2023-07-30,3.2,3.25,3.1,3.15,68348.0,0.9249
2023-07-31,3.2,3.4,3.1,3.25,326153.0,0.5712
2023-08-01,3.3,3.35,3.15,3.2,76521.0,0.6805
2023-08-02,3.2,3.3,3.15,3.15,89109.0,0.6880
2023-08-03,3.2,3.25,3.1,3.2,129775.0,0.6224
2023-08-06,3.25,3.7,3.1,3.5,382024.0,0.5927
