Date,Open,High,Low,Close,Volume,Delivery_Percentage
2024-04-09,134.7015,135.6355,130.7686,132.0959,178807.0,0.7185
2024-04-11,132.735,134.7015,119.9531,123.0994,346343.0,0.6112
2024-04-14,121.9196,126.8357,118.085,124.476,157398.0,0.5843
2024-04-15,120.1006,125.8525,120.1006,125.41,55629.0,0.6473
2024-04-17,126.7374,129.7854,122.3129,123.7385,141037.0,0.6489
2024-04-18,123.886,125.3117,122.6078,123.6402,84891.0,0.6889
2024-04-21,124.4268,128.8021,123.0011,125.0659,94693.0,0.5637
2024-04-22,126.0491,126.8357,125.3117,126.1474,44355.0,0.6085
2024-04-23,128.3105,128.9988,124.6726,125.1151,110686.0,0.6810
2024-04-24,125.115,126.4424,123.6402,124.5251,72350.0,0.7209
2024-04-25,124.5251,125.705,122.8536,123.7385,73588.0,0.6368
2024-04-28,123.6402,124.8692,121.3788,122.6078,98093.0,0.7086
2024-04-29,122.6078,123.3944,119.904,121.8213,116231.0,0.6662
2024-05-01,122.8045,126.8357,121.6738,125.0659,109808.0,0.6604
2024-05-02,125.9016,125.9016,122.4112,123.5911,106959.0,0.5091
2024-05-05,123.886,124.9184,118.9699,121.4771,112902.0,0.5125
2024-05-06,121.4771,123.7385,119.9531,122.9028,120828.0,0.6631
2024-05-07,122.7553,122.8045,120.5922,121.2313,25160.0,0.6050
2024-05-08,121.2313,121.9687,119.1666,119.904,19989.0,0.8165
2024-05-09,119.9531,120.0023,117.0035,118.1342,32393.0,0.7045
2024-05-12,120.838,120.838,116.3152,118.2817,29118.0,0.7067
2024-05-13,115.5286,124.8692,115.5286,122.362,51247.0,0.6248
2024-05-14,124.7709,124.7709,118.4783,119.7565,52728.0,0.6734
2024-05-15,120.0515,121.8213,120.0023,121.4771,10865.0,0.5331
2024-05-16,121.4771,121.4771,115.6761,119.4615,76407.0,0.6659
2024-05-20,121.8704,121.8704,114.2504,116.0694,120596.0,0.7491
2024-05-21,117.79,117.79,112.3332,116.7085,114348.0,0.5621
2024-05-22,117.4951,117.7409,113.0706,113.6605,48263.0,0.6698
2024-05-23,113.1197,116.5119,112.9723,113.9555,101599.0,0.6245
