Date,Open,High,Low,Close,Volume,Delivery_Percentage
2026-03-18,74.7500,75.7900,69.0100,70.4200,61428.0000,0.3247
2026-03-19,79.2900,79.3000,69.1100,70.0600,36536.0000,0.6704
2026-03-22,70.0600,70.6200,66.0000,68.1500,35996.0000,0.5392
2026-03-23,69.6400,70.8900,66.6500,68.2400,39456.0000,0.4592
2026-03-24,68.2400,70.0900,67.0700,68.3400,103884.0000,0.1936
2026-03-26,69.6000,69.8000,64.1200,65.6600,112659.0000,0.1936
2026-03-29,62.3500,65.5100,57.1500,60.9200,313483.0000,0.1349
2026-03-31,62.1500,67.6000,62.1500,66.8600,83354.0000,0.6197
2026-04-01,66.0000,71.0000,64.1700,69.9300,83685.0000,0.4607
2026-04-05,69.9400,70.7700,67.3100,68.3500,27406.0000,0.5248
2026-04-06,68.0500,69.0000,66.0100,66.2100,26158.0000,0.1124
2026-04-07,69.8500,72.4000,67.0000,71.4300,85394.0000,0.6819
2026-04-08,69.5200,74.4900,69.0200,71.3700,115023.0000,0.5995
2026-04-09,71.9900,74.8000,71.1200,74.3700,80749.0000,0.2274
2026-04-12,73.9900,77.2500,72.1100,76.7200,46871.0000,0.2091
2026-04-14,78.5000,78.5000,75.9000,76.9700,47534.0000,0.2100
2026-04-15,77.3800,77.3800,75.4100,76.1200,26841.0000,0.2825
2026-04-16,77.3400,80.0000,75.0200,76.2100,100629.0000,0.4149
2026-04-19,78.7300,78.7300,72.6100,72.8700,100791.0000,0.3592
2026-04-20,74.5000,74.5000,72.1200,74.0000,47481.0000,0.2747
2026-04-21,74.5500,75.8700,73.0100,75.2800,27889.0000,0.4671
2026-04-22,76.9700,76.9700,74.0400,75.8600,28150.0000,0.1837
2026-04-23,74.5100,75.0900,72.3000,72.8400,17801.0000,0.2753
2026-04-26,72.4800,75.6600,72.4800,73.7100,40948.0000,0.3198
2026-04-27,74.9900,75.1800,72.2500,72.6800,16803.0000,0.3736
2026-04-28,74.0100,74.3000,72.0000,72.2900,24473.0000,0.5711
2026-04-29,73.0000,73.8000,71.2600,73.2400,18625.0000,0.2198
2026-05-03,74.8300,74.9900,72.4200,73.1000,11224.0000,0.4085
2026-05-04,73.6200,73.6200,71.5200,71.9600,16066.0000,0.4554
2026-05-05,73.5400,73.5800,72.4500,72.8400,8190.0000,0.1279
2026-05-06,72.2600,74.4500,72.2600,73.2700,22304.0000,0.4645
2026-05-07,72.5400,74.3800,71.0000,71.8200,31560.0000,0.2023
2026-05-10,71.8200,73.3000,71.4100,72.1500,31015.0000,0.1390
2026-05-11,70.6500,73.5700,70.0000,70.1400,16119.0000,0.6693
2026-05-12,70.7000,72.5000,70.1200,70.5500,10976.0000,0.6794
2026-05-13,72.4000,72.4000,68.1000,68.5700,30417.0000,0.5850
2026-05-14,69.5000,69.8900,66.9700,67.2100,20429.0000,0.2828
2026-05-17,67.2100,70.5000,64.1000,68.4000,31246.0000,0.1586
2026-05-18,68.1800,68.6800,64.6700,66.2500,39233.0000,0.5105
2026-05-19,67.8000,67.8000,65.6500,66.8700,8899.0000,0.3641
2026-05-20,68.5000,73.0000,67.0600,72.2600,69149.0000,0.1732
2026-05-21,72.8500,74.4000,72.8500,73.4700,73530.0000,0.3971
2026-05-24,74.4000,76.7600,74.2100,75.6900,79413.0000,0.1206
2026-05-25,76.5000,77.0000,74.0000,74.5800,39241.0000,0.6456
2026-05-26,75.9000,75.9000,72.5000,73.2300,28523.0000,0.2553
2026-05-28,74.9000,75.1900,68.3600,69.9100,106543.0000,0.4975
2026-05-31,69.9100,71.1900,69.1500,69.3200,17606.0000,0.2870
2026-06-01,69.3200,71.0000,67.3500,69.8200,27744.0000,0.4120
2026-06-02,70.7700,71.6000,68.8000,69.4100,39953.0000,0.4280
2026-06-03,70.4000,71.0000,68.5000,69.5700,49069.0000,0.2109
