Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,114.0000,120.5000,110.4000,116.9000,35518.0000,0.3247
2023-06-06,119.2500,125.4000,118.2000,119.7000,35213.0000,0.6704
2023-06-07,120.0000,120.0000,113.4500,115.7000,4333.0000,0.5392
2023-06-08,115.4000,120.0000,115.4000,119.9500,7878.0000,0.4592
2023-06-11,119.9000,121.0000,118.0000,119.0000,2559.0000,0.1936
2023-06-12,119.3000,119.3000,112.1000,116.7500,10827.0000,0.1936
2023-06-13,120.0000,120.0000,114.8000,116.0000,5114.0000,0.1349
2023-06-14,118.5000,119.8000,117.0000,117.0000,3749.0000,0.6197
2023-06-15,119.5000,119.5000,114.6500,117.1500,3076.0000,0.4607
2023-06-18,117.5000,122.0000,116.4500,121.4000,37852.0000,0.5248
2023-06-19,123.0000,130.0500,121.4000,125.9500,74258.0000,0.1124
2023-06-20,128.8500,128.8500,121.0000,122.8000,26187.0000,0.6819
2023-06-21,123.6000,125.5500,121.0500,121.5000,4343.0000,0.5995
2023-06-22,122.0000,123.4000,121.0000,121.0000,5568.0000,0.2274
2023-06-25,123.0000,123.0000,121.0000,121.7500,2141.0000,0.2091
2023-06-26,122.6000,124.0000,121.5500,123.2000,9431.0000,0.2100
2023-06-27,123.9000,125.0000,122.0500,124.0000,67582.0000,0.2825
2023-06-29,126.0000,126.0000,121.0000,123.5500,15488.0000,0.4149
2023-07-02,125.9000,125.9000,121.0000,121.2000,3479.0000,0.3592
2023-07-03,123.0000,124.0000,121.0000,121.3500,6967.0000,0.2747
2023-07-04,121.4000,122.0000,121.0000,121.0500,1306.0000,0.4671
2023-07-05,121.0000,122.4000,121.0000,121.1000,5979.0000,0.1837
2023-07-06,123.4500,123.7000,114.0000,120.8000,22473.0000,0.2753
2023-07-09,121.0000,123.0000,121.0000,122.1000,3527.0000,0.3198
2023-07-10,121.5500,123.0000,121.0000,122.3500,3830.0000,0.3736
2023-07-11,122.5000,124.0000,121.6000,122.8500,3435.0000,0.5711
2023-07-12,122.5000,122.5000,121.0000,121.0000,7602.0000,0.2198
