Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,17.8506,17.9004,17.4517,17.6012,852973.0,0.8339
2023-06-20,17.6012,18.0001,17.5514,17.701,873909.0,0.9511
2023-06-21,17.9503,18.3492,17.2023,17.3021,834959.0,0.8705
2023-06-22,17.3021,17.6012,16.953,17.4517,681117.0,0.9022
2023-06-25,17.6511,17.6511,16.604,16.6539,959207.0,0.8707
2023-06-26,16.5541,16.6539,15.8561,15.9558,1483045.0,0.8105
2023-06-27,15.9558,16.5043,15.9558,16.1552,686960.0,0.8602
2023-06-29,16.3547,16.3547,15.6068,16.0057,486237.0,0.6491
2023-07-02,16.2051,16.4544,15.5569,15.9558,1357151.0,0.6954
2023-07-03,16.0057,16.1552,15.6068,15.7564,562111.0,0.8454
2023-07-04,15.6068,16.1552,15.6068,15.9558,1854634.0,0.9698
2023-07-05,15.7065,16.3048,15.3076,15.507,1827537.0,0.7945
2023-07-06,15.4572,15.7065,15.3575,15.5569,1929680.0,0.9642
2023-07-09,15.7564,15.9059,15.3575,15.8561,748085.0,0.8960
2023-07-10,15.9558,16.1552,15.7564,16.0555,1587204.0,0.8785
2023-07-11,16.3048,16.8533,15.9558,16.8533,2654831.0,0.8349
2023-07-12,17.3021,17.6511,17.3021,17.6511,3592637.0,0.5589
2023-07-13,18.05,18.1497,17.3021,17.701,2081673.0,0.5839
2023-07-16,17.9503,18.3492,17.8506,18.0999,1888943.0,0.8076
2023-07-17,18.399,18.399,17.8506,18.05,1003563.0,0.8915
2023-07-18,18.05,18.1996,17.8506,17.9503,944623.0,0.9605
2023-07-19,18.1996,18.1996,17.6511,18.0001,597288.0,0.9503
2023-07-20,18.1996,18.1996,17.5514,17.8506,1627575.0,0.8024
2023-07-23,18.0001,18.0001,16.953,17.2023,920322.0,0.7017
2023-07-24,17.4018,17.4018,16.604,17.1525,610198.0,0.7282
2023-07-25,17.3021,17.3021,16.5043,16.6539,769763.0,0.8953
2023-07-26,16.6539,16.7536,16.0555,16.604,187392.0,0.6798
2023-07-27,16.604,16.8533,16.1552,16.7037,1143979.0,0.8143
2023-07-30,16.8533,17.2023,16.5541,16.953,841241.0,0.9311
2023-07-31,16.953,17.1026,16.4544,16.9032,1658481.0,0.8343
2023-08-01,16.7536,16.953,16.1552,16.5043,588050.0,0.7996
2023-08-02,16.604,16.604,15.7065,15.8561,1211727.0,0.7720
2023-08-03,15.9558,16.604,15.4073,16.4046,3375457.0,0.7402
2023-08-06,16.604,18.0001,16.604,17.4517,4366389.0,0.5775
2023-08-07,17.701,17.9004,17.2522,17.6012,1680460.0,0.7774
2023-08-08,17.8007,17.8506,16.7536,16.9032,572063.0,0.6851
2023-08-09,16.9032,17.2023,16.4544,16.604,631943.0,0.7439
2023-08-10,16.8533,18.2494,16.5541,18.2494,4381835.0,0.6683
2023-08-13,18.6982,20.0445,18.4489,20.0445,5514801.0,0.6053
2023-08-15,21.0916,21.9392,20.6428,21.8395,3703430.0,0.5511
2023-08-16,22.1885,23.7841,21.5403,23.6844,4006297.0,0.5386
2023-08-17,24.3825,24.6318,22.5376,22.6872,2859056.0,0.5497
2023-08-20,22.9365,23.3852,21.5902,22.8866,3587101.0,0.6104
2023-08-21,22.9863,23.9836,22.9863,23.9337,2433165.0,0.7823
2023-08-22,24.0833,24.8312,23.3354,24.0334,1363061.0,0.6056
2023-08-23,24.2329,24.7315,23.3354,23.7841,1556062.0,0.6007
2023-08-24,23.4849,24.2329,22.9365,23.7343,1476799.0,0.6447
2023-08-27,23.7841,24.4822,23.2356,24.1332,2361299.0,0.6906
2023-08-28,24.3326,24.6318,22.9365,23.1858,1024183.0,0.7718
2023-08-29,23.1359,24.0833,22.737,23.9337,2166253.0,0.5718
2023-08-30,23.8838,23.8838,22.7869,23.4351,1670529.0,0.5408
2023-08-31,23.6345,23.9337,23.0362,23.8838,1731395.0,0.7952
2023-09-03,23.8838,24.1331,23.2855,23.8838,1520174.0,0.7338
2023-09-04,23.9337,24.6816,23.4351,24.3825,2662570.0,0.5938
2023-09-05,24.4323,25.3298,23.4849,23.8838,6780042.0,0.5570
2023-09-06,23.9337,24.183,23.6844,23.9337,4225605.0,0.7179
2023-09-07,24.2827,24.2827,23.0362,23.5847,1248306.0,0.6799
2023-09-10,23.5348,23.6345,23.0362,23.1858,410152.0,0.7356
2023-09-11,23.6844,23.6844,22.039,22.5874,1861386.0,0.5246
2023-09-12,22.1387,22.9365,21.4905,21.5902,889780.0,0.7712
2023-09-13,21.4406,22.1885,21.2412,22.1387,1974154.0,0.7094
2023-09-14,22.1387,22.8866,21.9392,22.6872,834996.0,0.5917
2023-09-17,22.9365,23.1359,22.4877,22.8367,1072152.0,0.6212
2023-09-19,22.8367,22.8367,21.9891,22.1885,428858.0,0.6490
2023-09-20,21.9392,22.4378,21.7896,21.9392,333141.0,0.7480
2023-09-21,21.7896,21.9891,21.3907,21.8395,1026798.0,0.8470
2023-09-24,21.9392,21.9392,21.4905,21.8395,331101.0,0.6401
2023-09-25,21.9392,22.8367,21.5403,22.737,1167415.0,0.7206
2023-09-26,22.737,23.086,22.3381,22.9863,3354611.0,0.5888
2023-09-27,22.9365,23.1359,22.4378,22.5874,278741.0,0.5731
2023-09-28,22.6872,23.2356,22.4877,22.8367,800944.0,0.8569
2023-10-02,22.9365,22.9365,22.1387,22.7869,1309273.0,0.5005
2023-10-03,22.4378,22.8367,22.0888,22.5874,1532606.0,0.4618
2023-10-04,22.5874,23.2855,21.8894,23.1359,2958702.0,0.7204
2023-10-05,23.6844,23.9337,22.9365,23.7841,2603484.0,0.7463
2023-10-08,23.3354,24.6318,22.6373,23.2356,1354511.0,0.5750
2023-10-09,23.2356,25.0307,23.2356,24.8312,3796019.0,0.5784
2023-10-10,25.3298,26.4767,25.0307,26.2772,3466881.0,0.4912
2023-10-11,26.7758,27.7731,26.0279,27.6235,3236280.0,0.5728
2023-10-12,28.0722,28.0722,26.7758,27.3243,2120513.0,0.6596
2023-10-15,27.3243,28.87,27.1747,28.2717,4717569.0,0.6752
2023-10-16,28.8202,29.4684,27.3742,28.2218,2265280.0,0.5094
2023-10-17,28.4213,28.87,27.2246,27.6733,1483921.0,0.7071
2023-10-18,27.6235,27.8728,26.8756,27.4739,1340690.0,0.5685
2023-10-19,27.8229,27.8229,26.2772,26.7758,1838451.0,0.6418
2023-10-22,26.7758,26.7758,24.1332,24.1332,2648770.0,0.6265
2023-10-24,23.7343,24.532,21.8395,24.2329,4308040.0,0.5563
2023-10-25,23.7841,25.4296,23.1359,25.2301,3011475.0,0.5838
2023-10-26,25.6789,25.6789,23.2855,24.4822,2302852.0,0.6239
2023-10-29,23.4849,25.1304,23.4849,24.0334,1881158.0,0.6832
2023-10-30,24.183,24.9309,23.5348,24.0334,2290842.0,0.7411
2023-10-31,24.1332,24.4323,23.6844,24.1332,1694904.0,0.8488
2023-11-01,24.183,24.4822,23.9836,24.2827,1061581.0,0.9184
2023-11-02,24.2827,25.28,24.2329,25.0307,1830518.0,0.7650
2023-11-05,25.1304,26.726,25.1304,25.7287,2354826.0,0.6480
2023-11-06,25.9282,26.0778,25.5791,25.7786,1158135.0,0.6865
2023-11-07,26.1276,26.1276,25.1304,25.5293,832221.0,0.6107
