Date,Open,High,Low,Close,Volume,Delivery_Percentage
2026-03-01,68.0,71.4,66.0,71.4,6126419.0,0.0000
2026-03-03,70.6,73.36,67.83,67.83,451548.0,0.0000
2026-03-04,66.35,67.83,64.44,64.44,195512.0,0.0000
2026-03-05,61.22,61.22,61.22,61.22,110945.0,0.0000
2026-03-08,58.16,58.16,58.16,58.16,31687.0,0.0000
2026-03-09,55.3,58.0,55.26,56.4,623783.0,0.0000
2026-03-10,54.1,55.7,53.58,53.58,185614.0,0.0000
2026-03-11,50.91,50.91,50.91,50.91,62581.0,0.0000
2026-03-12,49.0,50.9,48.37,48.37,209228.0,0.0000
2026-03-15,46.0,50.78,45.96,50.59,355577.0,0.0000
2026-03-16,51.0,52.49,48.0,48.34,364511.0,0.5251
2026-03-17,48.59,48.78,46.58,47.13,266923.0,0.5387
2026-03-18,47.0,50.84,46.0,48.27,473604.0,0.2756
2026-03-19,50.4,51.27,47.88,48.42,403245.0,0.5069
2026-03-22,48.0,48.02,44.0,44.21,360845.0,0.6683
2026-03-23,44.87,46.5,42.5,44.07,174263.0,0.4556
2026-03-24,44.8,46.04,44.02,44.32,179317.0,0.5227
2026-03-26,43.66,44.19,40.5,41.31,210674.0,0.6839
2026-03-29,41.0,42.46,40.0,40.89,123759.0,0.5939
2026-03-31,41.5,43.0,41.1,42.09,108519.0,0.4516
2026-04-01,41.51,44.73,41.37,42.58,264928.0,0.3178
2026-04-05,43.2,48.44,41.55,46.02,740030.0,0.1764
2026-04-06,47.8,47.8,44.75,46.06,245980.0,0.3922
2026-04-07,48.0,49.0,46.5,47.04,329024.0,0.4707
2026-04-08,47.04,47.49,45.25,45.64,303297.0,0.5409
2026-04-09,46.5,46.75,45.5,45.74,162761.0,0.3645
2026-04-12,44.82,46.74,43.87,45.98,205453.0,0.3605
2026-04-14,46.1,48.87,46.1,47.36,449216.0,0.2508
2026-04-15,47.99,49.94,47.75,48.63,270986.0,0.4393
2026-04-16,49.36,49.73,48.5,48.92,126258.0,0.5327
2026-04-19,49.49,49.88,47.71,48.17,115838.0,0.4416
2026-04-20,48.13,49.44,48.13,48.7,97330.0,0.5463
2026-04-21,49.37,53.4,48.78,51.77,386203.0,0.4224
2026-04-22,52.88,52.88,50.5,50.59,136803.0,0.5268
2026-04-23,52.4,52.4,48.0,49.26,124710.0,0.4528
2026-04-26,49.51,50.6,48.91,50.32,86895.0,0.5190
2026-04-27,50.9,50.9,49.6,49.94,64331.0,0.6604
2026-04-28,50.22,51.16,48.5,49.18,66935.0,0.6484
2026-04-29,49.33,49.5,47.31,48.09,69288.0,0.5789
2026-04-30,48.09,48.09,48.09,48.09,0.0,0.5789
2026-05-03,48.25,53.0,48.1,48.76,105865.0,0.4852
2026-05-04,50.69,50.89,47.63,48.05,108970.0,0.5173
2026-05-05,48.9,48.95,47.93,48.66,57298.0,0.5639
2026-05-06,48.6,48.98,48.37,48.67,37895.0,0.6049
2026-05-07,48.52,48.52,46.0,47.84,59047.0,0.5369
2026-05-10,48.69,48.69,47.42,48.12,43982.0,0.5616
2026-05-11,48.6,48.98,45.5,45.83,70428.0,0.6919
2026-05-12,46.77,48.59,45.6,46.56,107330.0,0.5412
2026-05-13,46.78,47.85,45.82,46.2,51961.0,0.6547
2026-05-14,45.45,46.75,45.27,46.02,56542.0,0.6715
2026-05-17,46.6,46.6,43.07,43.55,147805.0,0.6176
2026-05-18,44.5,44.7,43.5,43.8,33935.0,0.5104
2026-05-19,44.4,44.68,43.5,44.33,39020.0,0.5789
2026-05-20,45.18,45.18,43.8,44.03,32736.0,0.5831
2026-05-21,44.8,45.2,43.5,43.86,42119.0,0.4445
2026-05-24,44.73,44.99,42.9,43.11,129944.0,0.6467
2026-05-25,43.8,44.25,43.17,43.93,39516.0,0.6861
2026-05-26,43.51,44.89,43.2,43.83,108220.0,0.6452
2026-05-27,43.83,43.83,43.83,43.83,0.0,0.6452
2026-05-28,43.2,44.39,42.55,43.01,57174.0,0.7469
2026-05-31,43.75,43.75,41.4,41.94,60637.0,0.7067
2026-06-01,42.4,42.49,41.05,41.94,35715.0,0.6032
2026-06-02,42.34,42.38,41.1,41.97,65594.0,0.7205
2026-06-03,43.0,43.0,41.5,41.68,34807.0,0.8363
2026-06-04,42.0,42.18,41.31,41.52,28013.0,0.6184
2026-06-07,41.52,41.85,41.11,41.24,23224.0,0.6640
2026-06-08,41.69,42.15,41.24,41.99,23734.0,0.7409
2026-06-09,42.0,42.4,41.2,41.35,44808.0,0.6322
2026-06-10,42.19,42.19,40.0,40.22,46396.0,0.7224
2026-06-11,40.66,41.89,40.31,41.03,33213.0,0.7591
2026-06-14,41.6,42.5,41.1,41.35,44020.0,0.6703
2026-06-15,42.0,42.0,41.16,41.8,19434.0,0.6351
2026-06-16,41.9,41.9,40.8,40.98,79507.0,0.7437
2026-06-17,41.01,41.29,39.5,39.85,113070.0,0.7437
