Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,9.625,9.625,9.625,9.625,0.0,0.0000
2023-06-20,9.625,9.625,9.625,9.625,0.0,0.0000
2023-06-21,9.625,9.625,9.625,9.625,0.0,0.0000
2023-06-22,9.625,9.625,9.625,9.625,0.0,0.0000
2023-06-25,9.24,9.24,9.24,9.24,8255.0,0.0000
2023-06-26,9.24,9.24,9.24,9.24,0.0,0.0000
2023-06-27,9.24,9.24,9.24,9.24,0.0,0.0000
2023-06-29,9.24,9.24,9.24,9.24,0.0,0.0000
2023-07-02,9.0475,9.0475,8.855,8.855,96478.0,0.0000
2023-07-03,8.6625,9.24,8.47,8.47,107752.0,0.0000
2023-07-04,8.085,8.855,8.085,8.085,145809.0,0.0000
2023-07-05,8.085,8.47,7.7,8.47,54316.0,0.0000
2023-07-06,8.855,8.855,8.855,8.855,56823.0,0.0000
2023-07-09,9.24,9.24,9.24,9.24,18354.0,0.0000
2023-07-10,9.625,9.625,9.625,9.625,9842.0,0.0000
2023-07-11,10.01,10.01,9.625,10.01,102751.0,0.0000
2023-07-12,10.395,10.395,10.395,10.395,13122.0,0.0000
2023-07-13,10.395,10.395,10.395,10.395,0.0,0.0000
2023-07-16,10.01,10.01,10.01,10.01,71070.0,0.0000
2023-07-17,10.01,10.01,10.01,10.01,0.0,0.0000
2023-07-18,10.01,10.01,10.01,10.01,0.0,0.0000
2023-07-19,10.01,10.01,10.01,10.01,0.0,0.0000
2023-07-20,10.01,10.01,10.01,10.01,0.0,0.0000
2023-07-23,9.625,9.625,9.625,9.625,2788.0,0.0000
2023-07-24,9.625,9.625,9.625,9.625,0.0,0.0000
2023-07-25,9.625,9.625,9.625,9.625,0.0,0.0000
2023-07-26,9.625,9.625,9.625,9.625,0.0,0.0000
2023-07-27,9.625,9.625,9.625,9.625,0.0,0.0000
2023-07-30,9.24,9.24,9.24,9.24,9663.0,0.0000
2023-07-31,9.24,9.24,9.24,9.24,0.0,0.0000
2023-08-01,9.24,9.24,9.24,9.24,0.0,0.0000
2023-08-02,9.24,9.24,9.24,9.24,0.0,0.0000
2023-08-03,9.24,9.24,9.24,9.24,0.0,0.0000
2023-08-06,8.855,9.24,8.855,8.855,24013.0,0.0000
2023-08-07,8.855,8.855,8.855,8.855,0.0,0.0000
2023-08-08,8.855,8.855,8.855,8.855,0.0,0.0000
2023-08-09,8.855,8.855,8.855,8.855,0.0,0.0000
2023-08-10,8.855,8.855,8.855,8.855,0.0,0.0000
2023-08-13,8.855,8.855,8.47,8.47,4060.0,0.0000
2023-08-15,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-16,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-17,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-20,8.085,8.2775,8.085,8.085,14913.0,0.0000
2023-08-21,8.085,8.085,8.085,8.085,0.0,0.0000
2023-08-22,8.085,8.085,8.085,8.085,0.0,0.0000
2023-08-23,8.085,8.085,8.085,8.085,0.0,0.0000
2023-08-24,8.085,8.085,8.085,8.085,0.0,0.0000
2023-08-27,8.085,8.47,8.085,8.47,198769.0,0.0000
2023-08-28,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-29,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-30,8.47,8.47,8.47,8.47,0.0,0.0000
2023-08-31,8.855,8.855,8.855,8.855,23199.0,0.0000
2023-09-03,9.24,9.24,9.24,9.24,29444.0,0.0000
2023-09-04,9.625,9.625,9.625,9.625,5562.0,0.0000
2023-09-05,10.01,10.01,10.01,10.01,10931.0,0.0000
2023-09-06,10.395,10.395,10.395,10.395,6281.0,0.0000
2023-09-07,10.78,10.78,10.78,10.78,10725.0,0.0000
2023-09-10,11.165,11.165,11.165,11.165,2433.0,0.0000
2023-09-11,11.165,11.165,11.165,11.165,0.0,0.0000
2023-09-12,11.165,11.165,11.165,11.165,0.0,0.0000
2023-09-13,11.165,11.165,11.165,11.165,0.0,0.0000
2023-09-14,11.165,11.165,11.165,11.165,0.0,0.0000
2023-09-17,10.5875,11.55,10.5875,11.55,256683.0,0.0000
2023-09-19,11.55,11.55,11.55,11.55,0.0,0.0000
2023-09-20,11.55,11.55,11.55,11.55,0.0,0.0000
2023-09-21,11.55,11.55,11.55,11.55,0.0,0.0000
2023-09-24,12.1275,12.1275,10.9725,11.3575,120298.0,0.0000
2023-09-25,11.3575,11.3575,11.3575,11.3575,0.0,0.0000
2023-09-26,11.3575,11.3575,11.3575,11.3575,0.0,0.0000
2023-09-27,11.3575,11.3575,11.3575,11.3575,0.0,0.0000
2023-09-28,11.3575,11.3575,11.3575,11.3575,0.0,0.0000
2023-10-02,10.78,11.7425,10.78,11.7425,98509.0,0.0000
2023-10-03,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-04,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-05,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-08,11.55,12.32,11.55,12.32,45823.0,0.0000
2023-10-09,12.32,12.32,12.32,12.32,0.0,0.0000
2023-10-10,12.32,12.32,12.32,12.32,0.0,0.0000
2023-10-11,12.32,12.32,12.32,12.32,0.0,0.0000
2023-10-12,12.32,12.32,12.32,12.32,0.0,0.0000
2023-10-15,12.8975,12.8975,11.7425,11.7425,61398.0,0.0000
2023-10-16,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-17,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-18,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-19,11.7425,11.7425,11.7425,11.7425,0.0,0.0000
2023-10-22,11.165,11.55,11.165,11.165,16103.0,0.0000
2023-10-24,11.165,11.165,11.165,11.165,0.0,0.0000
2023-10-25,11.165,11.165,11.165,11.165,0.0,0.0000
2023-10-26,11.165,11.165,11.165,11.165,0.0,0.0000
2023-10-29,11.55,11.55,10.5875,10.5875,53846.0,0.0000
2023-10-30,10.5875,10.5875,10.5875,10.5875,0.0,0.0000
2023-10-31,10.9725,10.9725,10.9725,10.9725,6428.0,0.0000
2023-11-01,11.3575,11.3575,11.3575,11.3575,5778.0,0.0000
2023-11-02,11.55,11.7425,11.55,11.7425,12565.0,0.0000
2023-11-05,12.32,12.32,12.32,12.32,22137.0,0.0000
2023-11-06,12.8975,12.8975,12.8975,12.8975,18955.0,0.0000
2023-11-07,13.475,13.475,13.475,13.475,42851.0,0.0000
2023-11-08,14.0525,14.0525,12.8975,13.475,101032.0,0.0000
2023-11-09,13.6675,14.0525,13.475,14.0525,72156.0,0.0000
2023-11-12,15.2075,15.2075,15.2075,15.2075,10641.0,0.0000
2023-11-14,15.785,15.785,15.785,15.785,7717.0,0.0000
2023-11-15,15.015,16.555,15.015,16.555,103738.0,0.0000
2023-11-16,17.325,17.325,15.785,17.1325,102813.0,0.0000
2023-11-19,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-20,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-21,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-22,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-23,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-27,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-28,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-29,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-11-30,17.1325,17.1325,17.1325,17.1325,0.0,0.0000
2023-12-03,16.3625,16.3625,16.3625,16.3625,496.0,0.0000
2023-12-04,16.3625,16.3625,16.3625,16.3625,0.0,0.0000
2023-12-05,16.3625,16.3625,16.3625,16.3625,0.0,0.0000
2023-12-06,16.3625,16.3625,16.3625,16.3625,0.0,0.0000
2023-12-07,16.3625,16.3625,16.3625,16.3625,0.0,0.0000
2023-12-10,15.5925,15.5925,15.5925,15.5925,50199.0,0.0000
2023-12-11,16.3625,16.3625,15.4,16.3625,264046.0,0.0000
2023-12-12,17.1325,17.1325,17.1325,17.1325,70947.0,0.0000
2023-12-13,17.9025,17.9025,17.9025,17.9025,39869.0,0.0000
2023-12-14,18.6725,18.6725,18.6725,18.6725,36065.0,0.0000
2023-12-17,19.4425,19.4425,17.71,19.4425,334489.0,0.0000
2023-12-18,20.405,20.405,18.48,19.635,211701.0,0.0000
2023-12-19,19.635,19.635,19.635,19.635,0.0,0.0000
2023-12-20,19.635,19.635,19.635,19.635,0.0,0.0000
2023-12-21,19.635,19.635,19.635,19.635,0.0,0.0000
2023-12-25,18.6725,18.6725,18.6725,18.6725,34479.0,0.0000
2023-12-26,18.6725,18.6725,18.6725,18.6725,0.0,0.0000
2023-12-27,18.6725,18.6725,18.6725,18.6725,0.0,0.0000
2023-12-28,18.6725,18.6725,18.6725,18.6725,0.0,0.0000
2023-12-31,17.71,17.71,17.71,17.71,7691.0,0.0000
2024-01-01,17.71,17.71,17.71,17.71,0.0,0.0000
2024-01-02,17.71,17.71,17.71,17.71,0.0,0.0000
2024-01-03,17.71,17.71,17.71,17.71,0.0,0.0000
2024-01-04,17.71,17.71,17.71,17.71,0.0,0.0000
2024-01-07,16.94,16.94,16.94,16.94,4846.0,0.0000
