Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,4.65,4.65,4.65,4.65,16837.0,0.0000
2023-06-20,4.5,4.5,4.45,4.5,25659.0,0.0000
2023-06-21,4.3,4.5,4.3,4.3,18099.0,0.0000
2023-06-22,4.4,4.4,4.3,4.4,5351.0,0.0000
2023-06-25,4.45,4.45,4.4,4.45,3300.0,0.0000
2023-06-26,4.45,4.5,4.45,4.45,8689.0,0.0000
2023-06-27,4.25,4.4,4.25,4.4,4219.0,0.0000
2023-06-29,4.35,4.5,4.3,4.35,6977.0,0.0000
2023-07-02,4.5,4.5,4.35,4.5,4775.0,0.0000
2023-07-03,4.3,4.3,4.3,4.3,11135.0,0.0000
2023-07-04,4.4,4.4,4.4,4.4,5817.0,0.0000
2023-07-05,4.4,4.4,4.4,4.4,7839.0,0.0000
2023-07-06,4.5,4.5,4.5,4.5,3415.0,0.0000
2023-07-09,4.3,4.7,4.3,4.4,52450.0,0.0000
2023-07-10,4.5,4.5,4.3,4.4,11687.0,0.0000
2023-07-11,4.5,4.5,4.25,4.35,33186.0,0.0000
2023-07-12,4.3,4.55,4.3,4.5,17178.0,0.0000
2023-07-13,4.5,4.6,4.4,4.4,28448.0,0.0000
2023-07-16,4.5,4.6,4.3,4.6,81500.0,0.0000
2023-07-17,4.8,4.8,4.7,4.8,52015.0,0.0000
2023-07-18,4.8,5.0,4.7,4.95,38181.0,0.0000
2023-07-19,5.1,5.15,4.85,5.15,51605.0,0.0000
2023-07-20,5.25,5.4,5.15,5.35,30074.0,0.0000
2023-07-23,5.45,5.45,5.35,5.45,13477.0,0.0000
2023-07-24,5.4,5.45,5.4,5.4,5747.0,0.0000
2023-07-25,5.3,5.3,5.3,5.3,23066.0,0.0000
2023-07-26,5.2,5.3,5.2,5.2,2388.0,0.0000
2023-07-27,5.1,5.2,5.1,5.1,6425.0,0.0000
2023-07-30,5.0,5.1,5.0,5.0,4703.0,0.0000
2023-07-31,4.9,4.9,4.9,4.9,7801.0,0.0000
2023-08-01,4.8,4.8,4.8,4.8,4486.0,0.0000
2023-08-02,4.7,4.8,4.7,4.7,4171.0,0.0000
2023-08-03,4.6,4.6,4.6,4.6,5630.0,0.0000
