Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,79.45,81.25,79.1,80.75,434172.0,0.4806
2023-06-20,81.0,84.0,80.25,81.7,849486.0,0.4347
2023-06-21,81.95,82.45,78.9,79.75,593720.0,0.5033
2023-06-22,80.4,81.55,78.15,79.9,646075.0,0.4949
2023-06-25,80.5,81.65,79.15,79.75,339467.0,0.4845
2023-06-26,80.2,80.6,79.35,79.8,274946.0,0.5884
2023-06-27,80.25,84.4,80.0,80.4,1321039.0,0.4229
2023-06-29,80.8,81.85,80.0,81.0,375347.0,0.4803
2023-07-02,81.45,88.4,81.25,87.1,1958210.0,0.4464
2023-07-03,89.95,94.45,89.5,90.35,3565838.0,0.3909
2023-07-04,90.7,94.0,89.3,91.95,1234714.0,0.4635
2023-07-05,92.1,93.1,90.15,90.65,802201.0,0.5302
2023-07-06,90.35,91.4,88.0,90.85,600049.0,0.4386
2023-07-09,91.55,93.25,90.8,91.75,496392.0,0.4661
2023-07-10,92.25,93.6,90.5,92.4,670385.0,0.4153
2023-07-11,92.6,96.5,92.0,92.9,1494021.0,0.2930
2023-07-12,93.6,95.1,89.6,90.15,898728.0,0.3661
2023-07-13,90.75,91.4,89.3,90.35,398785.0,0.4595
2023-07-16,90.7,91.65,89.65,90.4,476849.0,0.4486
2023-07-17,91.95,93.0,87.0,87.75,649409.0,0.5042
2023-07-18,88.0,89.4,87.3,88.5,322366.0,0.4539
2023-07-19,88.7,89.2,87.5,87.95,317723.0,0.5632
2023-07-20,87.9,88.0,85.1,85.45,434903.0,0.5655
2023-07-23,85.9,86.35,80.8,81.8,707321.0,0.5660
2023-07-24,81.75,86.0,81.05,85.1,836762.0,0.3929
2023-07-25,85.55,86.35,83.0,84.9,420274.0,0.5150
2023-07-26,85.25,85.7,83.9,84.15,248832.0,0.5504
2023-07-27,84.2,86.4,83.65,84.2,322793.0,0.4518
2023-07-30,84.9,86.0,84.35,85.6,337275.0,0.5059
2023-07-31,86.25,87.5,85.6,86.85,360452.0,0.5418
2023-08-01,79.0,82.0,79.0,80.1,1892003.0,0.5005
2023-08-02,80.35,80.85,77.0,78.65,836636.0,0.4216
2023-08-03,78.95,80.0,74.4,75.15,933987.0,0.5917
2023-08-06,75.75,76.35,72.45,73.1,686218.0,0.5496
2023-08-07,73.8,76.4,73.4,74.7,499633.0,0.4653
2023-08-08,75.3,75.5,73.9,75.25,316111.0,0.4693
2023-08-09,75.45,79.95,74.85,78.1,869245.0,0.4516
2023-08-10,78.45,78.9,76.75,77.05,196627.0,0.5081
2023-08-13,76.95,76.95,74.75,75.25,219614.0,0.4883
2023-08-15,74.95,76.4,74.6,75.3,179890.0,0.4082
2023-08-16,75.3,76.8,73.8,75.1,220053.0,0.4529
2023-08-17,75.4,78.6,74.9,77.0,422114.0,0.4179
2023-08-20,77.4,78.35,77.05,78.1,440860.0,0.7322
2023-08-21,78.5,79.0,77.5,77.7,314179.0,0.4686
2023-08-22,78.3,79.0,77.55,78.3,290846.0,0.4564
2023-08-23,78.8,78.8,75.8,76.15,305605.0,0.6694
2023-08-24,75.15,76.15,73.5,74.15,405954.0,0.6482
2023-08-27,74.7,78.6,74.35,77.35,737156.0,0.5009
2023-08-28,77.75,78.2,75.9,76.5,317148.0,0.5002
2023-08-29,76.95,78.5,76.6,77.3,339155.0,0.4871
2023-08-30,77.7,78.6,76.3,76.7,262403.0,0.5188
2023-08-31,77.25,77.3,76.0,76.35,191705.0,0.5476
2023-09-03,77.0,78.4,76.95,77.85,397116.0,0.5189
2023-09-04,78.4,78.6,76.5,76.95,285734.0,0.5679
2023-09-05,76.95,78.05,76.35,77.7,332817.0,0.4669
