Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,55.5,56.2,53.35,55.25,14304.0,0.4009
2023-06-20,55.25,56.0,54.0,54.55,9455.0,0.3720
2023-06-21,54.3,55.6,54.1,54.3,4447.0,0.4720
2023-06-22,55.5,56.0,53.25,53.7,6061.0,0.4752
2023-06-25,55.5,55.5,52.8,53.8,7989.0,0.3661
2023-06-26,55.5,56.0,54.2,55.45,14982.0,0.6209
2023-06-27,56.8,56.8,54.0,54.25,4114.0,0.6952
2023-06-29,55.65,55.65,53.6,53.65,2646.0,0.6319
2023-07-02,54.65,55.7,53.5,54.25,7658.0,0.4264
2023-07-03,55.7,55.7,53.0,53.35,10151.0,0.4951
2023-07-04,54.35,55.0,53.75,54.25,4164.0,0.5120
2023-07-05,54.9,54.9,53.25,53.8,3275.0,0.5212
2023-07-06,54.8,63.45,54.15,59.9,404451.0,0.2870
2023-07-09,60.05,63.2,59.65,61.7,110863.0,0.5930
2023-07-10,62.85,63.0,59.65,60.2,18967.0,0.6479
2023-07-11,61.35,61.35,57.0,57.45,37958.0,0.7093
2023-07-12,58.55,59.15,55.05,55.65,35421.0,0.6548
2023-07-13,56.6,56.6,55.05,55.95,10446.0,0.5300
2023-07-16,56.0,57.9,56.0,57.15,11929.0,0.8117
2023-07-17,58.0,59.0,56.0,56.55,15680.0,0.3882
2023-07-18,55.3,58.6,55.3,57.45,12416.0,0.5684
2023-07-19,58.35,68.9,56.85,64.05,612377.0,0.3782
2023-07-20,64.0,64.15,62.5,63.2,34861.0,0.5494
2023-07-23,63.45,63.9,59.15,59.85,24750.0,0.7198
2023-07-24,60.0,61.4,58.5,58.8,20282.0,0.4256
2023-07-25,59.7,61.0,59.1,59.55,16978.0,0.4855
2023-07-26,60.0,60.3,58.1,58.6,6598.0,0.6570
2023-07-27,58.95,62.8,57.5,60.3,41745.0,0.3277
2023-07-30,59.5,60.95,57.95,59.25,17458.0,0.4544
2023-07-31,59.75,60.35,58.15,59.75,19646.0,0.5535
2023-08-01,60.7,60.7,58.2,58.4,17796.0,0.4144
2023-08-02,59.6,59.9,58.0,58.4,20198.0,0.2887
2023-08-03,58.1,60.25,57.5,58.7,17070.0,0.5426
2023-08-06,59.9,59.9,57.85,58.5,25762.0,0.1782
2023-08-07,58.8,61.0,58.0,58.9,34746.0,0.3157
2023-08-08,59.65,59.65,58.0,58.25,27214.0,0.3967
2023-08-09,58.45,64.0,58.0,62.45,63623.0,0.4882
2023-08-10,63.7,63.7,59.5,59.8,61611.0,0.2913
2023-08-13,60.0,61.8,56.25,57.55,41990.0,0.5243
2023-08-15,57.0,60.95,57.0,59.45,19579.0,0.4314
2023-08-16,59.85,60.0,58.5,58.9,11250.0,0.3440
2023-08-17,59.9,59.9,57.5,57.65,6527.0,0.8005
2023-08-20,59.7,59.7,57.1,58.15,11404.0,0.3148
2023-08-21,57.8,59.2,57.05,57.95,13232.0,0.5514
2023-08-22,59.05,59.8,56.3,58.5,53682.0,0.3549
2023-08-23,58.95,58.95,57.55,58.15,9676.0,0.3955
2023-08-24,58.75,64.95,58.65,60.7,144316.0,0.3790
2023-08-27,60.7,61.0,59.0,59.9,21784.0,0.6859
2023-08-28,59.85,62.0,59.75,60.9,16906.0,0.3094
2023-08-29,61.6,62.0,60.75,60.85,16899.0,0.4872
2023-08-30,60.0,66.15,60.0,61.85,84959.0,0.4022
