Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,30.3333,31.5,30.0667,30.5167,378111.0,0.4201
2023-06-06,30.6667,31.9833,30.6667,31.1,499953.0,0.4482
2023-06-07,31.6167,32.0,30.6667,30.8333,198390.0,0.6312
2023-06-08,31.3333,31.6,30.7667,31.25,362445.0,0.8508
2023-06-11,31.8,31.9,31.2167,31.3333,129543.0,0.6415
2023-06-12,31.6167,31.65,31.0,31.1,38361.0,0.7615
2023-06-13,31.0667,31.4167,30.6,30.95,39066.0,0.8628
2023-06-14,31.0,31.0,30.4167,30.6,50358.0,0.7437
2023-06-15,30.3333,30.9,30.3333,30.4833,27924.0,0.6169
2023-06-18,30.55,30.7333,30.3333,30.3833,40458.0,0.6869
2023-06-19,30.6667,31.3333,30.4,31.0667,83907.0,0.4826
2023-06-20,31.3167,31.3167,30.0167,30.1333,106158.0,0.5887
2023-06-21,30.1333,30.3833,29.6667,29.8,52152.0,0.7093
2023-06-22,29.7,30.3,29.7,29.9667,19098.0,0.8671
2023-06-25,30.5667,35.95,30.0167,35.8833,4595919.0,0.2531
2023-06-26,38.0,38.35,33.8667,34.2833,2401374.0,0.4605
2023-06-27,34.3333,35.8,33.85,34.7167,454113.0,0.4926
2023-06-29,35.2333,36.3333,34.4167,34.9333,550563.0,0.4643
2023-07-02,35.9,36.3333,34.65,35.2333,526635.0,0.5329
2023-07-03,35.5333,36.3,34.7,34.95,239754.0,0.5042
2023-07-04,35.3333,35.3333,34.35,34.5,119373.0,0.6176
2023-07-05,34.9,35.5333,34.2167,34.85,277911.0,0.4641
2023-07-06,35.0,36.3333,34.0333,35.3667,190881.0,0.5198
2023-07-09,35.3833,35.6667,34.2,34.45,137568.0,0.6872
2023-07-10,34.6667,35.2333,34.2833,34.4667,86685.0,0.7084
2023-07-11,35.15,35.15,33.5,33.8,100428.0,0.6030
2023-07-12,34.3667,34.7333,33.6667,33.8,70029.0,0.5226
2023-07-13,34.1667,34.6667,33.4,34.0667,95919.0,0.4253
2023-07-16,34.3,35.5167,33.8,34.5333,268533.0,0.4712
2023-07-17,35.15,35.15,34.0,34.4,67287.0,0.7044
2023-07-18,34.3667,34.8167,33.8333,33.8833,96279.0,0.7638
2023-07-19,34.5,34.5,33.5,33.5667,83643.0,0.6642
2023-07-20,33.6667,34.3333,33.3333,33.5,91773.0,0.5672
2023-07-23,34.1167,34.1167,33.6833,33.9333,39240.0,0.8071
2023-07-24,33.7167,34.15,32.4667,33.3667,161004.0,0.5427
2023-07-25,34.0167,35.2,33.6,33.9167,156411.0,0.4075
2023-07-26,33.9167,34.5,33.2333,33.45,40680.0,0.6344
2023-07-27,33.5167,34.2167,32.6167,32.8,87714.0,0.6214
2023-07-30,33.3333,34.3333,33.05,33.8833,105975.0,0.6997
2023-07-31,34.3333,34.3333,33.1833,33.35,65673.0,0.7226
2023-08-01,32.9333,34.65,32.9333,33.15,73752.0,0.6615
2023-08-02,33.35,34.8333,33.3333,33.55,141399.0,0.6331
2023-08-03,34.0,34.2333,32.7833,33.5,56562.0,0.7385
2023-08-06,33.5,35.2667,33.5,34.4333,244677.0,0.5645
2023-08-07,34.4167,34.9667,34.1833,34.3667,43428.0,0.7388
2023-08-08,34.95,34.95,33.9333,34.3667,44700.0,0.7659
2023-08-09,34.8667,34.8667,33.6667,33.95,82440.0,0.7882
2023-08-10,33.8333,34.2667,33.0,33.15,105435.0,0.7822
2023-08-13,33.15,33.3333,32.6667,32.8167,46035.0,0.7166
2023-08-15,32.8167,33.1667,32.6667,32.8,57486.0,0.7674
2023-08-16,32.8,34.6333,32.0,32.5833,194934.0,0.3552
2023-08-17,32.5833,32.9667,31.6667,31.9,91893.0,0.6753
2023-08-20,31.85,32.2667,31.0,32.0,47916.0,0.5428
2023-08-21,32.4333,32.5667,32.1333,32.2667,15759.0,0.8058
2023-08-22,32.3333,33.2667,31.8333,32.1333,57264.0,0.6668
2023-08-23,32.0333,32.8333,31.45,31.6667,68757.0,0.6461
2023-08-24,32.2333,32.2333,31.35,31.55,34236.0,0.6584
2023-08-27,32.1667,32.1667,31.0667,31.3,158889.0,0.8986
2023-08-28,31.2333,31.9667,31.2333,31.6,78021.0,0.7906
2023-08-29,32.1667,32.1667,30.0,30.8833,111462.0,0.4931
2023-08-30,30.9833,31.65,30.8333,31.1,34131.0,0.6732
2023-08-31,31.6,31.6,31.0,31.1667,34107.0,0.7493
2023-09-03,32.2333,34.5833,31.6667,33.5167,282984.0,0.4925
2023-09-04,34.4667,35.2,33.6667,34.1167,219639.0,0.6869
2023-09-05,34.6667,34.9833,33.6833,33.95,106509.0,0.5815
2023-09-06,34.0,34.5667,32.85,33.4833,114765.0,0.5996
2023-09-07,34.0,34.8833,33.0,34.1333,250161.0,0.3813
2023-09-10,34.6333,34.6333,32.3333,32.9167,241821.0,0.5196
2023-09-11,32.7,33.2667,31.3333,31.6333,68760.0,0.7122
2023-09-12,32.2667,32.2667,31.4,31.7333,27474.0,0.5822
2023-09-13,32.6667,32.6667,30.4,31.2167,141681.0,0.5624
2023-09-14,31.3667,32.3333,31.3667,31.9167,48657.0,0.5447
2023-09-17,32.1333,33.0,31.7333,32.2167,56640.0,0.5684
2023-09-19,31.8333,32.2667,31.4167,31.7667,41439.0,0.6711
2023-09-20,31.7667,31.7667,31.0333,31.15,33630.0,0.7637
2023-09-21,31.8333,31.8333,31.2,31.2333,18843.0,0.5593
2023-09-24,31.5,31.8,31.0,31.3333,24282.0,0.6426
2023-09-25,31.8333,31.8333,31.2,31.35,20520.0,0.7389
2023-09-26,31.8333,31.8333,31.1667,31.6,19482.0,0.6198
2023-09-27,31.8333,31.85,31.1667,31.3,22365.0,0.5683
2023-09-28,31.3333,32.2167,30.7,31.75,71307.0,0.5754
2023-10-02,32.1667,32.1667,31.6,31.6667,18426.0,0.8230
2023-10-03,31.6833,31.9333,31.0333,31.2167,25659.0,0.6103
2023-10-04,31.3667,37.25,31.3667,36.0833,3763755.0,0.2557
2023-10-05,36.8167,37.6667,35.0,36.8667,1835223.0,0.3492
2023-10-08,36.0667,40.9,34.7333,38.45,3107985.0,0.3153
2023-10-09,39.0,40.5333,37.7667,38.15,1562268.0,0.4415
2023-10-10,39.1,41.6167,38.6167,38.8167,2407758.0,0.3764
2023-10-11,39.0,39.6333,38.4167,38.8833,462969.0,0.8133
2023-10-12,39.0,40.4333,37.55,39.0833,817731.0,0.7611
2023-10-15,39.65,39.65,38.6667,38.8833,138306.0,0.6353
2023-10-16,38.8833,38.9333,37.5167,38.0,161583.0,0.6252
2023-10-17,38.6667,38.6667,36.6833,37.1167,125865.0,0.7037
2023-10-18,37.1167,37.3,35.6833,36.7167,95823.0,0.6258
