Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,2.2809,2.2809,2.1858,2.2333,225506.0000,0.3247
2023-06-06,2.2809,2.2809,2.1858,2.2333,350098.0000,0.6704
2023-06-07,2.1858,2.2809,2.1858,2.2809,220585.0000,0.5392
2023-06-08,2.2809,2.2809,2.1858,2.2333,263654.0000,0.4592
2023-06-11,2.1858,2.2809,2.1858,2.2333,114353.0000,0.1936
2023-06-12,2.1858,2.2809,2.1858,2.2333,183229.0000,0.1936
2023-06-13,2.2809,2.2809,2.1858,2.2333,142259.0000,0.1349
2023-06-14,2.2809,2.2809,2.1858,2.2809,329162.0000,0.6197
2023-06-15,2.2809,2.2809,2.2333,2.2809,235060.0000,0.4607
2023-06-18,2.2809,2.2809,2.1858,2.2333,152664.0000,0.5248
2023-06-19,2.2333,2.2809,2.1858,2.2333,142758.0000,0.1124
2023-06-20,2.2333,2.2809,2.1858,2.2333,234339.0000,0.6819
2023-06-21,2.1858,2.2809,2.1858,2.1858,237305.0000,0.5995
2023-06-22,2.2333,2.2333,2.0908,2.1858,144510.0000,0.2274
2023-06-25,2.1858,2.2333,2.1383,2.1383,157697.0000,0.2091
2023-06-26,2.1383,2.1858,2.0908,2.1383,214206.0000,0.2100
2023-06-27,2.1383,2.1858,2.0908,2.0908,115959.0000,0.2825
2023-06-29,2.0908,2.1858,2.0908,2.1383,162115.0000,0.4149
2023-07-02,2.1383,2.1383,2.0433,2.0908,497068.0000,0.3592
2023-07-03,2.0908,2.1383,2.0433,2.0908,152050.0000,0.2747
2023-07-04,2.0433,2.0908,2.0433,2.0433,271756.0000,0.4671
2023-07-05,2.0433,2.0908,1.9957,2.0433,197221.0000,0.1837
2023-07-06,2.0908,2.1383,2.0433,2.0908,363231.0000,0.2753
2023-07-09,2.0908,2.0908,1.9957,2.0433,256617.0000,0.3198
2023-07-10,1.9957,2.0433,1.9957,2.0433,271187.0000,0.3736
2023-07-11,2.0908,2.0908,1.9957,1.9957,118855.0000,0.5711
2023-07-12,1.9957,2.0908,1.9957,2.0433,183488.0000,0.2198
2023-07-13,2.0908,2.0908,1.9957,2.0908,121245.0000,0.4085
2023-07-16,2.0908,2.0908,1.9957,2.0433,117530.0000,0.4554
2023-07-17,2.0433,2.0908,1.9957,2.0433,172798.0000,0.1279
2023-07-18,1.9957,2.1383,1.9957,2.1383,820767.0000,0.4645
2023-07-19,2.2333,2.2333,2.2333,2.2333,351238.0000,0.2023
2023-07-20,2.2809,2.2809,2.1383,2.2333,358470.0000,0.1390
2023-07-23,2.3000,2.4000,2.3000,2.3000,375818.0000,0.6693
2023-07-24,2.3500,2.4000,2.2500,2.3000,571232.0000,0.6794
2023-07-25,2.3000,2.3500,2.2000,2.3000,236452.0000,0.5850
2023-07-26,2.2500,2.4000,2.2000,2.3000,326001.0000,0.2828
2023-07-27,2.3000,2.4000,2.2000,2.3500,751880.0000,0.1586
2023-07-30,2.3500,2.4000,2.3000,2.3000,234244.0000,0.5105
2023-07-31,2.3000,2.3500,2.2500,2.3000,224520.0000,0.3641
2023-08-01,2.3000,2.3000,2.2500,2.3000,184248.0000,0.1732
2023-08-02,2.3000,2.3500,2.2500,2.3000,215351.0000,0.3971
2023-08-03,2.3000,2.3500,2.2500,2.2500,121968.0000,0.1206
2023-08-06,2.3000,2.3500,2.2000,2.3000,447756.0000,0.6456
2023-08-07,2.3000,2.3500,2.2000,2.3000,379365.0000,0.2553
2023-08-08,2.3500,2.3500,2.2000,2.3000,369440.0000,0.4975
2023-08-09,2.3000,2.3000,2.2000,2.2500,134976.0000,0.2870
2023-08-10,2.2500,2.3500,2.2000,2.3500,538369.0000,0.4120
2023-08-13,2.3500,2.4000,2.2500,2.3000,459111.0000,0.4280
2023-08-15,2.3000,2.3500,2.2500,2.3500,136802.0000,0.2109
2023-08-16,2.3500,2.3500,2.2500,2.3000,318403.0000,0.6818
2023-08-17,2.3500,2.3500,2.2500,2.3000,204012.0000,0.5651
2023-08-20,2.3500,2.3500,2.2500,2.3000,295074.0000,0.6637
