Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,0.85,0.9,0.8,0.85,274128.0,0.7466
2023-06-06,0.85,0.9,0.8,0.85,781096.0,0.5447
2023-06-07,0.9,0.9,0.85,0.85,429668.0,0.9753
2023-06-08,0.85,0.9,0.85,0.9,313654.0,0.9752
2023-06-11,0.9,0.9,0.85,0.85,566355.0,0.5938
2023-06-12,0.9,0.9,0.85,0.85,313713.0,0.5121
2023-06-13,0.9,0.9,0.85,0.85,210959.0,0.5862
2023-06-14,0.9,0.9,0.85,0.85,350312.0,0.6526
2023-06-15,0.85,0.9,0.85,0.9,587778.0,0.7816
2023-06-18,0.9,0.9,0.85,0.85,731379.0,0.5994
2023-06-19,0.85,0.9,0.85,0.9,449416.0,0.9175
2023-06-20,0.85,0.95,0.85,0.9,1804944.0,0.9212
2023-06-21,0.95,0.95,0.85,0.9,552382.0,0.8041
2023-06-22,0.85,0.9,0.85,0.85,268056.0,0.6245
2023-06-25,0.85,0.9,0.8,0.85,752027.0,0.5347
2023-06-26,0.85,0.85,0.8,0.8,280173.0,0.9634
2023-06-27,0.85,0.85,0.8,0.85,807741.0,0.7175
2023-06-29,0.85,0.9,0.8,0.85,439858.0,0.8148
2023-07-02,0.85,0.9,0.8,0.85,653180.0,0.8350
2023-07-03,0.9,0.9,0.85,0.85,577506.0,0.5754
2023-07-04,0.85,0.9,0.85,0.85,321759.0,0.4768
2023-07-05,0.85,0.9,0.85,0.85,370006.0,0.7114
2023-07-06,0.9,0.9,0.85,0.9,396024.0,0.6216
2023-07-09,0.9,0.9,0.85,0.85,416347.0,0.5045
2023-07-10,0.85,0.9,0.85,0.85,325201.0,0.6705
2023-07-11,0.9,0.9,0.8,0.8,723566.0,0.3621
2023-07-12,0.8,0.85,0.8,0.85,402407.0,0.9672
2023-07-13,0.9,0.9,0.8,0.8,797416.0,0.4016
2023-07-16,0.85,0.85,0.8,0.85,1261453.0,0.5363
2023-07-17,0.85,0.9,0.8,0.85,920792.0,0.4246
2023-07-18,0.9,0.9,0.8,0.85,804591.0,0.6496
2023-07-19,0.85,0.9,0.8,0.85,567876.0,0.8633
2023-07-20,0.85,0.85,0.8,0.85,340417.0,0.8273
2023-07-23,0.85,0.85,0.8,0.85,553877.0,0.6049
2023-07-24,0.85,0.85,0.8,0.85,336531.0,0.9835
2023-07-25,0.85,0.85,0.8,0.8,763535.0,0.6500
2023-07-26,0.85,0.85,0.8,0.8,486564.0,0.7757
2023-07-27,0.85,0.85,0.8,0.8,361151.0,0.5881
2023-07-30,0.8,0.85,0.8,0.85,454302.0,0.8389
2023-07-31,0.8,0.9,0.8,0.9,1464617.0,0.5798
2023-08-01,0.9,0.9,0.85,0.85,776651.0,0.5699
2023-08-02,0.9,0.9,0.85,0.9,333365.0,0.5974
2023-08-03,0.85,0.9,0.85,0.85,361927.0,0.5007
2023-08-06,0.9,0.95,0.85,0.95,2155245.0,0.7094
2023-08-07,0.95,1.0,0.95,1.0,1131731.0,0.6736
2023-08-08,1.0,1.0,0.95,0.95,604929.0,0.4563
2023-08-09,0.95,1.0,0.95,0.95,1778625.0,0.3205
2023-08-10,1.0,1.0,0.95,0.95,813293.0,0.5553
2023-08-13,0.95,1.0,0.9,0.95,1034919.0,0.5076
2023-08-15,0.95,1.0,0.9,0.9,1096052.0,0.6141
2023-08-16,0.95,1.0,0.9,0.95,889667.0,0.5186
2023-08-17,0.95,1.0,0.9,0.95,973702.0,0.5493
2023-08-20,0.95,0.95,0.85,0.9,1517063.0,0.5262
2023-08-21,0.9,0.9,0.8,0.85,2964579.0,0.6112
2023-08-22,0.85,0.95,0.85,0.9,1339852.0,0.7120
2023-08-23,0.9,1.05,0.9,1.05,5391572.0,0.6768
2023-08-24,1.15,1.25,1.1,1.1,15501946.0,0.4443
2023-08-27,1.1,1.2,1.1,1.1,3838600.0,0.5787
2023-08-28,1.15,1.15,1.05,1.05,1784271.0,0.6714
2023-08-29,1.1,1.1,1.05,1.05,1078299.0,0.9612
2023-08-30,1.1,1.1,1.0,1.0,1758610.0,0.7783
2023-08-31,1.0,1.05,0.9,1.0,2725111.0,0.7656
2023-09-03,1.0,1.0,0.9,0.95,1947914.0,0.6996
2023-09-04,0.95,1.0,0.95,1.0,829787.0,0.6620
2023-09-05,1.0,1.0,0.95,0.95,612386.0,0.9183
2023-09-06,0.95,1.05,0.95,1.0,2174234.0,0.9279
2023-09-07,1.0,1.05,0.95,1.0,2275242.0,0.6357
2023-09-10,1.05,1.1,1.0,1.1,2031559.0,0.7621
