symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
ABMINTLLTD,42.94,40.4,False,0.36,89,9,85.0,100.0,73.03,77.74
TIJARIA,4.3,12.48,False,1.13,88,0,76.59,99.13,34.09,100.0
ARTNIRMAN,41.0,102.32,False,2.45,88,3,72.67,100.0,45.45,67.05
GTECJAINX,31.7,32.3,False,5.16,88,0,72.61,100.0,34.09,82.72
ICDSLTD,44.21,57.59,False,2.97,89,2,72.13,100.0,44.94,65.61
ORTINGLOBE,16.47,13.39,False,1.3,88,0,72.03,100.0,45.45,64.49
MODTHREAD,46.55,161.88,False,2.94,88,1,70.95,100.0,39.77,68.13
KHANDSE,19.65,29.97,False,1.28,88,0,69.15,100.0,51.14,45.02
EUROTEXIND,16.29,19.15,False,0.66,88,0,68.94,100.0,56.82,36.2
INFOMEDIA,5.74,28.81,False,1.88,88,0,68.39,100.0,45.45,49.93
TECILCHEM,11.9,22.57,False,1.71,88,0,68.26,100.0,51.14,41.43
HAVISHA,1.47,22.57,False,1.16,89,1,68.06,100.0,28.09,72.9
RETAIL,21.58,17.71,False,1.64,88,0,68.05,100.0,39.77,56.51
NEXTMEDIA,4.06,27.16,False,1.66,89,1,64.39,100.0,28.09,58.25
MFML,25.2,26.76,False,1.34,88,0,62.95,100.0,39.77,36.12
ARENTERP,37.54,12.14,False,0.79,88,1,61.47,100.0,28.41,46.11
KREBSBIO,65.01,140.17,False,11.59,89,1,60.35,42.46,73.03,71.2
ACEINTEG,20.87,21.29,False,4.56,88,0,59.9,98.4,28.41,42.37
LAXMICOT,14.02,24.04,False,1.91,88,0,58.72,59.43,28.41,100.0
NKIND,64.88,38.99,False,4.53,88,2,58.4,100.0,34.09,25.86
ADL,74.4,41.41,False,0.9,88,0,57.96,100.0,17.05,47.99
REGENCERAM,41.0,108.41,False,1.58,89,1,57.58,100.0,22.47,38.86
SGL,11.37,32.23,False,4.22,89,1,56.97,61.0,44.94,67.34
CREATIVEYE,6.5,13.04,False,1.23,88,0,56.36,100.0,17.05,41.56
MANUGRAPH,16.49,51.68,False,2.93,88,0,55.41,61.06,39.77,68.27
PARASPETRO,1.97,65.84,False,3.06,89,1,54.91,40.35,39.33,100.0
KEEPLEARN,2.1,32.7,False,1.26,88,0,54.35,86.98,22.73,46.41
WILLAMAGOR,25.3,27.72,False,5.39,89,1,52.56,77.77,33.71,38.62
RADAAN,3.05,16.52,False,1.04,89,1,52.38,100.0,5.62,41.65
3PLAND,32.24,,True,1.92,89,1,51.75,67.84,44.94,35.51
MADHUCON,5.25,38.74,False,2.08,89,1,49.98,78.98,11.24,57.83
KRIDHANINF,3.06,30.47,False,3.34,88,0,49.65,55.66,22.73,77.73
PNC,20.0,28.93,False,2.0,89,1,49.41,57.16,33.71,58.99
TREEHOUSE,6.9,29.19,False,1.85,88,0,47.75,61.59,28.41,52.67
KARMAENG,43.0,49.75,False,3.14,88,0,47.72,63.43,22.73,57.59
NORBTEAEXP,80.9,125.75,False,4.49,89,1,47.54,40.56,44.94,62.32
PRUDMOULI,15.31,49.38,False,3.32,88,0,47.28,46.5,28.41,74.95
DAMODARIND,31.59,73.6,False,4.56,88,0,46.06,46.76,39.77,53.73
